From,To,Weight
1,2,3.79
2,4,1.23
1,3,1.23
3,4,1.23
4,5,1.23
5,6,1.23
5,7,1.23
7,8,1.23
6,8,1.23
8,8,1.23
8,9,1.23
9,9,1.23
1,10,0
10,11,0
11,12,0
12,13,0
13,14,0
14,15,0
15,16,0
16,9,0
1,9,3.0
1,3,2.23
17,18,1.0
18,17,2.0
