From,To
Ross,Monica
Ross,Rachel
Monica,Rachel
Ross,Chandler
Monica,Chandler
Rachel,Chandler
Phoebey,Monica
Phoebey,Rachel
Phoebey,Joey
Phoebey,Ross
Phoebey,Chandler
