Unnamed: 0,year,season,team_a,team_b,kickoff_dome,kickoff_weather_summary,kickoff_temperature,kickoff_feels_like,kickoff_wind,kickoff_humidity,kickoff_visibility,kickoff_barometer,kickoff_dew_point,kickoff_cloud_cover,kickoff_precipitation_prob,q2_dome,q2_weather_summary,q2_temperature,q2_feels_like,q2_wind,q2_humidity,q2_visibility,q2_barometer,q2_dew_point,q2_cloud_cover,q2_precipitation_prob,q3_dome,q3_weather_summary,q3_temperature,q3_feels_like,q3_wind,q3_humidity,q3_visibility,q3_barometer,q3_dew_point,q3_cloud_cover,q3_precipitation_prob,q4_dome,q4_weather_summary,q4_temperature,q4_feels_like,q4_wind,q4_humidity,q4_visibility,q4_barometer,q4_dew_point,q4_cloud_cover,q4_precipitation_prob
0,2013,1,NE,BUF,N,Partly Cloudy,,,6mi North,49.0,10.0,30.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2013,1,TB,NYJ,N,Partly Cloudy,,,14mi West - NorthWest,40.0,10.0,29.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2013,1,MIA,CLE,N,Partly Cloudy,,,16mi North - NorthEast,68.0,10.0,30.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2013,1,TEN,PIT,N,Mostly Cloudy,,,5mi East - NorthEast,74.0,9.0,30.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2013,1,OAK,IND,Y,Mostly Cloudy,,,5mi South - SouthWest,46.0,10.0,29.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2013,1,KC,JAX,N,A Few Clouds,,,10mi North - NorthEast,50.0,10.0,29.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2013,1,BAL,DEN,N,Mostly Cloudy,,,3mi West - NorthWest,30.0,50.0,30.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2013,1,HOU,LAC,N,,,,3mi West - NorthWest,86.0,10.0,32.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2013,1,NYG,DAL,N,Fair,,,3mi SouthEast,40.0,10.0,29.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2013,1,PHI,WAS,N,Mostly Cloudy,,,4mi South - SouthEast,78.0,10.0,30.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2013,1,CIN,CHI,N,Mostly Cloudy,,,13mi NorthEast,69.0,10.0,30.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2013,1,MIN,DET,Y,Fair,,,8mi East - NorthEast,46.0,10.0,30.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2013,1,SEA,CAR,N,Mostly Cloudy,,,5mi North - NorthEast,40.0,10.0,29.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2013,1,ATL,NO,Y,Partly Cloudy,,,9mi East,52.0,10.0,29.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2013,1,GB,SF,N,,,,0mi North,70.0,36.0,31.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2013,1,ARI,LAR,Y,Mostly Cloudy,,,7mi SouthEast,70.0,9.0,29.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2013,1,NE,BUF,N,Partly Cloudy,,,6mi North,49.0,10.0,30.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2013,1,TB,NYJ,N,Partly Cloudy,,,14mi West - NorthWest,40.0,10.0,29.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2013,1,MIA,CLE,N,Partly Cloudy,,,16mi North - NorthEast,68.0,10.0,30.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
