Rank,Name,Team,Position,Season,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGame,FantasyPoints
1,RussellWilson,SEA,QB,2017,16,DAL,22.1,35.5,61.1,253.1,7,1.9,0.7,89.24,5.3,27.3,5.4,0.2,20,20.05
2,CamNewton,CAR,QB,2017,16,TB,19.3,31.2,61.3,229.6,7.4,1.5,0.8,92.14,7,39.9,5.7,0.3,19.2,19.17
3,TomBrady,NE,QB,2017,16,BUF,24.1,38,63.2,286.8,7.6,2.2,0.6,92.76,1.5,1.8,1,0,19,19.05
4,DrewBrees,NO,QB,2017,16,ATL,25.3,36.2,69.4,278.1,7.7,1.9,0.6,99.07,1.8,2,1,0.1,18.1,18.12
5,PhilipRivers,LAC,QB,2017,16,NYJ,23.6,36.5,66.7,287.4,8,2,0.8,97.8,1,0.8,1,0,17.8,17.78
6,CaseKeenum,MIN,QB,2017,16,GB,22.9,33.6,67.6,257.2,7.6,1.8,0.7,97.3,2.5,12.1,6,0.1,17.7,17.7
7,AlexSmith,KC,QB,2017,16,MIA,22.2,32.2,68.8,242.7,7.6,1.7,0.5,111.85,3.9,17.1,4.2,0.1,17.6,17.62
8,MatthewStafford,DET,QB,2017,16,CIN,25.4,38.1,65.8,273.7,7.2,1.9,0.7,93.53,2,5.5,3,0,17.5,17.5
9,DakPrescott,DAL,QB,2017,16,SEA,19,31.7,59.4,217.6,6.8,1.6,0.8,87.76,3.8,22.4,5.5,0.3,17.3,17.34
10,JaredGoff,LAR,QB,2017,16,TEN,20.5,34.9,57.1,252.2,7.2,1.9,0.7,86.85,2,5,2.5,0.1,17.2,17.19
11,BenRoethlisberger,PIT,QB,2017,16,HOU,22.8,36.5,63.9,273.7,7.6,1.9,0.8,93.98,1.6,2.6,1.5,0,17,17.01
12,JameisWinston,TB,QB,2017,16,CAR,22.5,36.6,59.5,270.1,7.3,1.7,1,88.8,3.2,9.6,3.3,0.1,17,16.96
13,BlakeBortles,JAX,QB,2017,16,SF,20.2,31.5,62.5,232.8,7.3,1.5,0.7,92.32,4.1,20.8,5.2,0.1,16.4,16.39
14,MattRyan,ATL,QB,2017,16,NO,21.1,34.2,61.8,268,7.9,1.7,0.8,93.75,1.9,5.3,2.5,0,16.2,16.25
15,KirkCousins,WAS,QB,2017,16,DEN,21.8,34.3,64.7,256.8,7.6,1.6,0.9,94.85,2.7,7.7,2.7,0.1,16,16.04
16,NickFoles,PHI,QB,2017,16,OAK,20.7,32.8,63.6,239.1,7.2,1.8,0.6,92.87,2.6,4.6,1.7,0,15.8,15.82
17,TyrodTaylorQ,BUF,QB,2017,16,NE,18.3,30.2,60,201.7,6.7,1.2,0.6,77.36,6.2,28.3,4.7,0.2,15.5,15.5
18,MarcusMariotaP,TEN,QB,2017,16,LAR,19,32.6,57.6,219.8,6.7,1.3,1,75.32,3.7,18.8,4.8,0.2,14.9,14.87
19,JoeFlacco,BAL,QB,2017,16,IND,20.9,35.5,58.3,241.5,6.7,1.5,0.8,85.65,1.7,3.2,1.5,0.1,14.8,14.78
20,DerekCarr,OAK,QB,2017,16,PHI,21.8,36.9,59.5,245,6.6,1.4,0.9,76.97,1.8,2.9,1.5,0,13.7,13.69
21,JimmyGaroppoloIR,SF,QB,2017,16,JAX,20.1,35.7,55.6,242.1,6.7,1.2,0.9,74.07,3.3,8.5,2.7,0,13.3,13.33
22,AndyDalton,CIN,QB,2017,16,DET,17.6,30.9,58.1,207,6.7,1.4,0.8,75.6,2.5,6.3,3,0.1,13.3,13.31
23,JayCutler,MIA,QB,2017,16,KC,22,36.3,61.1,234,6.5,1.5,1.2,87.04,1.1,2.3,2,0,13,12.99
24,EliManning,NYG,QB,2017,16,ARI,22.5,36.8,59.5,235.5,6.4,1.4,1,75.96,1,1,1,0,12.9,12.92
25,DeshoneKizer,CLE,QB,2017,16,CHI,18,31.7,56.2,193.7,6.1,1,1.3,71.61,5.1,26.9,5.4,0.2,12.8,12.84
26,MitchTrubisky,CHI,QB,2017,16,CLE,19.1,29.5,63.3,201.1,6.7,1.1,0.7,80,2.5,11.9,6,0.1,12.6,12.63
27,BrettHundley,GB,QB,2017,16,MIN,18.5,32.5,56.2,184.4,5.8,1.2,1.1,70.31,4.2,20.8,5.2,0.1,12.5,12.46
28,DrewStanton,ARI,QB,2017,16,NYG,18.8,34.1,55.9,220.2,6.5,1.3,1,73.16,2.6,4.3,1.3,0,12.2,12.24
29,TJYates,HOU,QB,2017,16,PIT,18.9,30.8,61.3,197.2,6.4,1.2,0.9,76.95,2.87,13.8,4.7,0,12.1,12.07
30,JacobyBrissett,IND,QB,2017,16,BAL,16.7,30.1,56.7,191.5,6.4,1,1,73.19,3.7,16,4,0.1,11.7,11.66
31,BrockOsweiler,DEN,QB,2017,16,WAS,19.1,32.7,57.6,208.9,6.3,1.1,1,73.93,2.4,5.5,3,0,11.1,11.11
32,BrycePetty,NYJ,QB,2017,16,LAC,17,28.6,58.6,176,6.1,1.1,1.1,73.35,1.6,6.7,3.5,0,9.7,9.71
33,RyanFitzpatrick,TB,QB,2017,16,CAR,2.8,4.8,60,38,7.6,0.4,0,83.75,0.4,3,0,0,3.4,3.42
