Rank,Name,Team,Position,Season,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,AJGreenP,CIN,WR,2017,4,CLE,10.01,7,70,100,0.5,0,10,14.3,0,0,0,0,0,0,13,13
2,AntonioBrown,PIT,WR,2017,4,BAL,11.89,7.3,58.3,95.3,0.5,0,7.9,13.6,0.2,0.9,0,0,0,0,12.6,12.62
3,JulioJonesP,ATL,WR,2017,4,BUF,8.78,6.1,66.7,91.6,0.5,0,10.2,15.3,0,0,0,0,0,0,12.2,12.16
4,OdellBeckhamJr,NYG,WR,2017,4,TB,11.69,7,58.3,88,0.5,0,7.3,12.6,0,0.1,0,0,0.1,0.1,11.6,11.61
5,JordyNelson,GB,WR,2017,4,CHI,9.57,5.5,60,75.3,0.7,0,7.5,12.5,0,0,0,0,0.1,0.1,11.5,11.53
6,MichaelThomas,NO,WR,2017,4,MIA,10.01,6.5,60,78.2,0.6,0,7.8,13,0,0,0,0,0,0,11.4,11.42
7,MikeEvans,TB,WR,2017,4,NYG,8.7,5.8,66.7,75.3,0.5,0,8.3,12.5,0,0,0,0,0,0,10.5,10.53
8,TyreekHill,KC,WR,2017,4,WAS,8.03,5.7,75,66.1,0.4,0,8.2,11,1.83,8.8,4.5,0.1,0.1,0.1,10.3,10.29
9,EmmanuelSanders,DEN,WR,2017,4,OAK,7.83,5.4,62.5,69.7,0.5,0,8.8,14,0,0,0,0,0,0,10,9.97
10,DezBryant,DAL,WR,2017,4,LAR,7.14,4.7,71.4,64.9,0.6,0,9.3,13,0,0,0,0,0.1,0.1,9.9,9.89
10,DeAndreHopkinsQ,HOU,WR,2017,4,TEN,9.29,5.5,66.7,74.9,0.4,0,8.3,12.5,0,0,0,0,0,0,9.9,9.89
12,DougBaldwinQ,SEA,WR,2017,4,IND,8.53,5.4,55.6,68.1,0.5,0,7.6,13.6,0.2,0.7,0,0,0,0,9.9,9.88
13,BrandinCooks,NE,WR,2017,4,CAR,6.43,4.5,66.7,67.1,0.5,0,11.2,16.8,0.3,1.6,0,0,0,0,9.9,9.87
14,StefonDiggs,MIN,WR,2017,4,DET,9.11,5.3,55.6,69.3,0.4,0,7.7,13.8,0.3,1.9,0,0,0,0,9.5,9.52
14,LarryFitzgeraldQ,ARI,WR,2017,4,SF,8.76,6.4,66.7,73.1,0.4,0,8.1,12.2,0,0.1,0,0,0.1,0.1,9.5,9.52
16,DemaryiusThomas,DEN,WR,2017,4,OAK,7.88,5.4,62.5,73.1,0.4,0,9.1,14.6,0,0,0,0,0.1,0.1,9.5,9.51
17,JarvisLandry,MIA,WR,2017,4,NO,11.92,6.7,58.3,74.5,0.3,0,6.2,10.6,0.3,1.4,0,0,0.1,0.1,9.2,9.19
18,AlshonJefferyQ,PHI,WR,2017,4,LAC,7.69,5.2,62.5,72.6,0.3,0,9.1,14.6,0,0,0,0,0,0,9.1,9.06
19,GoldenTateQ,DET,WR,2017,4,MIN,9.76,6.1,60,65.9,0.4,0,6.6,11,0.5,2.1,0,0,0.1,0.1,9,9
20,KeenanAllenQ,LAC,WR,2017,4,PHI,9.86,5.8,60,69.1,0.4,0,6.9,11.5,0,0,0,0,0.2,0.2,8.9,8.91
21,T.Y.Hilton,IND,WR,2017,4,SEA,7.34,5.1,71.4,71.3,0.3,0,10.1,14.2,0,0,0,0,0.1,0.1,8.7,8.73
22,DavanteAdams,GB,WR,2017,4,CHI,5.32,4,80,55.3,0.5,0,11,13.8,0,0,0,0,0,0,8.5,8.53
23,DevanteParkerQ,MIA,WR,2017,4,NO,7.35,4.9,71.4,65.8,0.3,0,9.4,13.2,0,0,0,0,0,0,8.4,8.38
24,ChrisHogan,NE,WR,2017,4,CAR,5.82,4.1,66.7,57.9,0.4,0,9.7,14.5,0.4,2.6,0,0,0.1,0.1,8.2,8.25
25,AmariCooper,OAK,WR,2017,4,DEN,7.36,5.3,71.4,63.8,0.3,0,9.1,12.8,0,0,0,0,0,0,8.2,8.18
26,SammyWatkins,LAR,WR,2017,4,DAL,6.16,4.6,83.3,62.5,0.3,0,10.3,12.4,0,0,0,0,0,0,8,8.05
27,RishardMatthews,TEN,WR,2017,4,HOU,7.39,4.2,57.1,56.5,0.4,0,8,14,0,0,0,0,0.1,0.1,7.8,7.85
28,MarqiseLeeIR,JAX,WR,2017,4,NYJ,6.67,4.6,71.4,58.3,0.3,0,8.3,11.6,0.2,1.4,0,0,0,0,7.8,7.77
29,KelvinBenjamin,CAR,WR,2017,4,NE,6.92,4,57.1,59.3,0.3,0,8.4,14.8,0,0,0,0,0.1,0.1,7.5,7.53
30,RandallCobbQ,GB,WR,2017,4,CHI,7.91,4.6,62.5,53.2,0.3,0,6.6,10.6,0.5,3,0,0,0,0,7.4,7.42
31,TerrellePryorP,WAS,WR,2017,4,KC,6.33,4.4,66.7,59.6,0.2,0,10,15,0.1,0.7,0,0,0,0,7.2,7.23
32,TyrellWilliams,LAC,WR,2017,4,PHI,5.1,3.9,80,54.2,0.3,0,10.8,13.5,0,0,0,0,0,0,7.2,7.22
33,PierreGarcon,SF,WR,2017,4,ARI,8.18,4.6,62.5,59.9,0.2,0,7.5,12,0,0,0,0,0,0,7.2,7.19
34,AdamThielen,MIN,WR,2017,4,DET,5.49,4.1,80,55.1,0.3,0,11,13.8,0,0.1,0,0,0.1,0.1,7.1,7.12
35,JordanMatthewsP,BUF,WR,2017,4,ATL,7.08,4,57.1,52.8,0.3,0,7.6,13.2,0,0,0,0,0,0,7.1,7.08
36,JeremyMaclin,BAL,WR,2017,4,PIT,6.76,4.2,57.1,52,0.3,0,7.4,13,0,0.2,0,0,0,0,7,7.02
37,AllenHurns,JAX,WR,2017,4,NYJ,6.43,3.9,66.7,51.8,0.3,0,8.7,13,0,0,0,0,0,0,7,6.98
38,DeSeanJackson,TB,WR,2017,4,NYG,5.67,3.5,66.7,51.7,0.3,0,8.7,13,0,0,0,0,0,0,7,6.97
39,MartavisBryant,PIT,WR,2017,4,BAL,5.95,3.5,66.7,50.2,0.3,0,8.3,12.5,0.2,1,0,0,0,0,6.9,6.92
40,SterlingShepard,NYG,WR,2017,4,TB,5.33,4.1,80,49.1,0.3,0,9.8,12.2,0.2,0.9,0,0,0,0,6.8,6.8
41,TylerLockett,SEA,WR,2017,4,IND,4.79,3.5,80,47.6,0.3,0,9.6,12,0.2,2.3,0,0,0,0,6.8,6.79
42,JermaineKearse,NYJ,WR,2017,4,JAX,6.94,3.9,57.1,49.7,0.3,0,7.1,12.5,0,0,0,0,0,0,6.8,6.77
43,MohamedSanu,ATL,WR,2017,4,BUF,7.25,4.1,57.1,48.5,0.3,0,6.9,12,0.1,0.7,0,0,0,0,6.7,6.72
44,DevinFunchess,CAR,WR,2017,4,NE,5.11,3.3,60,48.2,0.3,0,9.6,16,0,0,0,0,0,0,6.6,6.62
45,EricDecker,TEN,WR,2017,4,HOU,5.23,3.4,60,47.4,0.3,0,9.4,15.7,0,0,0,0,0,0,6.5,6.54
46,MarvinJones,DET,WR,2017,4,MIN,5.2,3.1,60,46.7,0.3,0,9.4,15.7,0,0,0,0,0,0,6.5,6.47
47,PaulRichardson,SEA,WR,2017,4,IND,4.15,3.1,75,45.1,0.3,0,11.2,15,0,0.1,0,0,0,0,6.3,6.32
48,TedGinnP,NO,WR,2017,4,MIA,5.54,3.3,50,44.6,0.3,0,7.5,15,0.3,1.5,0,0,0.1,0.1,6.2,6.21
49,KennyStills,MIA,WR,2017,4,NO,4.03,2.6,75,42.4,0.3,0,10.5,14,0,0,0,0,0,0,6,6.04
50,JJNelson,ARI,WR,2017,4,SF,4.21,2.6,75,42.6,0.3,0,10.8,14.3,0.1,0.4,0,0,0.1,0.1,5.9,5.9
51,JamisonCrowder,WAS,WR,2017,4,KC,7.43,4.2,57.1,49.8,0.2,0,7.1,12.5,0.1,0.7,0,0,0.2,0.2,5.8,5.85
52,TaylorGabriel,ATL,WR,2017,4,BUF,4.57,2.6,60,36.8,0.3,0,7.4,12.3,0.2,2,0,0,0,0,5.7,5.68
53,KennyBritt,CLE,WR,2017,4,CIN,4.35,3.3,75,44.6,0.2,0,11.2,15,0,0,0,0,0,0,5.7,5.66
54,TravisBenjaminQ,LAC,WR,2017,4,PHI,4.05,2.5,50,38.2,0.3,0,9.5,19,0.1,0.6,0,0,0.1,0.1,5.5,5.48
55,DannyAmendola,NE,WR,2017,4,CAR,6.05,3.5,66.7,37.7,0.3,0,6.3,9.5,0.1,0.5,0,0,0.1,0.1,5.4,5.42
56,JohnBrown,ARI,WR,2017,4,SF,4.87,2.8,60,40.5,0.2,0,8,13.3,0.2,1.3,0,0,0,0,5.4,5.38
57,RobbyAnderson,NYJ,WR,2017,4,JAX,4.12,3.1,75,42.9,0.2,0,10.8,14.3,0.1,0.7,0,0,0.1,0.1,5.4,5.36
57,NelsonAgholor,PHI,WR,2017,4,LAC,4.86,3.1,60,34.9,0.3,0,7,11.7,0.1,0.7,0,0,0,0,5.4,5.36
59,ColeBeasleyQ,DAL,WR,2017,4,LAR,5.14,3.5,80,41.5,0.2,0,8.4,10.5,0,0,0,0,0,0,5.4,5.35
59,CooperKupp,LAR,WR,2017,4,DAL,4.55,3.3,60,41.5,0.2,0,8.4,14,0,0,0,0,0,0,5.4,5.35
61,BrandonMarshall,NYG,WR,2017,4,TB,5.7,3.3,50,43.1,0.2,0,7.2,14.3,0,0,0,0,0.1,0.1,5.3,5.31
62,RobertWoods,LAR,WR,2017,4,DAL,4.95,3,60,40.6,0.2,0,8.2,13.7,0,0,0,0,0,0,5.3,5.26
63,MikeWallaceIR,BAL,WR,2017,4,PIT,4.92,3.2,60,39.5,0.2,0,8,13.3,0.1,1,0,0,0,0,5.2,5.25
64,DonteMoncrief,IND,WR,2017,4,SEA,5.31,3.2,60,39.4,0.2,0,7.8,13,0.1,0.3,0,0,0,0,5.2,5.17
65,BrandonLaFell,CIN,WR,2017,4,CLE,4.17,2.9,75,39.6,0.2,0,10,13.3,0,0,0,0,0,0,5.2,5.16
65,RashardHiggins,CLE,WR,2017,4,CIN,5.7,3.3,50,38.7,0.2,0,6.5,13,0.1,0.9,0,0,0,0,5.2,5.16
67,TorreySmith,PHI,WR,2017,4,LAC,4.4,2.9,75,39.4,0.2,0,9.8,13,0,0,0,0,0,0,5.1,5.14
68,JaronBrown,ARI,WR,2017,4,SF,3.01,2.3,66.7,32.3,0.3,0,10.7,16,0.1,0.6,0,0,0,0,5.1,5.09
69,ZayJones,BUF,WR,2017,4,ATL,4.11,3,75,37.3,0.2,0,9.2,12.3,0,0,0,0,0,0,4.9,4.93
70,BrandonColeman,NO,WR,2017,4,MIA,4,2.4,50,31,0.3,0,7.8,15.5,0,0,0,0,0,0,4.9,4.9
71,TerranceWilliams,DAL,WR,2017,4,LAR,3.59,2.7,75,36,0.2,0,9,12,0,0,0,0,0,0,4.8,4.8
72,WillFullerP,HOU,WR,2017,4,TEN,4.15,2.7,75,35.2,0.2,0,8.8,11.7,0,0.5,0,0,0,0,4.8,4.77
73,KendallWright,CHI,WR,2017,4,GB,3.92,2.8,75,34.9,0.2,0,8.8,11.7,0.1,0.6,0,0,0,0,4.8,4.75
74,MarquiseGoodwinP,SF,WR,2017,4,ARI,3.63,2.3,50,33.5,0.2,0,8.5,17,0.1,0.3,0,0,0,0,4.6,4.58
75,ChrisConleyP,KC,WR,2017,4,WAS,4.76,2.8,60,33.7,0.2,0,6.8,11.3,0,0,0,0,0,0,4.6,4.57
