Rank,Name,Team,Position,Season,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,JimmyGrahamP,NO,TE,2013,13,SEA,8,6,75,80,1,36,10,13.3,0,0,0,0,0,0,14,14
2,RobGronkowskiQ,NE,TE,2013,13,HOU,10,7,70,98,0,44,9.8,14,0,0,0,0,0,0,9.8,9.8
3,TonyGonzalez,ATL,TE,2013,13,BUF,10,8,80,83,0,37,8.3,10.4,0,0,0,0,0,0,8.3,8.3
4,HeathMiller,PIT,TE,2013,13,BAL,12,10,83.3,81,0,36,6.8,8.1,0,0,0,0,0,0,8.1,8.1
5,JordanCameron,CLE,TE,2013,13,JAX,10,8,80,80,0,36,8,10,0,0,0,0,0,0,8,8
5,GarrettGraham,HOU,TE,2013,13,NE,9,6,66.7,80,0,36,8.9,13.3,0,0,0,0,0,0,8,8
7,AntonioGates,LAC,TE,2013,13,CIN,11,8,72.7,73,0,32,6.6,9.1,0,0,0,0,0,0,7.3,7.3
8,JasonWittenIR,DAL,TE,2013,13,OAK,8,6,75,68,0,30,8.5,11.3,0,0,0,0,0,0,6.8,6.8
9,CharlesClayQ,MIA,TE,2013,13,NYJ,9,7,77.8,62,0,28,6.9,8.9,0,4,0,0,0,0,6.6,6.6
10,ScottChandler,BUF,TE,2013,13,ATL,8,6,75,65,0,29,8.1,10.8,0,0,0,0,0,0,6.5,6.5
11,CobyFleener,IND,TE,2013,13,TEN,7,5,71.4,63,0,28,9,12.6,0,0,0,0,0,0,6.3,6.3
11,RobHousler,ARI,TE,2013,13,PHI,7,6,85.7,63,0,28,9,10.5,0,0,0,0,0,0,6.3,6.3
13,MartellusBennett,CHI,TE,2013,13,MIN,6,5,83.3,62,0,27,10.3,12.4,0,0,0,0,0,0,6.2,6.2
14,VernonDavis,SF,TE,2013,13,LAR,6,4,66.7,58,0,26,9.7,14.5,0,0,0,0,0,0,5.8,5.8
