Rank,Name,Team,Position,Season,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,DeMarcoMurray,DAL,RB,2014,10,JAX,21,112,5.3,1,4,3,29,0,0,0,20.1,20.1
2,MattForteIR,CHI,RB,2014,10,GB,18,83,4.6,1,9,6,46,0,0,0,18.9,18.9
3,MarshawnLynchP,SEA,RB,2014,10,NYG,20,93,4.6,1,4,3,35,0,0,0,18.8,18.8
4,LeSeanMcCoyQ,PHI,RB,2014,10,CAR,22,105,4.8,1,4,3,11,0,0,0,17.6,17.6
5,AndreEllington,ARI,RB,2014,10,LAR,18,74,4.1,1,5,4,34,0,0,0,16.8,16.8
6,JamaalCharles,KC,RB,2014,10,BUF,18,78,4.3,1,6,4,29,0,0,0,16.7,16.7
7,DenardRobinson,JAX,RB,2014,10,DAL,19,96,5.1,1,3,2,10,0,0,0,16.6,16.6
8,JeremyHillIR,CIN,RB,2014,10,CLE,21,89,4.2,1,4,3,16,0,0,0,16.5,16.5
8,RonnieHillman,DEN,RB,2014,10,OAK,17,80,4.7,1,6,4,25,0,0,0,16.5,16.5
10,Le'VeonBellO,PIT,RB,2014,10,NYJ,16,64,4,1,6,4,32,0,0,0,15.6,15.6
11,EddieLacy,GB,RB,2014,10,CHI,17,76,4.5,1,4,3,18,0,0,0,15.4,15.4
12,BobbyRainey,TB,RB,2014,10,ATL,16,72,4.5,1,3,2,18,0,0,0,15,15
13,MarkIngramSUS,NO,RB,2014,10,SF,19,79,4.2,1,1,1,4,0,0,0,14.3,14.3
14,TerranceWest,CLE,RB,2014,10,CIN,15,63,4.2,1,4,3,15,0,0,0,13.8,13.8
15,ChrisIvory,NYJ,RB,2014,10,PIT,13,55,4.2,1,1,1,5,0,0,0,12,12
16,StevenJackson,ATL,RB,2014,10,TB,14,53,3.8,1,1,1,5,0,0,0,11.8,11.8
17,JustinForsett,BAL,RB,2014,10,TEN,17,79,4.6,0,4,3,23,0,0,0,10.2,10.2
18,LorenzoTaliaferro,BAL,RB,2014,10,TEN,7,27,3.9,1,1,1,11,0,0,0,9.8,9.8
19,LamarMiller,MIA,RB,2014,10,DET,15,62,4.1,0,4,3,24,0,0,0,8.6,8.6
20,DarrenMcFadden,OAK,RB,2014,10,DEN,13,45,3.5,0,6,4,28,0,0,0,7.3,7.3
21,ChrisJohnson,NYJ,RB,2014,10,PIT,11,51,4.6,0,4,3,21,0,0,0,7.2,7.2
22,FredJackson,BUF,RB,2014,10,KC,12,47,3.9,0,4,3,23,0,0,0,7,7
22,JonathanStewartIR,CAR,RB,2014,10,PHI,12,52,4.3,0,3,2,18,0,0,0,7,7
24,FrankGore,SF,RB,2014,10,NO,16,56,3.5,0,1,1,7,0,0,0,6.3,6.3
24,JoiqueBell,DET,RB,2014,10,MIA,13,51,3.9,0,3,2,12,0,0,0,6.3,6.3
24,TreMason,LAR,RB,2014,10,ARI,15,56,3.7,0,1,1,7,0,0,0,6.3,6.3
27,AndreWilliams,NYG,RB,2014,10,SEA,15,50,3.3,0,1,1,6,0,0,0,5.6,5.6
28,BishopSankey,TEN,RB,2014,10,BAL,11,39,3.5,0,4,3,16,0,0,0,5.5,5.5
28,DeAngeloWilliams,CAR,RB,2014,10,PHI,11,45,4.1,0,3,2,10,0,0,0,5.5,5.5
30,ReggieBush,DET,RB,2014,10,MIA,5,22,4.4,0,6,4,31,0,0,0,5.3,5.3
31,CharlesSims,TB,RB,2014,10,ATL,7,34,4.9,0,4,3,16,0,0,0,5,5
31,PeytonHillis,NYG,RB,2014,10,SEA,4,18,4.5,0,6,4,32,0,0,0,5,5
33,TheoRiddick,DET,RB,2014,10,MIA,3,13,4.3,0,6,4,32,0,0,0,4.5,4.5
34,DarrenSprolesO,PHI,RB,2014,10,CAR,3,17,5.7,0,6,4,27,0,0,0,4.4,4.4
35,DevontaFreemanO,ATL,RB,2014,10,TB,6,27,4.5,0,4,3,16,0,0,0,4.3,4.3
35,BenjaminCunningham,LAR,RB,2014,10,ARI,3,16,5.3,0,4,3,27,0,0,0,4.3,4.3
37,IsaiahCrowell,CLE,RB,2014,10,CIN,7,28,4,0,3,2,12,0,0,0,4,4
37,KnileDavis,KC,RB,2014,10,BUF,7,27,3.9,0,3,2,13,0,0,0,4,4
39,LeGarretteBlount,PIT,RB,2014,10,NYJ,8,32,4,0,1,1,5,0,0,0,3.7,3.7
39,TravarisCadet,NO,RB,2014,10,SF,1,4,4,0,6,4,33,0,0,0,3.7,3.7
41,BryceBrown,BUF,RB,2014,10,KC,6,23,3.8,0,3,2,12,0,0,0,3.5,3.5
42,TobyGerhart,JAX,RB,2014,10,DAL,6,19,3.2,0,1,1,13,0,0,0,3.2,3.2
42,RobertTurbinSUS,SEA,RB,2014,10,NYG,4,20,5,0,3,2,12,0,0,0,3.2,3.2
44,AnthonyDixon,BUF,RB,2014,10,KC,6,23,3.8,0,3,2,7,0,0,0,3,3
44,JamesStarks,GB,RB,2014,10,CHI,5,22,4.4,0,3,2,8,0,0,0,3,3
46,CarlosHyde,SF,RB,2014,10,NO,4,22,5.5,0,3,2,7,0,0,0,2.9,2.9
47,LanceDunbar,DAL,RB,2014,10,JAX,3,12,4,0,3,2,16,0,0,0,2.8,2.8
48,BenTate,CLE,RB,2014,10,CIN,3,15,5,0,1,1,9,0,0,0,2.4,2.4
48,DexterMcCluster,TEN,RB,2014,10,BAL,2,3,1.5,0,4,3,21,0,0,0,2.4,2.4
50,CedricPeerman,CIN,RB,2014,10,CLE,4,16,4,0,1,1,7,0,0,0,2.3,2.3
51,JacquizzRodgers,ATL,RB,2014,10,TB,2,10,5,0,3,2,12,0,0,0,2.2,2.2
52,ShonnGreene,TEN,RB,2014,10,BAL,6,21,3.5,0,0,0,0,0,0,0,2.1,2.1
52,AntoneSmith,ATL,RB,2014,10,TB,3,9,3,0,3,2,12,0,0,0,2.1,2.1
52,ChrisPolk,PHI,RB,2014,10,CAR,4,20,5,0,1,1,1,0,0,0,2.1,2.1
55,JosephRandle,DAL,RB,2014,10,JAX,4,17,4.2,0,1,1,2,0,0,0,1.9,1.9
55,MarcelReece,OAK,FB,2014,10,DEN,1,3,3,0,3,2,16,0,0,0,1.9,1.9
57,BilalPowell,NYJ,RB,2014,10,PIT,2,11,5.5,0,3,2,7,0,0,0,1.8,1.8
