Rank,Name,Team,Position,Season,Week,Opponent,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FieldGoalsLongestMade,ExtraPointsMade,ExtraPointsAttempted,FantasyPointsPerGame,FantasyPoints
1,StephenGostkowski,NE,K,2016,5,CLE,1.8,2.2,100,0,3.2,3.2,8.6,8.6
2,MikeNugentIR,CIN,K,2016,5,DAL,1.8,2.1,100,0,2.6,2.6,8,8
3,MasonCrosby,GB,K,2016,5,NYG,1.7,1.9,100,0,2.6,2.6,7.7,7.7
3,GrahamGano,CAR,K,2016,5,TB,1.7,2,100,0,2.6,2.6,7.7,7.7
5,CalebSturgis,PHI,K,2016,5,DET,1.7,2,100,0,2.5,2.5,7.6,7.6
5,JustinTucker,BAL,K,2016,5,WAS,1.8,2,100,0,2.2,2.2,7.6,7.6
7,BrandonMcManus,DEN,K,2016,5,ATL,1.6,2.1,100,0,2.7,2.7,7.5,7.5
8,ChandlerCatanzaro,ARI,K,2016,5,SF,1.6,1.9,100,0,2.6,2.6,7.4,7.4
9,BlairWalsh,MIN,K,2016,5,HOU,1.9,2.2,100,0,1.6,1.6,7.3,7.3
9,ChrisBoswell,PIT,K,2016,5,NYJ,1.5,1.8,100,0,2.8,2.8,7.3,7.3
9,DanBailey,DAL,K,2016,5,CIN,1.7,2,100,0,2.2,2.2,7.3,7.3
12,AdamVinatieri,IND,K,2016,5,CHI,1.6,1.8,100,0,2.4,2.4,7.2,7.2
12,AndrewFranks,MIA,K,2016,5,TEN,1.6,1.8,100,0,2.4,2.4,7.2,7.2
14,DustinHopkins,WAS,K,2016,5,BAL,1.6,1.7,100,0,2.3,2.3,7.1,7.1
14,JoshBrown,NYG,K,2016,5,GB,1.6,1.9,100,0,2.3,2.3,7.1,7.1
16,NickFolk,NYJ,K,2016,5,PIT,1.7,2.1,100,0,1.8,1.8,6.9,6.9
17,MattBryant,ATL,K,2016,5,DEN,1.6,1.8,100,0,2,2,6.8,6.8
17,SebastianJanikowski,OAK,K,2016,5,LAC,1.3,1.6,50,0,2.9,2.9,6.8,6.8
19,NickNovak,HOU,K,2016,5,MIN,1.6,1.9,100,0,1.8,1.8,6.6,6.6
19,JoshLamboP,LAC,K,2016,5,OAK,1.4,1.7,50,0,2.4,2.4,6.6,6.6
21,GregZuerlein,LAR,K,2016,5,BUF,1.5,1.7,100,0,2,2,6.5,6.5
22,MattPrater,DET,K,2016,5,PHI,1.5,1.9,100,0,1.7,1.7,6.2,6.2
23,PhilDawson,SF,K,2016,5,ARI,1.5,1.7,100,0,1.6,1.6,6.1,6.1
23,DanCarpenter,BUF,K,2016,5,LAR,1.3,1.5,50,0,2.2,2.2,6.1,6.1
25,RyanSuccopP,TEN,K,2016,5,MIA,1.3,1.6,50,0,2.1,2.1,6,6
25,RobertoAguayo,TB,K,2016,5,CAR,1.4,1.7,50,0,1.8,1.8,6,6
27,CodyParkey,CLE,K,2016,5,NE,1.4,1.7,50,0,1.6,1.6,5.8,5.8
28,ConnorBarth,CHI,K,2016,5,IND,1.2,1.7,50,0,1.9,1.9,5.5,5.5
29,PatrickMurray,CLE,K,2016,5,NE,0,0,0,0,0,0,0,0
29,JordanGay,BUF,K,2016,5,LAR,0,0,0,0,0,0,0,0
