Rank,Name,Team,Position,Season,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,Le'VeonBellO,PIT,RB,2016,11,CLE,20.2,90,4.5,0.7,9.11,6.2,56,0.4,0.1,0.1,21,21
2,DavidJohnson,ARI,RB,2016,11,MIN,18.9,80.4,4.2,0.6,5.72,4.4,40.1,0.2,0.2,0.2,16.4,16.45
3,DeMarcoMurray,TEN,RB,2016,11,IND,18.9,88.9,4.7,0.7,4.29,3.3,25.1,0.1,0.2,0.2,15.8,15.8
4,EzekielElliott,DAL,RB,2016,11,BAL,21.5,90.5,4.1,0.7,3.45,2.6,22.8,0.1,0.2,0.2,15.7,15.73
5,SpencerWare,KC,RB,2016,11,TB,18.3,86.1,4.8,0.7,3.61,2.6,25.8,0.1,0.3,0.3,15.4,15.39
6,LeSeanMcCoyQ,BUF,RB,2016,11,CIN,17,82.8,4.9,0.7,4.21,3.1,21.9,0.1,0.1,0.1,15.1,15.07
6,LeGarretteBlount,NE,RB,2016,11,SF,20.2,94.2,4.7,0.9,0.83,0.6,4.5,0,0.1,0.1,15.1,15.07
8,JayAjayiP,MIA,RB,2016,11,LAR,19.3,86.1,4.5,0.7,2.34,1.7,12.8,0,0.2,0.2,13.7,13.69
9,ToddGurley,LAR,RB,2016,11,MIA,19.2,76.7,4.1,0.4,3.53,2.6,19.3,0.1,0.2,0.2,12.2,12.2
10,LamarMiller,HOU,RB,2016,11,OAK,16.7,72.3,4.2,0.4,2.91,2.1,15.6,0.1,0.1,0.1,11.6,11.59
11,IsaiahCrowell,CLE,RB,2016,11,PIT,13.7,57.7,4.1,0.5,3.67,2.5,21.6,0.1,0.1,0.1,11.3,11.33
12,FrankGore,IND,RB,2016,11,TEN,15.6,64.2,4,0.4,3.21,2.4,19.2,0.1,0.1,0.1,11.1,11.14
13,TheoRiddick,DET,RB,2016,11,JAX,12,46.9,3.9,0.3,6.51,4.4,34.9,0.2,0.1,0.1,11,10.98
14,JonathanStewartIR,CAR,RB,2016,11,NO,17.1,72.7,4.3,0.5,1.39,1,9,0,0.2,0.2,10.8,10.77
14,JordanHoward,CHI,RB,2016,11,NYG,15.5,67.4,4.2,0.4,3.15,2.3,18.3,0,0.1,0.1,10.8,10.77
16,LataviusMurray,OAK,RB,2016,11,HOU,13.4,56.3,4.3,0.5,2.92,2.2,15.3,0.1,0.1,0.1,10.6,10.56
17,JeremyHillIR,CIN,RB,2016,11,BUF,13.9,60.7,4.4,0.6,1.3,1,8.2,0,0.1,0.1,10.3,10.29
18,CJProsiseD,SEA,RB,2016,11,PHI,10.9,45.5,4.2,0.3,4.45,3.4,30.8,0.1,0.1,0.1,9.8,9.83
19,DougMartin,TB,RB,2016,11,KC,15.4,66.3,4.4,0.2,3.35,2.3,17.4,0.1,0.2,0.2,9.8,9.77
20,RobKelleyIR,WAS,RB,2016,11,GB,16.2,66.5,4.1,0.4,1.63,1.1,7.8,0,0.1,0.1,9.6,9.63
21,CarlosHyde,SF,RB,2016,11,NE,15.1,58.8,3.9,0.5,2.38,1.7,11.2,0,0.2,0.2,9.6,9.6
22,MarkIngramSUS,NO,RB,2016,11,CAR,12.2,48.5,4,0.3,4.35,3.2,24.1,0.1,0.1,0.1,9.5,9.46
23,RashadJennings,NYG,RB,2016,11,CHI,12.4,47.7,4,0.3,3.05,2.3,18,0.1,0.1,0.1,8.8,8.77
24,GiovaniBernardP,CIN,RB,2016,11,BUF,9.4,39.9,4.4,0.2,4.28,3.2,28.8,0.1,0.1,0.1,8.5,8.47
25,JamesStarks,GB,RB,2016,11,WAS,12.3,51.2,4.2,0.2,2.52,1.9,12.8,0.1,0.1,0.1,8,8
26,TerranceWest,BAL,RB,2016,11,DAL,12.4,47,3.9,0.3,2.3,1.6,11.6,0,0.1,0.1,7.5,7.46
27,TimHightower,NO,RB,2016,11,CAR,9,33.7,3.8,0.3,3.05,2.2,17.1,0.1,0.1,0.1,7.3,7.28
28,PaulPerkins,NYG,RB,2016,11,CHI,8.9,34,3.8,0.2,3.04,2.1,18.7,0.1,0.1,0.1,6.9,6.87
29,DukeJohnson,CLE,RB,2016,11,PIT,6,25.1,4.2,0.1,5.57,4.1,33.3,0.1,0.1,0.1,6.8,6.84
30,JamesWhite,NE,RB,2016,11,SF,3.5,16,4,0.1,5.65,3.9,35.6,0.2,0.1,0.1,6.8,6.76
31,DarrenSprolesO,PHI,RB,2016,11,SEA,6.6,25.6,3.7,0.1,5.76,4,31.4,0.1,0.1,0.1,6.7,6.7
32,TJYeldonP,JAX,RB,2016,11,DET,8.2,33,4.1,0.1,4.29,2.9,22.4,0.1,0.1,0.1,6.5,6.54
33,ThomasRawls,SEA,RB,2016,11,PHI,8.7,36.6,4.1,0.2,1.96,1.5,11.4,0.1,0.1,0.1,6.4,6.4
34,RyanMathews,PHI,RB,2016,11,SEA,10.6,40.6,3.7,0.3,1.58,1.2,8.8,0,0.2,0.2,6.3,6.34
35,TyMontgomery,GB,RB,2016,11,WAS,3.7,20.4,5,0.1,3.92,2.8,25.3,0.2,0.1,0.1,6.2,6.17
36,MattAsiata,MIN,RB,2016,11,ARI,9,29.6,3.3,0.2,2.78,2,15.4,0.1,0.1,0.1,6.1,6.1
37,ChrisIvory,JAX,RB,2016,11,DET,9.7,39.5,4,0.2,2.14,1.5,10.5,0,0.1,0.1,6,6
38,KennethDixonIR,BAL,RB,2016,11,DAL,6.7,25.6,3.7,0.1,4.25,3.2,23.1,0.1,0.1,0.1,5.9,5.87
39,ChrisThompson,WAS,RB,2016,11,GB,5.3,22.7,4.6,0.1,3.83,2.8,22.3,0.1,0.1,0.1,5.5,5.5
40,CharcandrickWest,KC,RB,2016,11,TB,5.4,22.3,4.4,0.2,2.66,1.8,13.5,0.1,0.1,0.1,5.2,5.18
41,JerickMcKinnonIR,MIN,RB,2016,11,ARI,9.3,33.3,3.7,0.1,2.68,1.8,11.7,0,0.1,0.1,4.9,4.9
42,DwayneWashington,DET,RB,2016,11,JAX,7.5,30,3.8,0.2,0.87,0.6,4.1,0,0,0,4.6,4.61
43,DerrickHenry,TEN,RB,2016,11,IND,6.2,27.2,4.5,0.2,1.49,1,8.7,0,0.1,0.1,4.6,4.59
