Rank,Name,Team,Position,Season,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,Le'VeonBellO,PIT,RB,2017,3,CHI,19.4,88.4,4.6,0.7,6.61,4.5,38,0.2,0.1,0.1,17.8,17.84
2,EzekielElliott,DAL,RB,2017,3,ARI,20,88.6,4.4,0.6,4.25,3.2,25.3,0.1,0.1,0.1,15.4,15.39
3,JayAjayiP,MIA,RB,2017,3,NYJ,20.3,87.3,4.4,0.7,2.62,1.9,13.8,0.1,0.1,0.1,14.7,14.71
4,KareemHunt,KC,RB,2017,3,LAC,17,76.1,4.5,0.6,4.23,3,24.8,0.2,0.2,0.2,14.5,14.49
5,DevontaFreemanO,ATL,RB,2017,3,DET,14,62.7,4.5,0.6,4.59,3.4,28.7,0.2,0.1,0.1,13.7,13.74
6,LeSeanMcCoyQ,BUF,RB,2017,3,DEN,16.7,76.7,4.5,0.5,4.76,3.5,25.8,0.1,0.1,0.1,13.6,13.65
7,ToddGurley,LAR,RB,2017,3,SF,18.8,70.8,3.7,0.6,4.21,3.1,25.5,0.1,0.1,0.1,13.6,13.63
8,TyMontgomery,GB,RB,2017,3,CIN,16.2,72.7,4.6,0.5,4.15,3.1,24.8,0.1,0.1,0.1,13.2,13.15
9,CJAnderson,DEN,RB,2017,3,BUF,17.2,74.8,4.4,0.5,3.38,2.4,19.8,0.1,0.1,0.1,12.9,12.86
10,CarlosHyde,SF,RB,2017,3,LAR,16.8,73.5,4.4,0.5,3.92,2.8,19.9,0.1,0.2,0.2,12.5,12.54
11,MelvinGordon,LAC,RB,2017,3,KC,17.1,69.8,4.1,0.4,5.18,3.5,29.1,0.1,0.2,0.2,12.5,12.49
12,MarshawnLynchP,OAK,RB,2017,3,WAS,15,64.9,4.3,0.6,2.5,1.8,14.3,0.1,0.1,0.1,11.9,11.92
13,DalvinCook,MIN,RB,2017,3,TB,15.7,63.3,3.9,0.5,3.7,2.5,20.3,0.1,0.1,0.1,11.8,11.76
14,LeonardFournetteQ,JAX,RB,2017,3,BAL,16.9,69,4.1,0.4,3.67,2.5,19.2,0.1,0.1,0.1,11.6,11.62
15,IsaiahCrowell,CLE,RB,2017,3,IND,14.6,62.9,4.2,0.4,3.08,2.1,18.1,0.1,0.1,0.1,10.9,10.9
16,MikeGillislee,NE,RB,2017,3,HOU,15.2,62.8,4.2,0.7,0.8,0.6,4.9,0,0.1,0.1,10.8,10.77
17,ChristianMcCaffrey,CAR,RB,2017,3,NO,10.3,43.5,4.4,0.3,5.18,3.7,35.4,0.2,0.2,0.2,10.5,10.49
18,JonathanStewartIR,CAR,RB,2017,3,NO,14.3,60.7,4.4,0.5,1.8,1.3,10.5,0.1,0.2,0.2,10.3,10.32
19,JordanHoward,CHI,RB,2017,3,PIT,14,60,4.3,0.4,2.6,1.9,14.9,0.1,0.1,0.1,10.3,10.29
20,FrankGore,IND,RB,2017,3,CLE,14.8,60.1,4,0.4,2.27,1.7,14,0.1,0.1,0.1,10.2,10.21
21,LamarMiller,HOU,RB,2017,3,NE,14.7,59.5,4,0.3,3.47,2.5,19.5,0.1,0.1,0.1,10.1,10.1
22,AmeerAbdullah,DET,RB,2017,3,ATL,12.1,53.9,4.5,0.3,3.12,2.3,17.8,0.1,0.1,0.1,9.4,9.37
23,JacquizzRodgers,TB,RB,2017,3,MIN,16,63.2,3.9,0.3,2.22,1.6,10.2,0,0.1,0.1,8.9,8.94
24,JavoriusAllen,BAL,RB,2017,3,JAX,12.3,45.7,3.8,0.3,4.14,3,21.6,0.1,0.1,0.1,8.9,8.93
25,TevinColeman,ATL,RB,2017,3,DET,8.4,36.6,4.6,0.3,3.35,2.5,23.4,0.2,0.1,0.1,8.8,8.8
26,ChrisCarsonQ,SEA,RB,2017,3,TEN,11.8,49,4.1,0.3,2.53,1.7,13.8,0.1,0.1,0.1,8.5,8.48
27,MarkIngramSUS,NO,RB,2017,3,CAR,9.4,39.9,4.4,0.3,4.48,3.3,24.4,0.1,0.2,0.2,8.4,8.43
28,DeMarcoMurray,TEN,RB,2017,3,SEA,12,45.8,3.8,0.3,2.73,2.1,14.2,0.1,0.1,0.1,8.2,8.2
29,ChrisThompson,WAS,RB,2017,3,OAK,5.2,25.4,5,0.2,4.79,3.5,29.9,0.2,0.1,0.1,7.7,7.73
30,TarikCohen,CHI,RB,2017,3,PIT,6.9,29.8,4.3,0.2,5.48,4,32.4,0.1,0.2,0.2,7.6,7.62
31,MattForteIR,NYJ,RB,2017,3,MIA,9.6,40.3,4,0.2,3.48,2.4,19.3,0.1,0.1,0.1,7.6,7.56
32,BilalPowell,NYJ,RB,2017,3,MIA,7.9,36,4.5,0.2,4.2,2.9,20.9,0.1,0.1,0.1,7.3,7.29
33,ChrisJohnson,ARI,RB,2017,3,DAL,11.3,44.3,4,0.4,1.31,0.9,6.3,0,0.1,0.1,7.3,7.26
34,DarrenSprolesO,PHI,RB,2017,3,NYG,6.6,27.3,3.9,0.2,4.89,3.4,27.5,0.1,0.1,0.1,7.1,7.08
35,JoeMixonO,CIN,RB,2017,3,GB,8.6,36.3,4,0.2,2.98,2.1,16.9,0.1,0.1,0.1,6.9,6.92
36,DerrickHenry,TEN,RB,2017,3,SEA,10.6,43.4,3.9,0.3,1.78,1.2,9.1,0,0.1,0.1,6.8,6.85
37,GiovaniBernardP,CIN,RB,2017,3,GB,6.9,28.4,4,0.2,3.48,2.6,23.5,0.1,0.1,0.1,6.8,6.79
38,TheoRiddick,DET,RB,2017,3,ATL,4.5,18,4.5,0.1,6.21,4.2,31.8,0.2,0.1,0.1,6.6,6.58
39,DukeJohnson,CLE,RB,2017,3,IND,4.8,21.2,4.2,0.1,4.89,3.6,33.8,0.1,0.1,0.1,6.5,6.5
39,SamajePerineQ,WAS,RB,2017,3,OAK,9.8,41.5,4.2,0.3,1.19,0.9,7.5,0,0.1,0.1,6.5,6.5
41,TerranceWest,BAL,RB,2017,3,JAX,9.7,36.6,3.7,0.3,2.3,1.6,11.3,0,0.1,0.1,6.4,6.39
42,JamesWhite,NE,RB,2017,3,HOU,4.4,17.2,4.2,0.1,5.22,3.6,30.5,0.2,0.1,0.1,6.4,6.37
43,LeGarretteBlount,PHI,RB,2017,3,NYG,9.4,36.2,4,0.3,1.25,0.9,6,0,0.1,0.1,5.8,5.82
44,PaulPerkins,NYG,RB,2017,3,PHI,9.4,35.5,4,0.2,2.17,1.5,12.1,0,0.1,0.1,5.8,5.76
45,KerwynnWilliams,ARI,RB,2017,3,DAL,7,28.3,4,0.3,1.63,1.2,9.5,0,0.1,0.1,5.4,5.38
46,AlvinKamaraP,NO,RB,2017,3,CAR,3.9,15,3.8,0.1,4.58,3.5,27.7,0.1,0.1,0.1,5.3,5.27
47,ShaneVereenIR,NYG,RB,2017,3,PHI,4,16.5,4,0.1,4.48,3.3,27.2,0.1,0.2,0.2,5.2,5.17
48,JalenRichard,OAK,RB,2017,3,WAS,4.4,21.7,5.5,0.2,2.35,1.6,13.6,0.1,0.1,0.1,5.1,5.13
49,CharlesSims,TB,RB,2017,3,MIN,5.7,20.5,3.3,0.1,3.86,2.7,22,0.1,0.2,0.2,5,5.05
50,RobertTurbinSUS,IND,RB,2017,3,CLE,4.8,18.4,3.6,0.2,2.64,2,15.9,0.1,0.1,0.1,5,5.03
51,JamaalCharles,DEN,RB,2017,3,BUF,7,33.6,4.9,0.2,1.62,1.1,9.2,0,0.3,0.3,4.9,4.88
52,AdrianPetersonQ,NO,RB,2017,3,CAR,8.8,33.1,3.7,0.2,0.91,0.7,4.7,0,0.2,0.2,4.6,4.58
53,AndreEllington,ARI,RB,2017,3,DAL,2.9,10.7,3.7,0.1,3.56,2.7,23.9,0.1,0.1,0.1,4.5,4.46
54,JerickMcKinnonIR,MIN,RB,2017,3,TB,4.6,16.7,3.4,0.1,3.27,2.2,15.9,0.1,0.1,0.1,4.3,4.26
55,MattBreidaQ,SF,RB,2017,3,LAR,5.4,22.5,4.4,0.2,1.52,1.1,8.8,0,0.1,0.1,4.1,4.13
56,DeandreWashingtonQ,OAK,RB,2017,3,WAS,4,18.2,4.5,0.1,2.14,1.6,12.4,0.1,0.1,0.1,4.1,4.06
57,OrleansDarkwa,NYG,RB,2017,3,PHI,7.1,28,4,0.1,1.58,1.1,7.7,0,0.1,0.1,4,3.97
58,JamaalWilliams,GB,RB,2017,3,CIN,5.8,23.1,3.8,0.2,1.06,0.8,6.2,0,0.1,0.1,3.9,3.93
59,MikeTolbert,BUF,FB,2017,3,DEN,6.2,22.8,3.8,0.2,1.19,0.8,6,0,0.1,0.1,3.9,3.88
60,JeremyHillIR,CIN,RB,2017,3,GB,5.6,23.1,3.8,0.2,0.78,0.6,4.8,0,0.1,0.1,3.8,3.79
61,CJProsiseD,SEA,RB,2017,3,TEN,2.3,9.1,4.5,0.1,2.35,1.8,17.7,0.1,0.1,0.1,3.7,3.68
62,ChrisIvory,JAX,RB,2017,3,BAL,5.3,20.9,4.2,0.1,2.71,1.9,13.3,0,0.2,0.2,3.6,3.62
63,CharcandrickWest,KC,RB,2017,3,LAC,4.5,18.3,4.5,0.2,1.33,0.9,6.8,0,0.1,0.1,3.5,3.51
64,D'OntaForemanPUP,HOU,RB,2017,3,NE,6.1,25.7,4.3,0.1,0.95,0.7,5.2,0,0.1,0.1,3.5,3.49
65,WendellSmallwood,PHI,RB,2017,3,NYG,6,22.4,3.7,0.1,1.49,1,6.8,0,0.1,0.1,3.3,3.32
66,DionLewis,NE,RB,2017,3,HOU,4.3,17.3,4.2,0.1,1.87,1.3,9.8,0,0.1,0.1,3.1,3.11
67,BrandenOliver,LAC,RB,2017,3,KC,4.5,18.1,4.5,0.1,1.59,1.1,8.2,0,0.1,0.1,3,3.03
68,ThomasRawls,SEA,RB,2017,3,TEN,5.3,21,4.2,0.1,0.78,0.6,4.7,0,0.1,0.1,3,2.97
69,DamienWilliams,MIA,RB,2017,3,NYJ,1.9,7.9,4,0.1,1.58,1.1,9.7,0.1,0,0,3,2.96
70,JamesConner,PIT,RB,2017,3,CHI,3.5,13.5,3.5,0.2,0.44,0.3,2.6,0,0,0,2.8,2.81
71,KenyanDrake,MIA,RB,2017,3,NYJ,3.5,14.4,3.5,0.1,0.88,0.6,4.6,0,0.1,0.1,2.3,2.3
72,ElijahMcGuireIR,NYJ,RB,2017,3,MIA,2.9,11.7,4,0.1,1.16,0.8,5.9,0,0.1,0.1,2.2,2.16
73,KyleJuszczyk,SF,FB,2017,3,LAR,0.8,2.5,2,0,2.19,1.6,12.8,0.1,0,0,2.1,2.13
74,AlfredMorrisQ,DAL,RB,2017,3,ARI,3.5,13,3.2,0.1,0.53,0.4,2.5,0,0.1,0.1,2,1.95
75,PeytonBarber,TB,RB,2017,3,MIN,2.7,11.4,3.7,0.1,0.13,0.1,1.2,0,0,0,1.9,1.86
76,TylerErvin,HOU,RB,2017,3,NE,1.2,4.5,4,0,3.06,2.1,15.9,0,0.1,0.1,1.8,1.84
77,LataviusMurray,MIN,RB,2017,3,TB,2.4,9.1,4.5,0.1,0.53,0.4,2.8,0,0,0,1.8,1.79
78,AlexCollins,BAL,RB,2017,3,JAX,2.9,10.7,3.7,0.1,1.09,0.8,6.1,0,0.3,0.3,1.7,1.68
79,ZachZenner,DET,RB,2017,3,ATL,2,8.3,4,0.1,0.14,0.1,1.3,0,0,0,1.6,1.56
80,JustinDavis,LAR,RB,2017,3,SF,1.9,7.4,3.5,0.1,0.39,0.3,2.1,0,0,0,1.6,1.55
81,MattDayes,CLE,RB,2017,3,IND,1,3.9,4,0.1,0.42,0.3,2.1,0,0,0,1.2,1.2
82,MattJones,IND,RB,2017,3,CLE,1.5,6.3,3,0,0.28,0.2,2.2,0,0,0,0.8,0.85
83,AaronRipkowski,GB,FB,2017,3,CIN,0.8,4,4,0,0.66,0.5,3.6,0,0,0,0.8,0.76
84,AaronJones,GB,RB,2017,3,CIN,1.2,4.9,5,0,0.4,0.3,2.3,0,0,0,0.7,0.72
85,JamizeOlawale,OAK,FB,2017,3,WAS,0.8,3.2,3,0,0.58,0.4,3.4,0,0,0,0.7,0.66
86,BenjaminCunningham,CHI,RB,2017,3,PIT,0.5,2.2,0,0,0.53,0.4,3.3,0,0,0,0.6,0.55
87,FozzyWhittakerIR,CAR,RB,2017,3,NO,0.8,3.3,3,0,0.29,0.2,1.7,0,0,0,0.5,0.5
88,EddieLacy,SEA,RB,2017,3,TEN,1,3.8,4,0,0.13,0.1,0.7,0,0,0,0.4,0.45
89,MackBrownIR,WAS,RB,2017,3,OAK,0.9,3.6,4,0,0.13,0.1,0.5,0,0,0,0.4,0.41
90,De'AngeloHenderson,DEN,RB,2017,3,BUF,0.6,2.1,2,0,0.26,0.2,1.7,0,0,0,0.4,0.38
91,PatrickDiMarco,BUF,FB,2017,3,DEN,0.2,0.5,0,0,0.54,0.4,3.1,0,0,0,0.4,0.36
91,AustinEkeler,LAC,RB,2017,3,KC,0.5,1.8,0,0,0.27,0.2,1.8,0,0,0,0.4,0.36
91,ElijhaaPenny,ARI,RB,2017,3,DAL,0.4,1.6,0,0,0.28,0.2,2,0,0,0,0.4,0.36
94,BrianHill,ATL,RB,2017,3,DET,0.6,2.2,2,0,0.13,0.1,1.1,0,0,0,0.3,0.33
94,BrandonBolden,NE,RB,2017,3,HOU,0.6,2.1,2,0,0.27,0.2,1.2,0,0,0,0.3,0.33
96,CoreyGrant,JAX,RB,2017,3,BAL,0.6,2.6,3,0,0.14,0.1,0.6,0,0,0,0.3,0.32
97,CoreyClementQ,PHI,RB,2017,3,NYG,0.5,2,0,0,0.13,0.1,1,0,0,0,0.3,0.3
97,DerekWatt,LAC,FB,2017,3,KC,0.4,1.4,0,0,0.13,0.1,1.6,0,0,0,0.3,0.3
99,RaheemMostert,SF,RB,2017,3,LAR,0.9,4,4,0,0.27,0.2,0.9,0,0.1,0.1,0.3,0.29
100,SenorisePerry,MIA,RB,2017,3,NYJ,0.3,1.3,0,0,0.29,0.2,1.4,0,0,0,0.3,0.27
101,TommyBohanon,JAX,FB,2017,3,BAL,0.2,1,0,0,0.26,0.2,1.6,0,0,0,0.3,0.26
101,AndyJanovich,DEN,FB,2017,3,BUF,0.2,0.7,0,0,0.44,0.3,1.9,0,0,0,0.3,0.26
103,TerrellWatson,PIT,RB,2017,3,CHI,0.5,2.2,0,0,0,0,0.3,0,0,0,0.2,0.25
103,DavidFluellenO,TEN,RB,2017,3,SEA,0.4,1.7,0,0,0.14,0.1,0.8,0,0,0,0.2,0.25
103,RodSmith,DAL,RB,2017,3,ARI,0.5,2,0,0,0.13,0.1,0.5,0,0,0,0.2,0.25
106,DevanteMays,GB,RB,2017,3,CIN,0.3,1.4,0,0,0.14,0.1,1,0,0,0,0.2,0.24
107,TaiwanJones,BUF,RB,2017,3,DEN,0.3,1.1,0,0,0.26,0.2,1.2,0,0,0,0.2,0.23
107,DerrickColeman,ATL,FB,2017,3,DET,0.3,1.2,0,0,0.14,0.1,1.1,0,0,0,0.2,0.23
107,AkeemHuntIR,KC,RB,2017,3,LAC,0.3,1.4,0,0,0.14,0.1,0.9,0,0,0,0.2,0.23
110,MichaelBurton,CHI,FB,2017,3,PIT,0.3,0.8,0,0,0.27,0.2,1.4,0,0,0,0.2,0.22
110,JalstonFowler,TEN,RB,2017,3,SEA,0.3,1,0,0,0.28,0.2,1.2,0,0,0,0.2,0.22
112,DanielLascoPUP,NO,RB,2017,3,CAR,0.4,1.4,0,0,0.13,0.1,0.6,0,0,0,0.2,0.2
113,AnthonySherman,KC,FB,2017,3,LAC,0.1,0.4,0,0,0.28,0.2,1.4,0,0,0,0.2,0.18
