Rank,Name,Team,Position,Season,Week,Opponent,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FieldGoalsLongestMade,ExtraPointsMade,ExtraPointsAttempted,FantasyPointsPerGame,FantasyPoints
1,ChandlerCatanzaro,ARI,K,2015,14,MIN,2,2,100,0,3,3,9,9
1,DanCarpenter,BUF,K,2015,14,PHI,2,2,100,0,3,3,9,9
1,ConnorBarth,TB,K,2015,14,NO,2,2,100,0,3,3,9,9
1,RandyBullock,NYJ,K,2015,14,TEN,2,2,100,0,3,3,9,9
1,MikeNugentIR,CIN,K,2015,14,PIT,2,2,100,0,3,3,9,9
1,StephenGostkowski,NE,K,2015,14,HOU,2,2,100,0,3,3,9,9
1,CairoSantos,KC,K,2015,14,LAC,2,2,100,0,3,3,9,9
1,GrahamGano,CAR,K,2015,14,ATL,2,2,100,0,3,3,9,9
1,StevenHauschka,SEA,K,2015,14,BAL,2,2,100,0,3,3,9,9
1,JoshBrown,NYG,K,2015,14,MIA,2,2,100,0,3,3,9,9
11,BlairWalsh,MIN,K,2015,14,ARI,2,2,100,0,2,2,8,8
11,CalebSturgis,PHI,K,2015,14,BUF,2,2,100,0,2,2,8,8
11,GregZuerlein,LAR,K,2015,14,DET,2,2,100,0,2,2,8,8
11,MattPrater,DET,K,2015,14,LAR,2,2,100,0,2,2,8,8
11,KaiForbath,NO,K,2015,14,TB,2,2,100,0,2,2,8,8
11,RyanSuccopP,TEN,K,2015,14,NYJ,2,2,100,0,2,2,8,8
11,NickNovak,HOU,K,2015,14,NE,2,2,100,0,2,2,8,8
11,AdamVinatieri,IND,K,2015,14,JAX,2,2,100,0,2,2,8,8
11,JasonMyers,JAX,K,2015,14,IND,2,2,100,0,2,2,8,8
11,RobbieGould,CHI,K,2015,14,WAS,2,2,100,0,2,2,8,8
11,ShayneGraham,ATL,K,2015,14,CAR,2,2,100,0,2,2,8,8
11,BrandonMcManus,DEN,K,2015,14,OAK,2,2,100,0,2,2,8,8
11,SebastianJanikowski,OAK,K,2015,14,DEN,2,2,100,0,2,2,8,8
11,DanBailey,DAL,K,2015,14,GB,2,2,100,0,2,2,8,8
11,MasonCrosby,GB,K,2015,14,DAL,2,2,100,0,2,2,8,8
11,JustinTucker,BAL,K,2015,14,SEA,2,2,100,0,2,2,8,8
27,ChrisBoswell,PIT,K,2015,14,CIN,2,2,100,0,1,1,7,7
27,JoshLamboP,LAC,K,2015,14,KC,2,2,100,0,1,1,7,7
27,DustinHopkins,WAS,K,2015,14,CHI,2,2,100,0,1,1,7,7
30,PhilDawson,SF,K,2015,14,CLE,1,1,100,0,2,2,5,5
30,TravisCoons,CLE,K,2015,14,SF,1,1,100,0,2,2,5,5
30,AndrewFranks,MIA,K,2015,14,NYG,1,2,50,0,2,2,5,5
33,JordanGay,BUF,K,2015,14,PHI,0,0,0,0,0,0,0,0
33,BillyCundiff,BUF,K,2015,14,PHI,0,0,0,0,0,0,0,0
33,ZachHocker,LAR,K,2015,14,DET,0,0,0,0,0,0,0,0
33,PatrickMurray,TB,K,2015,14,NO,0,0,0,0,0,0,0,0
33,GarrettHartley,PIT,K,2015,14,CIN,0,0,0,0,0,0,0,0
33,ShaunSuisham,PIT,K,2015,14,CIN,0,0,0,0,0,0,0,0
33,JoshScobee,PIT,K,2015,14,CIN,0,0,0,0,0,0,0,0
33,JayFeely,CHI,K,2015,14,WAS,0,0,0,0,0,0,0,0
33,MattBryant,ATL,K,2015,14,CAR,0,0,0,0,0,0,0,0
