Rank,Name,Team,Position,Season,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,AntonioBrown,PIT,WR,2016,15,CIN,11.57,7.1,58.3,92.3,0.6,0,7.7,13.1,0.2,1.6,0,0,0,0,13,12.99
2,MikeEvans,TB,WR,2016,15,DAL,9,6,66.7,89.4,0.7,0,9.9,14.8,0,0,0,0,0.1,0.1,12.9,12.94
3,OdellBeckhamJr,NYG,WR,2016,15,DET,10.85,6.5,54.5,85.4,0.7,0,7.7,14.2,0,0.2,0,0,0.1,0.1,12.6,12.56
4,JordyNelson,GB,WR,2016,15,CHI,10.61,6.1,54.5,78.7,0.6,0,7.2,13.2,0,0,0,0,0,0,11.5,11.47
5,T.Y.Hilton,IND,WR,2016,15,MIN,8.2,5.7,75,81.3,0.5,0,10.1,13.5,0,0.3,0,0,0.1,0.1,11,10.96
6,LarryFitzgeraldQ,ARI,WR,2016,15,NO,9.45,6.9,77.8,77.9,0.5,0,8.7,11.1,0,0.1,0,0,0.1,0.1,10.6,10.6
7,AmariCooper,OAK,WR,2016,15,LAC,7.5,5.4,62.5,72.7,0.5,0,9.1,14.6,0.1,0.3,0,0,0,0,10.3,10.3
8,DezBryant,DAL,WR,2016,15,TB,6.68,4.4,57.1,67.1,0.6,0,9.6,16.8,0,0,0,0,0.1,0.1,10.1,10.11
9,DougBaldwinQ,SEA,WR,2016,15,LAR,8.53,5.4,55.6,68.4,0.5,0,7.6,13.6,0,-0.1,0,0,0,0,9.8,9.83
10,StefonDiggs,MIN,WR,2016,15,IND,10.14,5.9,60,70.8,0.4,0,7.1,11.8,0.1,0.8,0,0,0,0,9.6,9.56
11,MichaelCrabtree,OAK,WR,2016,15,LAC,8.41,5.5,75,64.6,0.5,0,8.1,10.8,0,0.1,0,0,0,0,9.5,9.47
12,DemaryiusThomas,DEN,WR,2016,15,NE,7.73,5.3,62.5,65.6,0.5,0,8.2,13.2,0,0,0,0,0.1,0.1,9.4,9.36
13,TyrellWilliams,LAC,WR,2016,15,OAK,5.63,4.3,66.7,62.8,0.5,0,10.5,15.8,0,0,0,0,0,0,9.3,9.28
