Rank,Name,Team,Position,Season,Week,Opponent,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowed,FantasyPointsPerGame,FantasyPoints
1,PhiladelphiaEagles,PHI,DST,2016,9,NYG,0,2.8,0,1.1,1.1,0,0,0,19,10.6,10.6
2,KansasCityChiefs,KC,DST,2016,9,JAX,0,2.9,0,1.6,0.8,0,0,0,16.4,10.5,10.5
3,MinnesotaVikings,MIN,DST,2016,9,DET,0,2.8,0,1,0.7,0.1,0,0,20.1,9.2,9.2
4,DallasCowboys,DAL,DST,2016,9,CLE,0,2.3,0,1,0.8,0,0,0,19.3,8.7,8.7
5,MiamiDolphins,MIA,DST,2016,9,NYJ,0,2.5,0,1,0.6,0,0,0,20.9,8.5,8.5
6,CarolinaPanthers,CAR,DST,2016,9,LAR,0,2.8,0,1.1,0.6,0,0,0,19,8.4,8.4
6,DenverBroncos,DEN,DST,2016,9,OAK,0,2.6,0,1,0.7,0.1,0,0,20.8,8.4,8.4
8,SeattleSeahawks,SEA,DST,2016,9,BUF,0,2.8,0,0.9,0.5,0,0,0,19.8,7.8,7.8
9,BaltimoreRavens,BAL,DST,2016,9,PIT,0,2.4,0,1,0.6,0,0,0,23.9,7.4,7.4
9,LosAngelesRams,LAR,DST,2016,9,CAR,0,2,0,0.9,0.9,0,0,0,23.1,7.4,7.4
9,GreenBayPackers,GB,DST,2016,9,IND,0,3,0,1.1,0.5,0,0,0,22.1,7.4,7.4
12,LosAngelesChargers,LAC,DST,2016,9,TEN,0,2.3,0,1,0.7,0,0,0,23.4,6.9,6.9
13,PittsburghSteelers,PIT,DST,2016,9,BAL,0,2.2,0,1,0.6,0,0,0,21.7,6.6,6.6
13,NewYorkJets,NYJ,DST,2016,9,MIA,0,2.4,0,0.9,0.6,0,0,0,23.2,6.6,6.6
13,BuffaloBills,BUF,DST,2016,9,SEA,0,2.6,0,0.7,0.7,0,0,0,22.8,6.6,6.6
16,TennesseeTitans,TEN,DST,2016,9,LAC,0,2.5,0,0.9,0.5,0,0,0,24.8,6.5,6.5
17,AtlantaFalcons,ATL,DST,2016,9,TB,0,2.1,0,0.9,0.6,0,0,0,23.3,6.3,6.3
17,DetroitLions,DET,DST,2016,9,MIN,0,2.5,0,0.6,0.6,0.1,0,0,23.1,6.3,6.3
17,NewYorkGiants,NYG,DST,2016,9,PHI,0,2.1,0,0.9,0.6,0,0,0,22.9,6.3,6.3
20,JacksonvilleJaguars,JAX,DST,2016,9,KC,0,2.2,0,0.7,0.5,0,0,0,24.4,5.8,5.8
20,NewOrleansSaints,NO,DST,2016,9,SF,0,2,0,0.8,0.8,0,0,0,23.1,5.8,5.8
22,OaklandRaiders,OAK,DST,2016,9,DEN,0,1.6,0,0.7,0.7,0,0,0,26.4,5.6,5.6
23,TampaBayBuccaneers,TB,DST,2016,9,ATL,0,2.2,0,0.7,0.6,0,0,0,29.9,5,5
24,IndianapolisColts,IND,DST,2016,9,GB,0,2.3,0,0.6,0.6,0,0,0,29,4.9,4.9
25,SanFrancisco49ers,SF,DST,2016,9,NO,0,1.7,0,0.7,0.6,0,0,0,30.9,3.9,3.9
26,ClevelandBrowns,CLE,DST,2016,9,DAL,0,1.6,0,0.6,0.4,0,0,0,31.9,3.8,3.8
