Rank,Name,Team,Position,Season,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGame,FantasyPoints
1,CamNewton,CAR,QB,2015,15,NYG,20,33,60.6,247,7.5,2,1,91.35,8,34,4.2,1,25.3,25.28
2,MatthewStafford,DET,QB,2015,15,NO,25,39,64.1,289,7.4,3,1,101.34,2,8,4,0,22.4,22.36
3,CarsonPalmer,ARI,QB,2015,15,PHI,23,37,62.2,301,8.1,3,1,103.55,2,2,1,0,22.2,22.24
4,TomBrady,NE,QB,2015,15,TEN,25,39,64.1,291,7.5,3,1,101.55,3,4,1.3,0,22,22.04
5,RussellWilson,SEA,QB,2015,15,CLE,19,30,63.3,242,8.1,2,1,96.81,6,32,5.3,0,18.9,18.88
6,BlakeBortles,JAX,QB,2015,15,ATL,24,40,60,272,6.8,2,1,86.67,3,18,6,0,18.7,18.68
7,DrewBrees,NO,QB,2015,15,DET,26,39,66.7,305,7.8,2,1,96.63,2,2,1,0,18.4,18.4
8,AaronRodgersQ,GB,QB,2015,15,OAK,22,35,62.9,256,7.3,2,1,92.08,4,21,5.2,0,18.3,18.34
9,TyrodTaylorQ,BUF,QB,2015,15,WAS,19,32,59.4,227,7.1,2,1,88.93,6,29,4.8,0,18,17.98
10,PhilipRivers,LAC,QB,2015,15,MIA,26,39,66.7,294,7.5,2,1,95.46,1,2,2,0,18,17.96
11,RyanFitzpatrick,NYJ,QB,2015,15,DAL,22,37,59.5,250,6.8,2,1,86.54,4,18,4.5,0,17.8,17.8
12,BenRoethlisberger,PIT,QB,2015,15,DEN,22,36,61.1,275,7.6,2,1,91.78,2,6,3,0,17.6,17.6
13,MattRyan,ATL,QB,2015,15,JAX,25,38,65.8,279,7.3,2,1,94.08,2,3,1.5,0,17.5,17.46
14,DerekCarr,OAK,QB,2015,15,GB,23,39,59,272,7,2,1,86.7,2,4,2,0,17.3,17.28
15,MarcusMariotaP,TEN,QB,2015,15,NE,20,34,58.8,237,7,2,1,87.5,3,17,5.7,0,17.2,17.18
16,JohnnyManziel,CLE,QB,2015,15,SEA,21,36,58.3,228,6.3,2,1,84.03,5,20,4,0,17.1,17.12
17,RyanTannehillP,MIA,QB,2015,15,LAC,23,36,63.9,249,6.9,2,1,91.09,2,11,5.5,0,17.1,17.06
18,AlexSmith,KC,QB,2015,15,BAL,20,31,64.5,218,7,2,1,93.21,4,23,5.8,0,17,17.02
19,BrockOsweiler,DEN,QB,2015,15,PIT,22,37,59.5,257,6.9,2,1,87.33,3,7,2.3,0,17,16.98
20,EliManning,NYG,QB,2015,15,CAR,23,38,60.5,267,7,2,1,88.38,1,2,2,0,16.9,16.88
21,JayCutler,CHI,QB,2015,15,MIN,21,34,61.8,238,7,2,1,90.07,3,12,4,0,16.7,16.72
22,KirkCousins,WAS,QB,2015,15,BUF,22,35,62.9,249,7.1,2,1,91.25,2,7,3.5,0,16.7,16.66
23,JameisWinston,TB,QB,2015,15,LAR,20,33,60.6,227,6.9,2,1,88.83,3,15,5,0,16.6,16.58
