Rank,Name,Team,Position,Season,Week,Opponent,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FieldGoalsLongestMade,ExtraPointsMade,ExtraPointsAttempted,FantasyPointsPerGame,FantasyPoints
1,StephenGostkowski,NE,K,2017,10,DEN,2.3,2.4,100,0,2.9,2.9,9.8,9.8
2,GregZuerlein,LAR,K,2017,10,HOU,2.1,2.2,100,0,3.2,3.2,9.5,9.5
3,ChrisBoswell,PIT,K,2017,10,IND,2.1,2.1,100,0,2.9,2.9,9.2,9.2
4,MattPrater,DET,K,2017,10,CLE,2,2.1,100,0,2.8,2.8,8.8,8.8
5,RyanSuccopP,TEN,K,2017,10,CIN,2,2.1,100,0,2.4,2.4,8.4,8.4
5,MattBryant,ATL,K,2017,10,DAL,2,2.1,100,0,2.4,2.4,8.4,8.4
7,KaiForbath,MIN,K,2017,10,WAS,2,2.1,100,0,2.3,2.3,8.3,8.3
8,StevenHauschka,BUF,K,2017,10,NO,1.9,2,100,0,2.4,2.4,8.1,8.1
8,JoshLamboP,JAX,K,2017,10,LAC,2,2.1,100,0,2.1,2.1,8.1,8.1
10,GrahamGano,CAR,K,2017,10,MIA,1.8,1.9,100,0,2.6,2.6,8,8
11,WilLutz,NO,K,2017,10,BUF,1.7,1.8,100,0,2.8,2.8,7.9,7.9
11,MikeNugentIR,DAL,K,2017,10,ATL,1.8,1.9,100,0,2.5,2.5,7.9,7.9
13,ChandlerCatanzaro,NYJ,K,2017,10,TB,1.9,2,100,0,2.1,2.1,7.8,7.8
14,BrandonMcManus,DEN,K,2017,10,NE,1.8,1.9,100,0,1.9,1.9,7.3,7.3
15,NickRose,WAS,K,2017,10,MIN,1.5,1.6,100,0,2.2,2.2,6.7,6.7
16,AdamVinatieri,IND,K,2017,10,PIT,1.5,1.5,100,0,2,2,6.5,6.5
17,BlairWalsh,SEA,K,2017,10,ARI,1.3,1.5,50,0,2.5,2.5,6.4,6.4
18,Ka'imiFairbairn,HOU,K,2017,10,LAR,1.5,1.5,100,0,1.8,1.8,6.3,6.3
18,AldrickRosas,NYG,K,2017,10,SF,1.4,1.5,50,0,2.1,2.1,6.3,6.3
20,NickNovak,LAC,K,2017,10,JAX,1.4,1.5,50,0,1.9,1.9,6.1,6.1
21,RobbieGould,SF,K,2017,10,NYG,1.4,1.4,100,0,1.6,1.6,5.8,5.8
22,MasonCrosby,GB,K,2017,10,CHI,1.2,1.3,100,0,1.8,1.8,5.4,5.4
23,ConnorBarth,CHI,K,2017,10,GB,1.1,1.2,100,0,2,2,5.3,5.3
24,PatrickMurray,TB,K,2017,10,NYJ,1.1,1.2,100,0,1.9,1.9,5.2,5.2
24,RandyBullock,CIN,K,2017,10,TEN,1.1,1.2,100,0,1.9,1.9,5.2,5.2
26,ZaneGonzalez,CLE,K,2017,10,DET,1,1.2,100,0,1.7,1.7,4.7,4.7
27,CodyParkey,MIA,K,2017,10,CAR,1,1.1,100,0,1.6,1.6,4.6,4.6
28,PhilDawson,ARI,K,2017,10,SEA,1,1.1,100,0,1.5,1.5,4.5,4.5
29,NickFolk,TB,K,2017,10,NYJ,0,0,0,0,0,0,0,0
29,DustinHopkins,WAS,K,2017,10,MIN,0,0,0,0,0,0,0,0
29,DanBailey,DAL,K,2017,10,ATL,0,0,0,0,0,0,0,0
