Rank,Name,Team,Position,Season,Week,Opponent,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowed,FantasyPointsPerGame,FantasyPoints
1,SeattleSeahawks,SEA,DST,2016,2,LAR,0,2.7,0,1.2,0.6,0,0,0,13.7,11.5,11.5
2,CarolinaPanthers,CAR,DST,2016,2,SF,0,3.3,0,1.3,0.8,0,0,0,15.8,9.7,9.7
2,DenverBroncos,DEN,DST,2016,2,IND,0,3.5,0,1.3,0.7,0,0,0,17.3,9.7,9.7
4,NewEnglandPatriots,NE,DST,2016,2,MIA,0,3.1,0,1.1,0.5,0,0,0,19.1,8.5,8.5
5,HoustonTexans,HOU,DST,2016,2,KC,0,3.2,0,0.9,0.5,0,0,0,18.7,8.2,8.2
6,DetroitLions,DET,DST,2016,2,TEN,0,2.8,0,0.9,0.5,0,0,0,19.5,7.8,7.8
7,NewYorkJets,NYJ,DST,2016,2,BUF,0,2.9,0,0.7,0.6,0,0,0,19.8,7.7,7.7
7,BaltimoreRavens,BAL,DST,2016,2,CLE,0,2.9,0,0.8,0.5,0,0,0,18.2,7.7,7.7
9,KansasCityChiefs,KC,DST,2016,2,HOU,0,2.6,0,1.2,0.4,0,0,0,18.1,7.4,7.4
10,PittsburghSteelers,PIT,DST,2016,2,CIN,0,2.7,0,0.9,0.7,0,0,0,22.4,7.1,7.1
10,LosAngelesChargers,LAC,DST,2016,2,JAX,0,2.5,0,1.1,0.6,0,0,0,23.1,7.1,7.1
12,ArizonaCardinals,ARI,DST,2016,2,TB,0,2.4,0,1,0.7,0,0,0,21.5,7,7
13,MinnesotaVikings,MIN,DST,2016,2,GB,0,2.9,0,0.9,0.5,0,0,0,21.6,6.9,6.9
13,OaklandRaiders,OAK,DST,2016,2,ATL,0,2.5,0,1,0.6,0,0,0,21.6,6.9,6.9
15,PhiladelphiaEagles,PHI,DST,2016,2,CHI,0,2.6,0,1,0.5,0,0,0,22.2,6.8,6.8
16,CincinnatiBengals,CIN,DST,2016,2,PIT,0,2.5,0,1,0.5,0,0,0,23.7,6.7,6.7
17,IndianapolisColts,IND,DST,2016,2,DEN,0,2.2,0,1.1,0.5,0,0,0,22.9,6.6,6.6
17,GreenBayPackers,GB,DST,2016,2,MIN,0,2.6,0,1,0.4,0,0,0,21.2,6.6,6.6
19,JacksonvilleJaguars,JAX,DST,2016,2,LAC,0,2.5,0,0.8,0.5,0,0,0,24.3,6.3,6.3
19,ChicagoBears,CHI,DST,2016,2,PHI,0,2.3,0,0.9,0.5,0,0,0,21.7,6.3,6.3
19,WashingtonRedskins,WAS,DST,2016,2,DAL,0,2.3,0,1.1,0.6,0,0,0,21.9,6.3,6.3
22,BuffaloBills,BUF,DST,2016,2,NYJ,0,2,0,1,0.4,0,0,0,21.3,6,6
23,ClevelandBrowns,CLE,DST,2016,2,BAL,0,1.9,0,1,0.4,0,0,0,24.3,5.9,5.9
23,LosAngelesRams,LAR,DST,2016,2,SEA,0,2.5,0,0.8,0.6,0,0,0,24.5,5.9,5.9
25,MiamiDolphins,MIA,DST,2016,2,NE,0,2.2,0,0.9,0.3,0,0,0,24.5,5.8,5.8
26,TennesseeTitans,TEN,DST,2016,2,DET,0,2.3,0,0.8,0.5,0,0,0,26.5,5.5,5.5
27,DallasCowboys,DAL,DST,2016,2,WAS,0,2.2,0,0.9,0.4,0,0,0,23.1,5.4,5.4
28,AtlantaFalcons,ATL,DST,2016,2,OAK,0,1.3,0,0.9,0.5,0,0,0,22.8,5.3,5.3
29,TampaBayBuccaneers,TB,DST,2016,2,ARI,0,2.4,0,0.8,0.5,0,0,0,28.3,5.2,5.2
30,NewYorkGiants,NYG,DST,2016,2,NO,0,1.9,0,0.8,0.5,0,0,0,29,4.7,4.7
31,SanFrancisco49ers,SF,DST,2016,2,CAR,0,1.9,0,0.6,0.4,0,0,0,26.8,4.5,4.5
32,NewOrleansSaints,NO,DST,2016,2,NYG,0,1.7,0,0.6,0.5,0,0,0,29.7,4.1,4.1
