Rank,Name,Team,Position,Season,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGame,FantasyPoints
1,PeytonManning,DEN,QB,2013,4,PHI,31,43,72.1,388,9,4,0,130.77,-1,-1,1,0,31.4,31.42
2,MatthewStafford,DET,QB,2013,4,CHI,33,53,62.3,416,7.8,2,0,99.25,1,3,3,0,24.9,24.94
3,DrewBrees,NO,QB,2013,4,MIA,31,48,64.6,398,8.3,2,1,95.66,1,4,4,0,22.3,22.32
4,TonyRomo,DAL,QB,2013,4,LAC,30,46,65.2,327,7.1,2,0,100.54,0,0,0,0,21.1,21.08
5,BenRoethlisberger,PIT,QB,2013,4,MIN,28,48,58.3,356,7.4,2,1,86.81,1,4,4,0,20.6,20.64
6,TomBrady,NE,QB,2013,4,ATL,32,56,57.1,347,6.2,2,1,79.99,0,0,0,0,19.9,19.88
7,MattRyan,ATL,QB,2013,4,NE,29,42,69,336,8,2,1,98.91,0,4,0,0,19.8,19.84
8,ColinKaepernick,SF,QB,2013,4,LAR,22,36,61.1,311,8.6,1,1,86.69,8,53,6.6,0,19.7,19.74
9,PhilipRivers,LAC,QB,2013,4,DAL,21,32,65.6,252,7.9,2,0,110.42,2,6,3,0,18.5,18.48
10,MichaelVick,PHI,QB,2013,4,DEN,17,30,56.7,243,8.1,1,0,94.17,6,46,7.7,0,18.3,18.32
11,RobertGriffinIII,WAS,QB,2013,4,OAK,29,47,61.7,310,6.6,1,1,79.21,7,39,5.6,0,18.3,18.3
12,RyanTannehillP,MIA,QB,2013,4,NO,27,44,61.4,310,7,1,0,90.15,5,16,3.2,0,18,18
13,AndrewLuckP,IND,QB,2013,4,JAX,24,40,60,264,6.6,1,0,87.92,5,31,6.2,0,17.7,17.66
14,EliManning,NYG,QB,2013,4,KC,20,34,58.8,270,7.9,2,1,91.54,0,6,0,0,17.4,17.4
15,RussellWilson,SEA,QB,2013,4,HOU,16,25,64,232,9.3,1,0,107.42,6,34,5.7,0,16.7,16.68
16,AlexSmith,KC,QB,2013,4,NYG,22,35,62.9,226,6.5,1,0,90.89,8,35,4.4,0,16.5,16.54
17,JayCutler,CHI,QB,2013,4,DET,24,39,61.5,268,6.9,1,0,90.54,4,17,4.2,0,16.4,16.42
18,CarsonPalmer,ARI,QB,2013,4,TB,32,54,59.3,357,6.6,1,1,77.47,0,0,0,0,16.3,16.28
19,AndyDalton,CIN,QB,2013,4,CLE,31,49,63.3,325,6.6,1,1,80.74,3,11,3.7,0,16.1,16.1
20,EJManuel,BUF,QB,2013,4,BAL,21,35,60,224,6.4,1,0,88.27,4,24,6,0,15.4,15.36
21,JoeFlacco,BAL,QB,2013,4,BUF,24,40,60,270,6.8,1,0,88.54,1,3,3,0,15.1,15.1
22,SamBradfordQ,LAR,QB,2013,4,SF,25,41,61,261,6.4,1,0,87.55,2,6,3,0,15,15.04
23,MattCassel,MIN,QB,2013,4,PIT,27,48,56.2,298,6.2,1,2,64.41,5,27,5.4,0,14.6,14.62
24,BrianHoyer,CLE,QB,2013,4,CIN,25,44,56.8,292,6.6,1,1,75.19,0,0,0,0,13.7,13.68
25,MikeGlennon,TB,QB,2013,4,ARI,22,37,59.5,234,6.3,1,0,86.99,2,3,1.5,0,13.7,13.66
26,MattSchaub,HOU,QB,2013,4,SEA,29,42,69,278,6.6,1,1,85.22,0,0,0,0,13.1,13.12
27,GenoSmith,NYJ,QB,2013,4,TEN,18,34,52.9,263,7.7,0,1,66.18,4,25,6.2,0,11,11.02
28,JakeLocker,TEN,QB,2013,4,NYJ,16,30,53.3,193,6.4,0,0,73.33,5,26,5.2,0,10.3,10.32
29,MattFlynn,OAK,QB,2013,4,WAS,9,13,69.2,119,9.2,1,0,123.56,0,1,0,0,8.9,8.86
30,BlaineGabbertQ,JAX,QB,2013,4,IND,22,38,57.9,219,5.8,0,1,63.38,2,6,3,0,7.4,7.36
31,MattHasselbeck,IND,QB,2013,4,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,RyanFitzpatrick,TEN,QB,2013,4,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,LukeMcCown,NO,QB,2013,4,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
