Rank,Name,Team,Position,Season,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,DeAndreHopkinsQ,HOU,WR,2015,10,CIN,12,7,58.3,93,1,0,7.8,13.3,0,0,0,0,0,0,15.3,15.3
2,DemaryiusThomas,DEN,WR,2015,10,KC,10,7,70,88,1,0,8.8,12.6,0,0,0,0,0,0,14.8,14.8
3,AntonioBrown,PIT,WR,2015,10,CLE,10,6,60,85,1,0,8.5,14.2,0,2,0,0,0,0,14.7,14.7
4,OdellBeckhamJr,NYG,WR,2015,10,NE,10,6,60,85,1,0,8.5,14.2,0,1,0,0,0,0,14.6,14.6
5,AJGreenP,CIN,WR,2015,10,HOU,9,6,66.7,82,1,0,9.1,13.7,0,0,0,0,0,0,14.2,14.2
6,MikeEvans,TB,WR,2015,10,DAL,9,6,66.7,81,1,0,9,13.5,0,0,0,0,0,0,14.1,14.1
6,AllenRobinson,JAX,WR,2015,10,BAL,11,6,54.5,81,1,0,7.4,13.5,0,0,0,0,0,0,14.1,14.1
8,AlshonJefferyQ,CHI,WR,2015,10,LAR,9,6,66.7,80,1,0,8.9,13.3,0,0,0,0,0,0,14,14
8,JulianEdelmanSUS,NE,WR,2015,10,NYG,11,7,63.6,78,1,0,7.1,11.1,0,2,0,0,0,0,14,14
10,RandallCobbQ,GB,WR,2015,10,DET,10,6,60,76,1,0,7.6,12.7,0,2,0,0,0,0,13.8,13.8
11,CalvinJohnson,DET,WR,2015,10,GB,9,6,66.7,76,1,0,8.4,12.7,0,0,0,0,0,0,13.6,13.6
12,BrandonMarshall,NYJ,WR,2015,10,BUF,10,6,60,73,1,0,7.3,12.2,0,0,0,0,0,0,13.3,13.3
12,AmariCooper,OAK,WR,2015,10,MIN,7,5,71.4,73,1,0,10.4,14.6,0,0,0,0,0,0,13.3,13.3
14,JarvisLandry,MIA,WR,2015,10,PHI,11,6,54.5,68,1,0,6.2,11.3,1,4,4,0,0,0,13.2,13.2
15,BrandinCooks,NO,WR,2015,10,WAS,7,5,71.4,69,1,0,9.9,13.8,0,1,0,0,0,0,13,13
15,StefonDiggs,MIN,WR,2015,10,OAK,9,5,55.6,69,1,0,7.7,13.8,0,1,0,0,0,0,13,13
17,DezBryant,DAL,WR,2015,10,TB,8,5,62.5,69,1,0,8.6,13.8,0,0,0,0,0,0,12.9,12.9
17,EmmanuelSanders,DEN,WR,2015,10,KC,6,4,66.7,68,1,0,11.3,17,0,1,0,0,0,0,12.9,12.9
19,MichaelCrabtree,OAK,WR,2015,10,MIN,8,5,62.5,68,1,0,8.5,13.6,0,0,0,0,0,0,12.8,12.8
20,LarryFitzgeraldQ,ARI,WR,2015,10,SEA,7,5,71.4,67,1,0,9.6,13.4,0,0,0,0,0,0,12.7,12.7
21,JordanMatthewsP,PHI,WR,2015,10,MIA,9,5,55.6,66,1,0,7.3,13.2,0,0,0,0,0,0,12.6,12.6
22,EricDecker,NYJ,WR,2015,10,BUF,8,5,62.5,63,1,0,7.9,12.6,0,0,0,0,0,0,12.3,12.3
22,WillieSnead,NO,WR,2015,10,WAS,7,5,71.4,63,1,0,9,12.6,0,0,0,0,0,0,12.3,12.3
22,BrandonLaFell,NE,WR,2015,10,NYG,7,5,71.4,63,1,0,9,12.6,0,0,0,0,0,0,12.3,12.3
25,DeSeanJackson,WAS,WR,2015,10,NO,6,4,66.7,61,1,0,10.2,15.2,0,0,0,0,0,0,12.1,12.1
25,AllenHurns,JAX,WR,2015,10,BAL,7,4,57.1,61,1,0,8.7,15.2,0,0,0,0,0,0,12.1,12.1
27,TavonAustin,LAR,WR,2015,10,CHI,6,4,66.7,42,1,0,7,10.5,2,18,9,0,0,0,12,12
28,KamarAiken,BAL,WR,2015,10,JAX,5,4,80,59,1,0,11.8,14.8,0,0,0,0,0,0,11.9,11.9
29,DavanteAdams,GB,WR,2015,10,DET,5,4,80,58,1,0,11.6,14.5,0,0,0,0,0,0,11.8,11.8
30,TravisBenjaminQ,CLE,WR,2015,10,PIT,6,4,66.7,55,1,0,9.2,13.8,0,0,0,0,0,0,11.5,11.5
30,MartavisBryant,PIT,WR,2015,10,CLE,7,4,57.1,54,1,0,7.7,13.5,0,1,0,0,0,0,11.5,11.5
32,RuebenRandleIR,NYG,WR,2015,10,NE,5,4,80,52,1,0,10.4,13,0,0,0,0,0,0,11.2,11.2
33,MichaelFloyd,ARI,WR,2015,10,SEA,6,4,66.7,51,1,0,8.5,12.8,0,0,0,0,0,0,11.1,11.1
34,JamesJones,GB,WR,2015,10,DET,4,3,75,48,1,0,12,16,0,0,0,0,0,0,10.8,10.8
35,JeremyMaclin,KC,WR,2015,10,DEN,8,5,62.5,62,0,0,7.8,12.4,0,0,0,0,0,0,6.2,6.2
36,SammyWatkins,BUF,WR,2015,10,NYJ,5,4,80,60,0,0,12,15,0,0,0,0,0,0,6,6
