Rank,Name,Team,Position,Season,Week,Opponent,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FieldGoalsLongestMade,ExtraPointsMade,ExtraPointsAttempted,FantasyPointsPerGame,FantasyPoints
1,StephenGostkowski,NE,K,2015,1,PIT,2,2,100,0,3,3,9,9
1,MasonCrosby,GB,K,2015,1,CHI,2,2,100,0,3,3,9,9
1,AndrewFranks,MIA,K,2015,1,WAS,2,2,100,0,3,3,9,9
1,StevenHauschka,SEA,K,2015,1,LAR,2,2,100,0,3,3,9,9
1,ChandlerCatanzaro,ARI,K,2015,1,NO,2,2,100,0,3,3,9,9
1,MikeNugentIR,CIN,K,2015,1,OAK,2,2,100,0,3,3,9,9
1,BrandonMcManus,DEN,K,2015,1,BAL,2,2,100,0,3,3,9,9
1,DanBailey,DAL,K,2015,1,NYG,2,2,100,0,3,3,9,9
1,CodyParkey,PHI,K,2015,1,ATL,2,2,100,0,3,3,9,9
10,RandyBullock,HOU,K,2015,1,KC,2,2,100,0,2,2,8,8
10,CairoSantos,KC,K,2015,1,HOU,2,2,100,0,2,2,8,8
10,TravisCoons,CLE,K,2015,1,NYJ,2,2,100,0,2,2,8,8
10,NickFolk,NYJ,K,2015,1,CLE,2,2,100,0,2,2,8,8
10,DanCarpenter,BUF,K,2015,1,IND,2,2,100,0,2,2,8,8
10,AdamVinatieri,IND,K,2015,1,BUF,2,2,100,0,2,2,8,8
10,KaiForbath,WAS,K,2015,1,MIA,2,2,100,0,2,2,8,8
10,JoshScobee,JAX,K,2015,1,CAR,2,2,100,0,2,2,8,8
10,GrahamGano,CAR,K,2015,1,JAX,2,2,100,0,2,2,8,8
10,JasonMyers,JAX,K,2015,1,CAR,2,2,100,0,2,2,8,8
10,GregZuerlein,LAR,K,2015,1,SEA,2,2,100,0,2,2,8,8
10,ZachHocker,NO,K,2015,1,ARI,2,2,100,0,2,2,8,8
10,JoshLamboP,LAC,K,2015,1,DET,2,2,100,0,2,2,8,8
10,MattPrater,DET,K,2015,1,LAC,2,2,100,0,2,2,8,8
10,RyanSuccopP,TEN,K,2015,1,TB,2,2,100,0,2,2,8,8
10,KyleBrindza,TB,K,2015,1,TEN,2,2,100,0,2,2,8,8
10,SebastianJanikowski,OAK,K,2015,1,CIN,2,2,100,0,2,2,8,8
10,JustinTucker,BAL,K,2015,1,DEN,2,2,100,0,2,2,8,8
10,JoshBrown,NYG,K,2015,1,DAL,2,2,100,0,2,2,8,8
10,MattBryant,ATL,K,2015,1,PHI,2,2,100,0,2,2,8,8
10,PhilDawson,SF,K,2015,1,MIN,2,2,100,0,2,2,8,8
10,BlairWalsh,MIN,K,2015,1,SF,2,2,100,0,2,2,8,8
32,RobbieGould,CHI,K,2015,1,GB,1,2,50,0,2,2,5,5
33,JayFeely,CHI,K,2015,1,GB,0,0,0,0,0,0,0,0
33,BillyCundiff,CLE,K,2015,1,NYJ,0,0,0,0,0,0,0,0
33,GarrettHartley,CLE,K,2015,1,NYJ,0,0,0,0,0,0,0,0
33,JordanGay,BUF,K,2015,1,IND,0,0,0,0,0,0,0,0
33,CalebSturgis,MIA,K,2015,1,WAS,0,0,0,0,0,0,0,0
33,DustinHopkins,NO,K,2015,1,ARI,0,0,0,0,0,0,0,0
33,NickNovak,LAC,K,2015,1,DET,0,0,0,0,0,0,0,0
33,ChrisBoswell,NYG,K,2015,1,DAL,0,0,0,0,0,0,0,0
