Rank,Name,Team,Position,Season,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,JulioJonesP,ATL,WR,2016,3,NO,11.37,7.9,72.7,111.3,0.8,0,10.1,13.9,0,0,0,0,0.1,0.1,15.7,15.73
2,OdellBeckhamJr,NYG,WR,2016,3,WAS,11.35,6.8,63.6,101.5,0.8,0,9.3,14.6,0,0.2,0,0,0,0,15,14.97
3,DeAndreHopkinsQ,HOU,WR,2016,3,NE,10.3,6.1,60,88.9,0.7,0,8.9,14.8,0,0,0,0,0,0,13.1,13.09
4,AntonioBrown,PIT,WR,2016,3,PHI,12.87,7.9,61.5,95,0.6,0,7.3,11.9,0.1,0.8,0,0,0.1,0.1,13,12.98
5,LarryFitzgeraldQ,ARI,WR,2016,3,BUF,9.17,6.7,77.8,81.9,0.7,0,9.1,11.7,0,0,0,0,0.1,0.1,12.2,12.19
6,AJGreenP,CIN,WR,2016,3,DEN,8.43,5.9,75,81.8,0.7,0,10.2,13.7,0,0,0,0,0.1,0.1,12.2,12.18
7,JordyNelson,GB,WR,2016,3,DET,9.04,5.2,55.6,74.5,0.6,0,8.2,14.8,0,0.3,0,0,0,0,11.1,11.08
8,AllenRobinson,JAX,WR,2016,3,BAL,8.8,5,55.6,77.8,0.5,0,8.7,15.6,0,0,0,0,0,0,10.8,10.78
9,AlshonJefferyQ,CHI,WR,2016,3,DAL,7.54,5.1,62.5,77.5,0.5,0,9.8,15.6,0,0,0,0,0,0,10.8,10.75
10,BrandinCooks,NO,WR,2016,3,ATL,7.43,5.2,71.4,74.4,0.5,0,10.6,14.8,0.2,0.9,0,0,0,0,10.5,10.53
11,JarvisLandry,MIA,WR,2016,3,CLE,12.46,7,58.3,76.1,0.4,0,6.3,10.9,0.4,2.4,0,0,0.1,0.1,10,10.05
12,StefonDiggs,MIN,WR,2016,3,CAR,8.6,5,55.6,68.4,0.5,0,7.6,13.6,0.3,1.1,0,0,0,0,10,9.95
13,T.Y.Hilton,IND,WR,2016,3,LAC,7.34,5.1,71.4,74.6,0.4,0,10.7,15,0,0.1,0,0,0,0,9.9,9.87
14,KelvinBenjamin,CAR,WR,2016,3,MIN,10.03,5.8,60,74.2,0.4,0,7.4,12.3,0,0,0,0,0,0,9.8,9.82
15,RandallCobbQ,GB,WR,2016,3,DET,10.14,5.9,60,68.4,0.4,0,6.8,11.3,0.6,4.1,4,0,0,0,9.6,9.65
16,DezBryant,DAL,WR,2016,3,CHI,7.6,5,62.5,64.4,0.5,0,8,12.8,0.1,0.9,0,0,0,0,9.5,9.53
17,MikeEvans,TB,WR,2016,3,LAR,7.65,5.1,62.5,78.8,0.3,0,9.9,15.8,0,0,0,0,0.1,0.1,9.5,9.48
18,JeremyMaclin,KC,WR,2016,3,NYJ,9.33,5.8,66.7,69.6,0.4,0,7.8,11.7,0.1,0.6,0,0,0,0,9.4,9.42
19,MarvinJones,DET,WR,2016,3,GB,8.73,5.2,55.6,66.9,0.4,0,7.4,13.4,0.1,0.6,0,0,0,0,9.2,9.15
19,EricDecker,NYJ,WR,2016,3,KC,6.62,4.3,57.1,61.5,0.5,0,8.9,15.5,0,0,0,0,0,0,9.2,9.15
21,AmariCooper,OAK,WR,2016,3,TEN,6.95,5,71.4,69.1,0.4,0,9.9,13.8,0.1,0.2,0,0,0.1,0.1,9.1,9.13
