Rank,Name,Team,Position,Season,Week,Opponent,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowed,FantasyPointsPerGame,FantasyPoints
1,ArizonaCardinals,ARI,DST,2017,2,IND,0,3,0,1.4,0.8,0,0,0,19.1,9.6,9.6
2,BaltimoreRavens,BAL,DST,2017,2,CLE,0,2.7,0,1.2,0.7,0,0,0,14.8,8.7,8.7
2,TampaBayBuccaneers,TB,DST,2017,2,CHI,0,2.9,0,1,0.7,0.1,0,0,17.9,8.7,8.7
4,OaklandRaiders,OAK,DST,2017,2,NYJ,0,2.6,0,1.1,0.7,0,0,0,19,8.4,8.4
5,SeattleSeahawks,SEA,DST,2017,2,SF,0,2.7,0,0.9,0.7,0,0,0,15.1,8.1,8.1
6,CincinnatiBengals,CIN,DST,2017,2,HOU,0,2.8,0,1.2,0.6,0,0,0,15.1,8,8
6,KansasCityChiefs,KC,DST,2017,2,PHI,0,2.4,0,1,0.7,0,0,0,18.9,8,8
6,PittsburghSteelers,PIT,DST,2017,2,MIN,0,2.6,0,0.8,0.7,0.1,0,0,19,8,8
9,DallasCowboys,DAL,DST,2017,2,DEN,0,2.5,0,1,0.6,0,0,0,19,7.9,7.9
10,CarolinaPanthers,CAR,DST,2017,2,BUF,0,3.2,0,0.7,0.6,0,0,0,19,7.4,7.4
11,NewYorkGiants,NYG,DST,2017,2,DET,0,2.3,0,0.9,0.5,0,0,0,19.9,7.3,7.3
12,WashingtonRedskins,WAS,DST,2017,2,LAR,0,2.4,0,1,0.7,0.1,0,0,21.8,7.2,7.2
12,IndianapolisColts,IND,DST,2017,2,ARI,0,2,0,1.1,0.8,0.1,0,0,25.9,7.2,7.2
12,LosAngelesChargers,LAC,DST,2017,2,MIA,0,2.6,0,1,0.7,0,0,0,21.1,7.2,7.2
15,DenverBroncos,DEN,DST,2017,2,DAL,0,2.1,0,0.7,0.7,0,0,0,19.9,7.1,7.1
16,HoustonTexans,HOU,DST,2017,2,CIN,0,2.6,0,1,0.6,0,0,0,21,7,7
17,MiamiDolphins,MIA,DST,2017,2,LAC,0,2.3,0,1.1,0.6,0,0,0,25.8,6.9,6.9
17,LosAngelesRams,LAR,DST,2017,2,WAS,0,2.5,0,0.8,0.8,0,0,0,23.1,6.9,6.9
19,BuffaloBills,BUF,DST,2017,2,CAR,0,2.6,0,0.9,0.5,0.1,0,0,24.9,6.8,6.8
19,TennesseeTitans,TEN,DST,2017,2,JAX,0,2.6,0,0.9,0.6,0,0,0,22.1,6.8,6.8
21,MinnesotaVikings,MIN,DST,2017,2,PIT,0,2.2,0,1,0.6,0,0,0,23.9,6.6,6.6
22,JacksonvilleJaguars,JAX,DST,2017,2,TEN,0,2.3,0,0.8,0.7,0,0,0,22.8,6.5,6.5
23,ClevelandBrowns,CLE,DST,2017,2,BAL,0,1.9,0,1,0.6,0,0,0,24,6.3,6.3
23,PhiladelphiaEagles,PHI,DST,2017,2,KC,0,2.5,0,0.6,0.7,0,0,0,23,6.3,6.3
23,SanFrancisco49ers,SF,DST,2017,2,SEA,0,2.5,0,0.7,0.6,0,0,0,27,6.3,6.3
26,NewEnglandPatriots,NE,DST,2017,2,NO,0,1.8,0,1,0.6,0,0,0,24,6.2,6.2
26,DetroitLions,DET,DST,2017,2,NYG,0,1.8,0,1.1,0.5,0,0,0,22,6.2,6.2
26,AtlantaFalcons,ATL,DST,2017,2,GB,0,2.4,0,0.7,0.6,0,0,0,25.9,6.2,6.2
29,ChicagoBears,CHI,DST,2017,2,TB,0,2.3,0,1,0.6,0,0,0,24.9,6.1,6.1
30,NewYorkJets,NYJ,DST,2017,2,OAK,0,1.8,0,0.5,0.6,0,0,0,26.8,4.6,4.6
31,GreenBayPackers,GB,DST,2017,2,ATL,0,2.3,0,0.7,0.5,0,0,0,29.9,4.3,4.3
32,NewOrleansSaints,NO,DST,2017,2,NE,0,1.8,0,0.5,0.5,0,0,0,32.9,3.4,3.4
