Rank,Name,Team,Position,Season,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGame,FantasyPoints
1,DrewBrees,NO,QB,2013,11,SF,30,44,68.2,360,8.2,3,0,115.72,0,1,0,0,26.5,26.5
2,PeytonManning,DEN,QB,2013,11,KC,30,45,66.7,374,8.3,3,1,105.23,-1,-4,4,0,24.6,24.56
3,RussellWilson,SEA,QB,2013,11,MIN,22,32,68.8,277,8.7,2,0,116.28,7,39,5.6,0,23,22.98
4,RobertGriffinIII,WAS,QB,2013,11,PHI,26,44,59.1,328,7.5,1,1,80.49,10,60,6,0,21.1,21.12
5,MatthewStafford,DET,QB,2013,11,PIT,26,44,59.1,320,7.3,2,0,96.78,1,3,3,0,21.1,21.1
6,CaseKeenum,HOU,QB,2013,11,OAK,19,34,55.9,274,8.1,2,0,101.84,3,16,5.3,0,20.6,20.56
7,MattRyan,ATL,QB,2013,11,TB,39,57,68.4,376,6.6,2,2,83.66,2,5,2.5,0,19.5,19.54
8,AndyDalton,CIN,QB,2013,11,CLE,22,37,59.5,291,7.9,2,1,91.16,3,10,3.3,0,18.6,18.64
9,NickFoles,PHI,QB,2013,11,WAS,15,24,62.5,220,9.2,2,0,120.14,4,14,3.5,0,18.2,18.2
10,RyanTannehillP,MIA,QB,2013,11,LAC,28,48,58.3,286,6,2,1,80.73,2,6,3,0,18,18.04
11,JasonCampbell,CLE,QB,2013,11,CIN,19,30,63.3,210,7,2,0,106.25,3,16,5.3,0,18,18
12,CarsonPalmer,ARI,QB,2013,11,JAX,31,48,64.6,335,7,2,2,81.51,1,2,2,0,17.6,17.6
13,JoshMcCown,CHI,QB,2013,11,BAL,20,33,60.6,253,7.7,1,0,94.63,5,32,6.4,0,17.3,17.32
14,PhilipRivers,LAC,QB,2013,11,MIA,31,44,70.5,363,8.2,1,1,93.28,2,5,2.5,0,17,17.02
15,JoeFlacco,BAL,QB,2013,11,CHI,25,41,61,280,6.8,1,0,89.48,2,14,7,0,16.6,16.6
16,TomBrady,NE,QB,2013,11,CAR,28,51,54.9,348,6.8,1,1,74.63,2,5,2.5,0,16.4,16.42
17,CamNewton,CAR,QB,2013,11,NE,20,29,69,222,7.7,1,0,102.95,8,29,3.6,0,15.8,15.78
18,MikeGlennon,TB,QB,2013,11,ATL,26,43,60.5,262,6.1,1,0,85.61,3,10,3.3,0,15.5,15.48
19,AndrewLuckP,IND,QB,2013,11,TEN,20,36,55.6,251,7,1,0,86.69,3,14,4.7,0,15.4,15.44
19,BenRoethlisberger,PIT,QB,2013,11,DET,28,43,65.1,316,7.3,1,1,85.03,2,8,4,0,15.4,15.44
21,EJManuel,BUF,QB,2013,11,NYJ,24,44,54.5,268,6.1,1,1,71.02,7,23,3.3,0,15,15.02
22,RyanFitzpatrick,TEN,QB,2013,11,IND,17,30,56.7,224,7.5,1,0,91.53,4,20,5,0,15,14.96
23,ScottTolzien,GB,QB,2013,11,NYG,27,44,61.4,318,7.2,1,2,71.97,1,21,21,0,14.8,14.82
24,EliManning,NYG,QB,2013,11,GB,30,55,54.5,355,6.5,1,2,65.34,0,0,0,0,14.2,14.2
25,AlexSmith,KC,QB,2013,11,DEN,29,49,59.2,276,5.6,0,0,74.87,7,32,4.6,0,14.1,14.14
26,MattMcGloin,OAK,QB,2013,11,HOU,23,49,46.9,282,5.8,0,0,65.18,0,0,0,0,11.3,11.28
27,ColinKaepernick,SF,QB,2013,11,NO,12,22,54.5,176,8,0,0,80.87,6,36,6,0,10.6,10.64
28,ChadHenne,JAX,QB,2013,11,ARI,27,44,61.4,306,7,0,1,72.73,0,1,0,0,10.3,10.34
29,GenoSmith,NYJ,QB,2013,11,BUF,19,33,57.6,217,6.6,0,1,64.84,5,20,4,0,8.7,8.68
30,ChristianPonder,MIN,QB,2013,11,SEA,15,24,62.5,161,6.7,0,0,82.12,4,22,5.5,0,8.6,8.64
31,DominiqueDavis,ATL,QB,2013,11,TB,1,2,50,8,4,0,0,60.42,0,0,0,0,0.3,0.32
32,DanOrlovsky,TB,QB,2013,11,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,MattSchaub,HOU,QB,2013,11,OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,JoeWebb,MIN,QB,2013,11,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,MattCassel,MIN,QB,2013,11,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,TarvarisJackson,SEA,QB,2013,11,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,LukeMcCown,NO,QB,2013,11,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
