Rank,Name,Team,Position,Season,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGame,FantasyPoints
1,DrewBrees,NO,QB,2014,15,CHI,28,41,68.3,333,8.1,3,0,117.23,1,2,2,0,25.5,25.52
2,AndrewLuckP,IND,QB,2014,15,HOU,25,39,64.1,314,8.1,2,1,95.46,4,21,5.2,0,20.7,20.66
3,AaronRodgersQ,GB,QB,2014,15,BUF,23,34,67.6,275,8.1,2,0,111.76,3,15,5,0,20.5,20.5
4,MattRyan,ATL,QB,2014,15,PIT,27,40,67.5,296,7.4,2,0,105.83,1,6,6,0,20.4,20.44
5,PeytonManning,DEN,QB,2014,15,LAC,24,36,66.7,311,8.6,2,0,112.15,1,-1,-1,0,20.3,20.34
6,PhilipRivers,LAC,QB,2014,15,DEN,25,37,67.6,273,7.4,2,0,107.15,2,5,2.5,0,19.4,19.42
7,JayCutler,CHI,QB,2014,15,NO,27,41,65.9,285,7,2,1,92.02,2,15,7.5,0,18.9,18.9
8,BenRoethlisberger,PIT,QB,2014,15,ATL,27,42,64.3,306,7.3,2,1,91.96,2,6,3,0,18.8,18.84
9,EliManning,NYG,QB,2014,15,WAS,23,36,63.9,262,7.3,2,0,104.17,1,2,2,0,18.7,18.68
10,TonyRomo,DAL,QB,2014,15,PHI,21,34,61.8,255,7.5,2,0,104.41,1,2,2,0,18.4,18.4
11,MarkSanchez,PHI,QB,2014,15,DAL,22,35,62.9,267,7.6,2,1,93.39,3,6,2,0,17.3,17.28
12,RussellWilson,SEA,QB,2014,15,SF,18,27,66.7,196,7.3,1,0,100.23,7,48,6.9,0,16.6,16.64
13,RyanFitzpatrick,HOU,QB,2014,15,IND,18,30,60,255,8.5,1,0,98.61,4,17,4.2,0,15.9,15.9
14,RyanTannehillP,MIA,QB,2014,15,NE,23,38,60.5,254,6.7,1,0,89.14,3,16,5.3,0,15.8,15.76
15,MatthewStafford,DET,QB,2014,15,MIN,25,36,69.4,275,7.6,1,0,101.04,2,6,3,0,15.6,15.6
16,JakeLocker,TEN,QB,2014,15,NYJ,20,34,58.8,229,6.7,1,0,88.97,3,21,7,0,15.3,15.26
17,TomBrady,NE,QB,2014,15,MIA,25,37,67.6,276,7.5,1,0,98.48,1,2,2,0,15.2,15.24
18,KyleOrton,BUF,QB,2014,15,GB,26,41,63.4,266,6.5,1,0,90.09,1,4,4,0,15,15.04
19,ColtMcCoy,WAS,QB,2014,15,NYG,22,36,61.1,239,6.6,1,0,89.93,3,10,3.3,0,14.6,14.56
20,AlexSmith,KC,QB,2014,15,OAK,19,29,65.5,203,7,1,0,97.34,3,19,6.3,0,14,14.02
21,JoeFlacco,BAL,QB,2014,15,JAX,23,33,69.7,228,6.9,1,0,99.05,2,7,3.5,0,13.8,13.82
22,JohnnyManziel,CLE,QB,2014,15,CIN,21,35,60,235,6.7,0,0,80.06,7,42,6,0,13.6,13.6
23,JoshMcCown,TB,QB,2014,15,CAR,21,37,56.8,242,6.5,1,1,74.38,2,12,6,0,12.9,12.88
24,DerekAnderson,CAR,QB,2014,15,TB,21,33,63.6,249,7.5,1,1,84.03,2,5,2.5,0,12.5,12.46
