Rank,Name,Team,Position,Season,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGame,FantasyPoints
1,TomBrady,NE,QB,2017,12,MIA,23.7,36.8,64.9,288.9,7.8,2.7,0.6,104.45,1.7,1,0.5,0,20.9,20.86
2,RussellWilson,SEA,QB,2017,12,SF,21.7,36,61.1,265.7,7.4,2.1,0.9,90.74,5.5,25.5,4.3,0.1,20,19.98
3,KirkCousins,WAS,QB,2017,12,NYG,23.2,36.2,63.9,275.4,7.6,2,0.6,94.1,2.7,7.5,2.7,0.1,18.6,18.57
4,CamNewton,CAR,QB,2017,12,NYJ,19.3,32.9,57.6,224.3,6.8,1.5,0.8,85.92,6.5,35.6,6,0.2,17.7,17.73
5,CarsonWentz,PHI,QB,2017,12,CHI,18.9,33.5,55.9,240.4,7.1,2,0.6,85.42,4.5,15.9,4,0,17.4,17.41
6,MarcusMariotaP,TEN,QB,2017,12,IND,22.1,32.9,66.7,256.8,7.8,1.7,0.8,97.66,3.9,16,4,0.1,17.1,17.07
7,MattRyan,ATL,QB,2017,12,TB,21.3,34.8,60,269.2,7.7,2,0.8,91.25,2.1,4.2,2,0,17,16.99
7,BenRoethlisberger,PIT,QB,2017,12,GB,22.3,34.8,62.9,268,7.7,2,0.7,93.51,1.5,0.7,0.5,0,17,16.99
9,AlexSmith,KC,QB,2017,12,BUF,20.4,32.6,60.6,238.7,7.2,1.7,0.7,90.34,4.2,14.6,3.8,0.1,16.6,16.61
10,DakPrescott,DAL,QB,2017,12,LAC,19.3,32.6,57.6,217.6,6.6,1.5,0.7,85.16,4.2,23.1,5.8,0.2,16.4,16.41
11,DrewBrees,NO,QB,2017,12,LAR,23.8,38.2,63.2,277.4,7.3,1.7,0.7,91.67,1.7,1.4,0.5,0,16.2,16.24
12,PhilipRivers,LAC,QB,2017,12,DAL,21.8,36.2,61.1,258.8,7.2,1.9,0.7,89.93,1.2,0.6,1,0,16,16.01
13,JaredGoff,LAR,QB,2017,12,NO,20.2,33.9,58.8,254.5,7.5,1.7,0.7,89.58,2.4,7.1,3.5,0,15.9,15.89
14,MatthewStafford,DET,QB,2017,12,MIN,22.3,36.8,59.5,257.8,7,1.7,0.9,87.44,2.4,6,3,0,15.5,15.51
15,JacobyBrissett,IND,QB,2017,12,TEN,19.8,32.9,60.6,232.8,7.1,1.5,0.7,89.58,3.8,12.2,3,0.1,15.3,15.33
16,AndyDalton,CIN,QB,2017,12,CLE,19.5,32.2,62.5,227.8,7.1,1.9,0.8,91.67,2.8,5.9,2,0,15.1,15.1
17,TyrodTaylorQ,BUF,QB,2017,12,KC,18.8,30.8,61.3,216.6,7,1.4,0.7,79.64,4.8,22.2,4.4,0,14.7,14.68
18,DerekCarr,OAK,QB,2017,12,DEN,21.9,36,61.1,242.9,6.8,1.6,0.7,88.08,1.8,2.9,1.5,0,14.6,14.61
19,CaseKeenum,MIN,QB,2017,12,DET,21.4,32.9,63.6,238.1,7.2,1.6,0.9,92.74,1.9,5.2,2.5,0,14.2,14.24
20,RyanFitzpatrick,TB,QB,2017,12,ATL,20.9,36.9,56.8,231.8,6.3,1.5,1,82.26,2.6,9.9,3.3,0,13.9,13.86
21,EliManning,NYG,QB,2017,12,WAS,22.6,37.7,60.5,249.9,6.6,1.5,1,86.51,1.2,1.3,1,0,13.7,13.73
22,PaxtonLynch,DEN,QB,2017,12,OAK,20.1,32.7,60.6,227.2,6.9,1.3,0.7,78.72,2.9,8.7,3,0,13.4,13.36
23,JoeFlacco,BAL,QB,2017,12,HOU,19.7,34.6,57.1,230.4,6.6,1.6,1,84.23,1.4,1,1,0,13.3,13.32
24,JoshMcCown,NYJ,QB,2017,12,CAR,20.8,33,63.6,228.2,6.9,1.4,0.9,81.38,2.5,5.8,3,0,12.9,12.91
25,MattMoore,MIA,QB,2017,12,NE,21.1,34.7,60,247,7.1,1.3,1.1,79.11,1.3,1.3,1,0,12.6,12.61
