Rank,Name,Team,Position,Season,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGame,FantasyPoints
1,AaronRodgersQ,GB,QB,2016,3,DET,23.4,34.9,65.7,261.2,7.5,2.1,0.4,106.96,3.9,22.1,5.5,0.3,21.7,21.66
2,DrewBrees,NO,QB,2016,3,ATL,30.6,42.8,72.1,325.8,7.6,2.2,0.7,99.56,2,5.8,3,0,20.6,20.61
3,CamNewton,CAR,QB,2016,3,MIN,19,31.5,59.4,230.7,7.2,1.5,0.8,89.45,7.8,41.9,5.2,0.5,20,20.02
4,MattRyan,ATL,QB,2016,3,NO,27.9,38.6,71.8,327.9,8.4,2,0.6,103.37,1.8,3.1,1.5,0,19.6,19.63
5,CarsonPalmer,ARI,QB,2016,3,BUF,21.5,35.6,61.1,295.5,8.2,2.1,0.8,94.21,2.1,6.5,3,0.1,19.5,19.47
6,RussellWilson,SEA,QB,2016,3,SF,21.6,33.4,66.7,236.1,7.2,1.8,0.6,95.01,5.4,29,5.8,0.2,19.1,19.14
7,BenRoethlisberger,PIT,QB,2016,3,PHI,23.1,35.2,65.7,285.3,8.1,1.9,0.8,97.92,2.4,10.8,5.5,0.1,18.7,18.69
8,EliManning,NYG,QB,2016,3,WAS,24.5,36.6,64.9,278.4,7.5,2,0.7,94.2,2.1,6.5,3,0.1,18.2,18.19
9,AndrewLuckP,IND,QB,2016,3,LAC,23.6,40.2,60,284.4,7.1,1.8,1.1,87.92,3.2,17.2,5.7,0.1,18.1,18.1
10,PhilipRivers,LAC,QB,2016,3,IND,24.8,37.5,65.8,280.4,7.4,1.9,1.1,94.19,2,5.7,3,0.1,17.4,17.39
11,RyanTannehillP,MIA,QB,2016,3,CLE,23.1,35.9,63.9,267.6,7.4,1.7,1,93.29,2.6,14.2,4.7,0.1,17.3,17.32
12,MatthewStafford,DET,QB,2016,3,GB,22.7,36,63.9,288.5,8,1.7,1,95.6,2.1,7.7,4,0.1,17.3,17.31
