Rank,Name,Team,Position,Season,Week,Opponent,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FieldGoalsLongestMade,ExtraPointsMade,ExtraPointsAttempted,FantasyPointsPerGame,FantasyPoints
1,CalebSturgis,PHI,K,2016,6,WAS,2.1,2.4,100,0,2.4,2.4,8.7,8.7
2,StephenGostkowski,NE,K,2016,6,CIN,1.9,2.2,100,0,2.7,2.7,8.4,8.4
3,ChrisBoswell,PIT,K,2016,6,MIA,1.7,2,100,0,3,3,8.1,8.1
4,StevenHauschka,SEA,K,2016,6,ATL,1.7,2,100,0,2.9,2.9,8,8
5,MasonCrosby,GB,K,2016,6,DAL,1.7,2,100,0,2.5,2.5,7.6,7.6
6,MikeNugentIR,CIN,K,2016,6,NE,1.8,2,100,0,2.1,2.1,7.5,7.5
7,DustinHopkins,WAS,K,2016,6,PHI,1.8,2.1,100,0,2,2,7.4,7.4
7,GregZuerlein,LAR,K,2016,6,DET,1.8,2.2,100,0,2,2,7.4,7.4
9,DanCarpenter,BUF,K,2016,6,SF,1.6,1.8,100,0,2.5,2.5,7.3,7.3
9,WilLutz,NO,K,2016,6,CAR,1.7,2.1,100,0,2.2,2.2,7.3,7.3
9,GrahamGano,CAR,K,2016,6,NO,1.4,1.8,50,0,3.1,3.1,7.3,7.3
12,JustinTucker,BAL,K,2016,6,NYG,1.7,2,100,0,2,2,7.1,7.1
12,MattBryant,ATL,K,2016,6,SEA,1.6,2,100,0,2.3,2.3,7.1,7.1
12,ChandlerCatanzaro,ARI,K,2016,6,NYJ,1.5,1.8,100,0,2.6,2.6,7.1,7.1
15,DanBailey,DAL,K,2016,6,GB,1.5,1.8,100,0,2.5,2.5,7,7
16,MattPrater,DET,K,2016,6,LAR,1.5,1.8,100,0,2.4,2.4,6.9,6.9
16,SebastianJanikowski,OAK,K,2016,6,KC,1.6,1.9,100,0,2.1,2.1,6.9,6.9
16,NickFolk,NYJ,K,2016,6,ARI,1.7,2.1,100,0,1.8,1.8,6.9,6.9
19,CodyParkey,CLE,K,2016,6,TEN,1.6,1.9,100,0,2,2,6.8,6.8
20,BrandonMcManus,DEN,K,2016,6,LAC,1.5,1.8,100,0,2.2,2.2,6.7,6.7
20,JoshBrown,NYG,K,2016,6,BAL,1.6,1.8,100,0,1.9,1.9,6.7,6.7
20,JasonMyers,JAX,K,2016,6,CHI,1.5,2,100,0,2.2,2.2,6.7,6.7
23,AdamVinatieri,IND,K,2016,6,HOU,1.6,1.7,100,0,1.8,1.8,6.6,6.6
24,PhilDawson,SF,K,2016,6,BUF,1.5,1.8,100,0,1.9,1.9,6.4,6.4
24,RyanSuccopP,TEN,K,2016,6,CLE,1.4,1.7,50,0,2.2,2.2,6.4,6.4
26,NickNovak,HOU,K,2016,6,IND,1.4,1.7,50,0,2.1,2.1,6.3,6.3
27,CairoSantos,KC,K,2016,6,OAK,1.3,1.7,50,0,2.1,2.1,6,6
28,AndrewFranks,MIA,K,2016,6,PIT,1.3,1.5,50,0,2,2,5.9,5.9
29,ConnorBarth,CHI,K,2016,6,JAX,1.2,1.6,50,0,2.2,2.2,5.8,5.8
30,JoshLamboP,LAC,K,2016,6,DEN,1.3,1.6,50,0,1.6,1.6,5.5,5.5
31,JordanGay,BUF,K,2016,6,SF,0,0,0,0,0,0,0,0
31,PatrickMurray,CLE,K,2016,6,TEN,0,0,0,0,0,0,0,0
