Rank,Name,Team,Position,Season,Week,Opponent,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FieldGoalsLongestMade,ExtraPointsMade,ExtraPointsAttempted,FantasyPointsPerGame,FantasyPoints
1,JoshBrown,NYG,K,2014,4,WAS,2,2,100,0,3,3,9,9
1,ShaunSuisham,PIT,K,2014,4,TB,2,2,100,0,3,3,9,9
1,MasonCrosby,GB,K,2014,4,CHI,2,2,100,0,3,3,9,9
1,PhilDawson,SF,K,2014,4,PHI,2,2,100,0,3,3,9,9
1,StephenGostkowski,NE,K,2014,4,KC,2,2,100,0,3,3,9,9
6,RandyBullock,HOU,K,2014,4,BUF,2,2,100,0,2,2,8,8
6,AdamVinatieri,IND,K,2014,4,TEN,2,2,100,0,2,2,8,8
6,GrahamGano,CAR,K,2014,4,BAL,2,2,100,0,2,2,8,8
6,BlairWalsh,MIN,K,2014,4,ATL,2,2,100,0,2,2,8,8
6,MattBryant,ATL,K,2014,4,MIN,2,2,100,0,2,2,8,8
6,DanBailey,DAL,K,2014,4,NO,2,2,100,0,2,2,8,8
12,KaiForbath,WAS,K,2014,4,NYG,1,1,100,0,3,3,6,6
12,RobbieGould,CHI,K,2014,4,GB,1,1,100,0,3,3,6,6
12,NickNovak,LAC,K,2014,4,JAX,1,1,100,0,3,3,6,6
12,CodyParkey,PHI,K,2014,4,SF,1,1,100,0,3,3,6,6
12,ShayneGraham,NO,K,2014,4,DAL,1,1,100,0,3,3,6,6
17,PatrickMurray,TB,K,2014,4,PIT,1,1,100,0,2,2,5,5
17,CalebSturgis,MIA,K,2014,4,OAK,1,2,50,0,2,2,5,5
17,CairoSantos,KC,K,2014,4,NE,1,2,50,0,2,2,5,5
20,DanCarpenter,BUF,K,2014,4,HOU,1,1,100,0,1,1,4,4
20,NickFolk,NYJ,K,2014,4,DET,1,1,100,0,1,1,4,4
20,RyanSuccopP,TEN,K,2014,4,IND,1,1,100,0,1,1,4,4
20,JustinTucker,BAL,K,2014,4,CAR,1,1,100,0,1,1,4,4
20,SebastianJanikowski,OAK,K,2014,4,MIA,1,1,100,0,1,1,4,4
20,JoshScobee,JAX,K,2014,4,LAC,1,1,100,0,1,1,4,4
