Rank,Name,Team,Position,Season,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,JordanReed,WAS,TE,2016,4,CLE,9.11,6.2,66.7,72.3,0.6,0,8,12,0,0,0,0,0,0,10.8,10.83
2,GregOlsenO,CAR,TE,2016,4,ATL,10.15,5.8,60,79.4,0.3,0,7.9,13.2,0,0,0,0,0,0,9.7,9.74
3,RobGronkowskiQ,NE,TE,2016,4,BUF,6.49,3.8,66.7,54.5,0.5,0,9,13.5,0,0,0,0,0.1,0.1,8.2,8.25
4,ZachMillerIR,CHI,TE,2016,4,DET,8.05,5,62.5,51,0.5,0,6.4,10.2,0,0,0,0,0,0,8.1,8.1
5,DelanieWalkerIR,TEN,TE,2016,4,HOU,5.57,4.1,66.7,51.1,0.3,0,8.5,12.8,0,0,0,0,0,0,6.9,6.91
6,TravisKelce,KC,TE,2016,4,PIT,6.67,4.8,71.4,57,0.2,0,8.1,11.4,0,0,0,0,0,0,6.9,6.9
7,CobyFleener,NO,TE,2016,4,LAC,5.26,3.9,80,44,0.4,0,8.8,11,0,0,0,0,0,0,6.8,6.8
8,GaryBarnidge,CLE,TE,2016,4,WAS,6.92,4,57.1,49.9,0.3,0,7.1,12.5,0,0,0,0,0,0,6.8,6.79
9,KyleRudolph,MIN,TE,2016,4,NYG,6.51,3.7,57.1,39.9,0.4,0,5.7,10,0,0,0,0,0.1,0.1,6.2,6.19
10,HunterHenryPUP,LAC,TE,2016,4,NO,5.4,3.7,80,43.1,0.3,0,8.6,10.8,0,0,0,0,0.1,0.1,5.9,5.91
11,JacobTamme,ATL,TE,2016,4,CAR,7.69,4.5,50,47.8,0.2,0,6,12,0,0,0,0,0.1,0.1,5.8,5.78
12,DwayneAllen,IND,TE,2016,4,JAX,6.43,3.7,66.7,39.1,0.3,0,6.5,9.8,0,0,0,0,0,0,5.7,5.71
13,CameronBrate,TB,TE,2016,4,DEN,4.23,2.9,75,30.3,0.4,0,7.5,10,0,0,0,0,0,0,5.4,5.43
14,JimmyGrahamP,SEA,TE,2016,4,NYJ,4.7,3.2,60,40.2,0.2,0,8,13.3,0,0,0,0,0,0,5.2,5.22
15,JasonWittenIR,DAL,TE,2016,4,SF,8.4,4.8,62.5,46,0.1,0,5.8,9.2,0,0,0,0,0,0,5.2,5.2
16,DennisPitta,BAL,TE,2016,4,OAK,6.76,4.7,71.4,47.7,0.1,0,6.9,9.6,0,0,0,0,0.1,0.1,5.2,5.17
17,TylerKroft,CIN,TE,2016,4,MIA,4.03,2.6,75,31.5,0.3,0,8,10.7,0,0,0,0,0,0,5,4.95
18,LarryDonnell,NYG,TE,2016,4,MIN,5.34,3.3,60,29.4,0.3,0,5.8,9.7,0,0,0,0,0,0,4.7,4.74
19,EricEbronP,DET,TE,2016,4,CHI,4.38,3.2,75,35,0.2,0,8.8,11.7,0,0,0,0,0,0,4.7,4.7
20,MartellusBennett,NE,TE,2016,4,BUF,4.45,2.7,75,30.2,0.2,0,7.5,10,0.2,0.8,0,0,0,0,4.3,4.3
21,JackDoyleO,IND,TE,2016,4,JAX,4.48,2.8,75,24.7,0.3,0,6.2,8.3,0,0,0,0,0,0,4.3,4.27
22,CliveWalford,OAK,TE,2016,4,BAL,4.34,2.7,75,28.7,0.2,0,7.2,9.7,0,0,0,0,0.1,0.1,3.9,3.87
22,JeffHeuerman,DEN,TE,2016,4,TB,2.62,1.9,66.7,20.7,0.3,0,7,10.5,0,0,0,0,0,0,3.9,3.87
24,JesseJames,PIT,TE,2016,4,KC,4.14,3,75,26.6,0.2,0,6.8,9,0,0,0,0,0,0,3.9,3.86
25,CharlesClayQ,BUF,TE,2016,4,NE,3.86,2.8,75,29.3,0.1,0,7.2,9.7,0,0,0,0,0,0,3.5,3.53
26,DarrenFells,ARI,TE,2016,4,LAR,2.74,2,66.7,22.7,0.2,0,7.7,11.5,0,0,0,0,0,0,3.5,3.47
27,DionSims,MIA,TE,2016,4,CIN,3.21,2.2,66.7,22.3,0.2,0,7.3,11,0,0,0,0,0,0,3.4,3.43
28,JohnPhillips,DEN,TE,2016,4,TB,2.74,2,66.7,20.2,0.2,0,6.7,10,0,0,0,0,0,0,3.2,3.22
29,LanceKendricks,LAR,TE,2016,4,ARI,4.55,2.6,60,27.8,0.1,0,5.6,9.3,0,0,0,0,0.1,0.1,3.2,3.18
30,WillTyeIR,NYG,TE,2016,4,MIN,4.67,2.7,60,24.9,0.1,0,5,8.3,0,0,0,0,0,0,3.1,3.09
31,RyanGriffin,HOU,TE,2016,4,TEN,3.86,2.7,75,24.5,0.1,0,6,8,0,0,0,0,0,0,3,3.05
32,MarcedesLewis,JAX,TE,2016,4,IND,2.76,1.6,66.7,20.6,0.1,0,7,10.5,0,0,0,0,0,0,2.7,2.66
33,GarrettCelek,SF,TE,2016,4,DAL,2.89,1.7,66.7,19.2,0.1,0,6.3,9.5,0,0,0,0,0,0,2.5,2.52
34,CrockettGillmore,BAL,TE,2016,4,OAK,2.78,1.6,66.7,18.1,0.1,0,6,9,0,0,0,0,0,0,2.4,2.41
35,JeffCumberland,LAC,TE,2016,4,NO,1.97,1.4,50,15,0.1,0,7.5,15,0,0,0,0,0,0,2.1,2.1
36,VernonDavis,WAS,TE,2016,4,CLE,2.82,1.7,66.7,17.5,0,0,6,9,0,0,0,0,0,0,1.8,1.75
37,LeeSmith,OAK,TE,2016,4,BAL,2.33,1.4,50,11.1,0.1,0,5.5,11,0,0,0,0,0,0,1.7,1.71
38,AustinHooper,ATL,TE,2016,4,CAR,1.18,0.9,100,16.8,0,0,17,17,0,0,0,0,0,0,1.7,1.68
39,EdDickson,CAR,TE,2016,4,ATL,1.51,0.9,50,10.5,0.1,0,5,10,0,0,0,0,0,0,1.6,1.65
40,LukeWillson,SEA,TE,2016,4,NYJ,2.48,1.6,100,16.1,0,0,8,8,0,0,0,0,0,0,1.6,1.61
41,GeoffSwaim,DAL,TE,2016,4,SF,1.58,1,50,9.6,0.1,0,5,10,0,0,0,0,0,0,1.6,1.56
42,AnthonyFasano,TEN,TE,2016,4,HOU,1.55,0.9,50,8.8,0.1,0,4.5,9,0,0,0,0,0,0,1.5,1.48
43,SeanMcGrath,LAC,TE,2016,4,NO,1.59,1.2,50,12.5,0,0,6,12,0,0,0,0,0,0,1.2,1.25
44,LoganPaulsen,CHI,TE,2016,4,DET,1.13,0.7,100,6.3,0.1,0,6,6,0,0,0,0,0,0,1.2,1.23
45,XavierGrimble,PIT,TE,2016,4,KC,0.87,0.5,0,5.4,0.1,0,5,0,0,0,0,0,0,0,1.1,1.14
46,CJUzomah,CIN,TE,2016,4,MIA,1.9,1.2,50,11.3,0,0,5.5,11,0,0,0,0,0,0,1.1,1.13
47,MaxxWilliams,BAL,TE,2016,4,OAK,2.22,1.3,50,11,0,0,5.5,11,0,0,0,0,0,0,1.1,1.1
48,MychalRivera,OAK,TE,2016,4,BAL,2.32,1.4,50,10.6,0,0,5.5,11,0,0,0,0,0,0,1.1,1.06
48,JermaineGreshamQ,ARI,TE,2016,4,LAR,1.61,0.9,50,10.6,0,0,5.5,11,0,0,0,0,0,0,1.1,1.06
50,DemetriusHarris,KC,TE,2016,4,PIT,1.67,1.1,50,10,0,0,5,10,0,0,0,0,0,0,1,1
51,BlakeBell,SF,TE,2016,4,DAL,1.26,0.9,100,9.5,0,0,10,10,0,0,0,0,0,0,1,0.95
52,JaceAmaro,TEN,TE,2016,4,HOU,0.72,0.5,0,8.4,0,0,8,0,0,0,0,0,0,0,0.8,0.84
53,KellenDavis,NYJ,TE,2016,4,SEA,1.3,0.9,100,8.2,0,0,8,8,0,0,0,0,0,0,0.8,0.82
54,TylerHigbeeQ,LAR,TE,2016,4,ARI,1.2,0.9,100,7.8,0,0,8,8,0,0,0,0,0,0,0.8,0.78
55,GavinEscobar,DAL,TE,2016,4,SF,1.41,0.8,100,7.6,0,0,8,8,0,0,0,0,0,0,0.8,0.76
56,BrandonMyers,TB,TE,2016,4,DEN,1.42,0.9,100,7.5,0,0,8,8,0,0,0,0,0,0,0.8,0.75
