Rank,Name,Team,Position,Season,Week,Opponent,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowed,FantasyPointsPerGame,FantasyPoints
1,GreenBayPackers,GB,DST,2015,10,DET,0,3,0,2,1,0,0,0,18,10,10
2,DenverBroncos,DEN,DST,2015,10,KC,0,4,0,1,1,0,0,0,19,9,9
3,LosAngelesRams,LAR,DST,2015,10,CHI,0,3,0,1,1,0,0,0,18,8,8
3,PhiladelphiaEagles,PHI,DST,2015,10,MIA,0,3,0,1,1,0,0,0,20,8,8
3,CarolinaPanthers,CAR,DST,2015,10,TEN,0,3,0,1,1,0,0,0,18,8,8
3,PittsburghSteelers,PIT,DST,2015,10,CLE,0,3,0,1,1,0,0,0,19,8,8
7,NewYorkJets,NYJ,DST,2015,10,BUF,0,3,0,1,1,0,0,0,21,7,7
8,CincinnatiBengals,CIN,DST,2015,10,HOU,0,3,0,1,0,0,0,0,17,6,6
8,SeattleSeahawks,SEA,DST,2015,10,ARI,0,2,0,1,1,0,0,0,23,6,6
8,NewEnglandPatriots,NE,DST,2015,10,NYG,0,2,0,1,1,0,0,0,21,6,6
8,BuffaloBills,BUF,DST,2015,10,NYJ,0,2,0,1,1,0,0,0,24,6,6
8,ArizonaCardinals,ARI,DST,2015,10,SEA,0,3,0,1,0,0,0,0,20,6,6
8,WashingtonRedskins,WAS,DST,2015,10,NO,0,2,0,1,1,0,0,0,26,6,6
14,DallasCowboys,DAL,DST,2015,10,TB,0,3,0,1,0,0,0,0,24,5,5
14,BaltimoreRavens,BAL,DST,2015,10,JAX,0,3,0,1,0,0,0,0,24,5,5
14,NewOrleansSaints,NO,DST,2015,10,WAS,0,1,0,1,1,0,0,0,26,5,5
14,TennesseeTitans,TEN,DST,2015,10,CAR,0,3,0,1,0,0,0,0,25,5,5
18,MiamiDolphins,MIA,DST,2015,10,PHI,0,2,0,1,0,0,0,0,25,4,4
18,NewYorkGiants,NYG,DST,2015,10,NE,0,1,0,1,1,0,0,0,31,4,4
18,KansasCityChiefs,KC,DST,2015,10,DEN,0,2,0,1,0,0,0,0,24,4,4
18,OaklandRaiders,OAK,DST,2015,10,MIN,0,2,0,1,0,0,0,0,25,4,4
18,ClevelandBrowns,CLE,DST,2015,10,PIT,0,2,0,1,0,0,0,0,26,4,4
18,ChicagoBears,CHI,DST,2015,10,LAR,0,2,0,1,0,0,0,0,25,4,4
18,TampaBayBuccaneers,TB,DST,2015,10,DAL,0,2,0,1,0,0,0,0,26,4,4
25,MinnesotaVikings,MIN,DST,2015,10,OAK,0,1,0,1,0,0,0,0,21,3,3
25,HoustonTexans,HOU,DST,2015,10,CIN,0,2,0,1,0,0,0,0,30,3,3
25,JacksonvilleJaguars,JAX,DST,2015,10,BAL,0,2,0,1,0,0,0,0,28,3,3
25,DetroitLions,DET,DST,2015,10,GB,0,2,0,1,0,0,0,0,33,3,3
