Rank,Name,Team,Position,Season,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,ArianFoster,HOU,RB,2014,9,PHI,21,103,4.9,1,5,4,29,0,0,0,19.2,19.2
2,DeMarcoMurray,DAL,RB,2014,9,ARI,24,102,4.2,1,5,4,23,0,0,0,18.5,18.5
3,JamaalCharles,KC,RB,2014,9,NYJ,17,81,4.8,1,6,4,30,0,0,0,17.1,17.1
4,RonnieHillman,DEN,RB,2014,9,NE,19,95,5,1,4,3,15,0,0,0,17,17
5,LeSeanMcCoyQ,PHI,RB,2014,9,HOU,19,83,4.4,1,5,4,26,0,0,0,16.9,16.9
5,Le'VeonBellO,PIT,RB,2014,9,BAL,18,76,4.2,1,6,4,33,0,0,0,16.9,16.9
7,AndreEllington,ARI,RB,2014,9,DAL,20,76,3.8,1,5,4,26,0,0,0,16.2,16.2
8,MarshawnLynchP,SEA,RB,2014,9,OAK,17,82,4.8,1,4,3,19,0,0,0,16.1,16.1
9,JerickMcKinnonIR,MIN,RB,2014,9,WAS,18,83,4.6,1,3,2,9,0,0,0,15.2,15.2
10,JeremyHillIR,CIN,RB,2014,9,JAX,18,72,4,1,5,4,19,0,0,0,15.1,15.1
11,LamarMiller,MIA,RB,2014,9,LAC,16,67,4.2,1,4,3,19,0,0,0,14.6,14.6
12,MarkIngramSUS,NO,RB,2014,9,CAR,17,80,4.7,1,1,1,3,0,0,0,14.3,14.3
13,AhmadBradshaw,IND,RB,2014,9,NYG,10,48,4.8,1,6,4,33,0,0,0,14.1,14.1
14,AlfredMorrisQ,WAS,RB,2014,9,MIN,17,67,3.9,1,1,1,3,0,0,0,13,13
14,FrankGore,SF,RB,2014,9,LAR,15,65,4.3,1,1,1,5,0,0,0,13,13
16,ChrisIvory,NYJ,RB,2014,9,KC,14,52,3.7,1,3,2,7,0,0,0,11.9,11.9
17,BenTate,CLE,RB,2014,9,TB,17,52,3.1,1,1,1,6,0,0,0,11.8,11.8
18,JonasGray,NE,RB,2014,9,DEN,13,51,3.9,1,1,1,2,0,0,0,11.3,11.3
19,DenardRobinson,JAX,RB,2014,9,CIN,17,92,5.4,0,3,2,13,0,0,0,10.5,10.5
20,JustinForsett,BAL,RB,2014,9,PIT,17,76,4.5,0,4,3,28,0,0,0,10.4,10.4
21,LorenzoTaliaferro,BAL,RB,2014,9,PIT,7,29,4.1,1,3,2,13,0,0,0,10.2,10.2
22,CarlosHyde,SF,RB,2014,9,LAR,10,33,3.3,1,1,1,6,0,0,0,9.9,9.9
23,BobbyRainey,TB,RB,2014,9,CLE,16,62,3.9,0,5,4,32,0,0,0,9.4,9.4
24,ShaneVereenIR,NE,RB,2014,9,DEN,8,28,3.5,0,8,6,56,0,0,0,8.4,8.4
25,BrandenOliver,LAC,RB,2014,9,MIA,15,57,3.8,0,6,4,22,0,0,0,7.9,7.9
26,JuwanThompson,DEN,RB,2014,9,NE,5,17,3.4,1,0,0,0,0,0,0,7.7,7.7
27,JonathanStewartIR,CAR,RB,2014,9,NO,13,58,4.5,0,4,3,16,0,0,0,7.4,7.4
27,DarrenMcFadden,OAK,RB,2014,9,SEA,12,51,4.2,0,4,3,23,0,0,0,7.4,7.4
27,AndreWilliams,NYG,RB,2014,9,IND,16,66,4.1,0,1,1,8,0,0,0,7.4,7.4
30,TrentRichardson,IND,RB,2014,9,NYG,15,54,3.6,0,3,2,18,0,0,0,7.2,7.2
31,DarrenSprolesO,PHI,RB,2014,9,HOU,3,24,8,0,6,4,35,0,0,0,5.9,5.9
32,ChristineMichael,SEA,RB,2014,9,OAK,9,48,5.3,0,1,1,7,0,0,0,5.5,5.5
33,KnileDavis,KC,RB,2014,9,NYJ,11,45,4.1,0,3,2,9,0,0,0,5.4,5.4
34,DeAngeloWilliams,CAR,RB,2014,9,NO,10,40,4,0,3,2,13,0,0,0,5.3,5.3
35,BenjaminCunningham,LAR,RB,2014,9,SF,4,19,4.8,0,5,4,32,0,0,0,5.1,5.1
36,TravarisCadet,NO,RB,2014,9,CAR,2,9,4.5,0,6,4,39,0,0,0,4.8,4.8
37,TreMason,LAR,RB,2014,9,SF,8,34,4.2,0,1,1,8,0,0,0,4.2,4.2
38,MattAsiata,MIN,RB,2014,9,WAS,4,16,4,0,4,3,23,0,0,0,3.9,3.9
39,RoyHelu,WAS,RB,2014,9,MIN,3,13,4.3,0,4,3,25,0,0,0,3.8,3.8
39,AlfredBlue,HOU,RB,2014,9,PHI,6,26,4.3,0,3,2,12,0,0,0,3.8,3.8
41,TerranceWest,CLE,RB,2014,9,TB,6,22,3.7,0,1,1,10,0,0,0,3.2,3.2
42,ChrisJohnson,NYJ,RB,2014,9,KC,5,21,4.2,0,3,2,10,0,0,0,3.1,3.1
42,ZacStacy,LAR,RB,2014,9,SF,5,24,4.8,0,1,1,7,0,0,0,3.1,3.1
42,PeytonHillis,NYG,RB,2014,9,IND,4,16,4,0,3,2,15,0,0,0,3.1,3.1
45,CedricPeerman,CIN,RB,2014,9,JAX,5,17,3.4,0,3,2,12,0,0,0,2.9,2.9
46,IsaiahCrowell,CLE,RB,2014,9,TB,5,24,4.8,0,1,1,3,0,0,0,2.7,2.7
