Rank,Name,Team,Position,Season,Week,Opponent,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FieldGoalsLongestMade,ExtraPointsMade,ExtraPointsAttempted,FantasyPointsPerGame,FantasyPoints
1,StephenGostkowski,NE,K,2017,8,LAC,2.1,2.1,100,0,3.5,3.5,9.8,9.8
2,WilLutz,NO,K,2017,8,CHI,2,2.2,100,0,3,3,9,9
2,JakeElliott,PHI,K,2017,8,SF,2,2.2,100,0,3,3,9,9
4,StevenHauschka,BUF,K,2017,8,OAK,2.2,2.2,100,0,2.1,2.1,8.7,8.7
4,RandyBullock,CIN,K,2017,8,IND,2,2.1,100,0,2.7,2.7,8.7,8.7
6,HarrisonButker,KC,K,2017,8,DEN,2,2.1,100,0,2.5,2.5,8.5,8.5
7,KaiForbath,MIN,K,2017,8,CLE,1.9,2,100,0,2.5,2.5,8.2,8.2
8,BlairWalsh,SEA,K,2017,8,HOU,1.9,2,100,0,2.4,2.4,8.1,8.1
8,ChrisBoswell,PIT,K,2017,8,DET,1.9,2,100,0,2.4,2.4,8.1,8.1
10,JustinTucker,BAL,K,2017,8,MIA,1.9,2,100,0,2.3,2.3,8,8
10,MattBryant,ATL,K,2017,8,NYJ,1.8,1.9,100,0,2.6,2.6,8,8
12,GrahamGano,CAR,K,2017,8,TB,1.8,1.8,100,0,2.4,2.4,7.8,7.8
13,NickRose,WAS,K,2017,8,DAL,1.7,1.7,100,0,2.3,2.3,7.4,7.4
14,MikeNugentIR,DAL,K,2017,8,WAS,1.5,1.5,100,0,2.7,2.7,7.2,7.2
15,PatrickMurray,TB,K,2017,8,CAR,1.5,1.8,100,0,2.3,2.3,6.8,6.8
16,NickNovak,LAC,K,2017,8,NE,1.5,1.6,100,0,2.2,2.2,6.7,6.7
16,MattPrater,DET,K,2017,8,PIT,1.6,1.7,100,0,1.9,1.9,6.7,6.7
18,GiorgioTavecchio,OAK,K,2017,8,BUF,1.5,1.6,100,0,2,2,6.5,6.5
18,AdamVinatieri,IND,K,2017,8,CIN,1.6,1.6,100,0,1.7,1.7,6.5,6.5
20,Ka'imiFairbairn,HOU,K,2017,8,SEA,1.5,1.5,100,0,1.8,1.8,6.3,6.3
21,BrandonMcManus,DEN,K,2017,8,KC,1.3,1.6,50,0,1.9,1.9,5.8,5.8
22,ChandlerCatanzaro,NYJ,K,2017,8,ATL,1.2,1.2,100,0,2,2,5.6,5.6
22,RobbieGould,SF,K,2017,8,PHI,1.3,1.3,100,0,1.7,1.7,5.6,5.6
24,ConnorBarth,CHI,K,2017,8,NO,1.1,1.2,100,0,2,2,5.3,5.3
25,CodyParkey,MIA,K,2017,8,BAL,1.1,1.1,100,0,1.9,1.9,5.2,5.2
26,ZaneGonzalez,CLE,K,2017,8,MIN,0.9,1.1,100,0,1.4,1.4,4.1,4.1
27,SebastianJanikowski,OAK,K,2017,8,BUF,0,0,0,0,0,0,0,0
27,CalebSturgis,PHI,K,2017,8,SF,0,0,0,0,0,0,0,0
27,NickFolk,TB,K,2017,8,CAR,0,0,0,0,0,0,0,0
27,DanBailey,DAL,K,2017,8,WAS,0,0,0,0,0,0,0,0
27,DustinHopkins,WAS,K,2017,8,DAL,0,0,0,0,0,0,0,0
