Rank,Name,Team,Position,Season,Week,Opponent,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FieldGoalsLongestMade,ExtraPointsMade,ExtraPointsAttempted,FantasyPointsPerGame,FantasyPoints
1,StephenGostkowski,NE,K,2017,17,NYJ,2,2.1,100,0,3.2,3.2,9.2,9.2
2,MattBryant,ATL,K,2017,17,CAR,2,2.1,100,0,2.7,2.7,8.7,8.7
3,WilLutz,NO,K,2017,17,TB,1.9,2.1,100,0,2.9,2.9,8.6,8.6
3,JoshLamboP,JAX,K,2017,17,TEN,2,2.1,100,0,2.6,2.6,8.6,8.6
5,MattPrater,DET,K,2017,17,GB,2,2,100,0,2.5,2.5,8.5,8.5
6,JustinTucker,BAL,K,2017,17,CIN,2.1,2.2,100,0,2.1,2.1,8.4,8.4
6,KaiForbath,MIN,K,2017,17,CHI,2,2.1,100,0,2.4,2.4,8.4,8.4
6,RobbieGould,SF,K,2017,17,LAR,2,2.1,100,0,2.4,2.4,8.4,8.4
9,AdamVinatieri,IND,K,2017,17,HOU,2,2.1,100,0,2.2,2.2,8.2,8.2
10,ChrisBoswell,PIT,K,2017,17,CLE,1.9,2.1,100,0,2.4,2.4,8.1,8.1
11,StevenHauschka,BUF,K,2017,17,MIA,1.9,2,100,0,2.2,2.2,7.9,7.9
12,PatrickMurray,TB,K,2017,17,NO,1.9,2,100,0,2,2,7.7,7.7
13,GrahamGano,CAR,K,2017,17,ATL,1.8,2,100,0,2.2,2.2,7.6,7.6
13,RyanSuccopP,TEN,K,2017,17,JAX,1.9,2.1,100,0,1.9,1.9,7.6,7.6
13,BrandonMcManus,DEN,K,2017,17,KC,1.8,2,100,0,2.2,2.2,7.6,7.6
16,DustinHopkins,WAS,K,2017,17,NYG,1.7,1.9,100,0,2.3,2.3,7.4,7.4
16,DanBailey,DAL,K,2017,17,PHI,1.6,1.7,100,0,2.6,2.6,7.4,7.4
18,HarrisonButker,KC,K,2017,17,DEN,1.8,1.9,100,0,1.8,1.8,7.2,7.2
19,PhilDawson,ARI,K,2017,17,SEA,1.8,2,100,0,1.6,1.6,7,7
20,Ka'imiFairbairn,HOU,K,2017,17,IND,1.7,1.9,100,0,1.8,1.8,6.9,6.9
21,CodyParkey,MIA,K,2017,17,BUF,1.5,1.6,100,0,2.3,2.3,6.8,6.8
21,JakeElliott,PHI,K,2017,17,DAL,1.5,1.6,100,0,2.3,2.3,6.8,6.8
23,NickRose,LAC,K,2017,17,OAK,1.4,1.5,50,0,2.5,2.5,6.7,6.7
23,BlairWalsh,SEA,K,2017,17,ARI,1.5,1.6,100,0,2.2,2.2,6.7,6.7
25,MasonCrosby,GB,K,2017,17,DET,1.4,1.5,50,0,2.3,2.3,6.5,6.5
26,GiorgioTavecchio,OAK,K,2017,17,LAC,1.3,1.3,100,0,2.1,2.1,6,6
27,ChandlerCatanzaro,NYJ,K,2017,17,NE,1.4,1.5,50,0,1.7,1.7,5.9,5.9
28,AldrickRosas,NYG,K,2017,17,WAS,1.3,1.4,100,0,1.9,1.9,5.8,5.8
29,MikeNugentIR,CHI,K,2017,17,MIN,1.3,1.4,100,0,1.6,1.6,5.5,5.5
30,RandyBullock,CIN,K,2017,17,BAL,1,1.1,100,0,1.8,1.8,4.8,4.8
31,ZaneGonzalez,CLE,K,2017,17,PIT,1,1.1,100,0,1.4,1.4,4.4,4.4
32,CairoSantos,CHI,K,2017,17,MIN,0,0,0,0,0,0,0,0
32,CalebSturgis,PHI,K,2017,17,DAL,0,0,0,0,0,0,0,0
32,NickFolk,TB,K,2017,17,NO,0,0,0,0,0,0,0,0
32,NickNovak,LAC,K,2017,17,OAK,0,0,0,0,0,0,0,0
32,SebastianJanikowski,OAK,K,2017,17,LAC,0,0,0,0,0,0,0,0
32,GregZuerlein,LAR,K,2017,17,SF,0,0,0,0,0,0,0,0
