Rank,Name,Team,Position,Season,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,DeMarcoMurray,DAL,RB,2014,13,PHI,23,114,5,1,5,4,21,0,0,0,19.5,19.5
2,JamaalCharles,KC,RB,2014,13,DEN,18,78,4.3,1,7,5,44,0,0,0,18.2,18.2
3,Le'VeonBellO,PIT,RB,2014,13,NO,20,90,4.5,1,6,4,31,0,0,0,18.1,18.1
4,JustinForsett,BAL,RB,2014,13,LAC,20,97,4.8,1,4,3,19,0,0,0,17.6,17.6
5,EddieLacy,GB,RB,2014,13,NE,17,75,4.4,1,5,4,34,0,0,0,16.9,16.9
6,ArianFoster,HOU,RB,2014,13,TEN,18,91,5.1,1,4,3,16,0,0,0,16.7,16.7
7,AndreEllington,ARI,RB,2014,13,ATL,17,71,4.2,1,7,5,31,0,0,0,16.2,16.2
8,LeSeanMcCoyQ,PHI,RB,2014,13,DAL,18,90,5,1,3,2,9,0,0,0,15.9,15.9
9,MarshawnLynchP,SEA,RB,2014,13,SF,18,74,4.1,1,4,3,21,0,0,0,15.5,15.5
9,JeremyHillIR,CIN,RB,2014,13,TB,19,87,4.6,1,3,2,8,0,0,0,15.5,15.5
11,AlfredMorrisQ,WAS,RB,2014,13,IND,17,69,4.1,1,3,2,13,0,0,0,14.2,14.2
12,FredJackson,BUF,RB,2014,13,CLE,11,41,3.7,1,5,4,23,0,0,0,12.4,12.4
13,MarkIngramSUS,NO,RB,2014,13,PIT,14,54,3.9,1,1,1,6,0,0,0,12,12
13,IsaiahCrowell,CLE,RB,2014,13,BUF,15,56,3.7,1,1,1,4,0,0,0,12,12
15,LeGarretteBlount,NE,RB,2014,13,GB,14,58,4.1,1,0,0,0,0,0,0,11.8,11.8
16,CJAnderson,DEN,RB,2014,13,KC,18,82,4.6,0,7,5,29,0,0,0,11.1,11.1
17,MattForteIR,CHI,RB,2014,13,DET,16,63,3.9,0,10,7,46,0,0,0,10.9,10.9
18,RashadJennings,NYG,RB,2014,13,JAX,18,77,4.3,0,5,4,29,0,0,0,10.6,10.6
19,TreMason,LAR,RB,2014,13,OAK,21,94,4.5,0,3,2,11,0,0,0,10.5,10.5
20,DenardRobinson,JAX,RB,2014,13,NYG,17,84,4.9,0,4,3,18,0,0,0,10.2,10.2
21,JoiqueBell,DET,RB,2014,13,CHI,17,72,4.2,0,4,3,22,0,0,0,9.4,9.4
22,LamarMiller,MIA,RB,2014,13,NYJ,16,68,4.2,0,4,3,15,0,0,0,8.3,8.3
23,GiovaniBernardP,CIN,RB,2014,13,TB,14,59,4.2,0,4,3,23,0,0,0,8.2,8.2
24,ShaneVereenIR,NE,RB,2014,13,GB,6,26,4.3,0,8,6,52,0,0,0,7.8,7.8
25,RyanMathews,LAC,RB,2014,13,BAL,15,69,4.6,0,3,2,8,0,0,0,7.7,7.7
26,DanHerron,IND,RB,2014,13,WAS,11,45,4.1,0,5,4,31,0,0,0,7.6,7.6
27,TrentRichardson,IND,RB,2014,13,WAS,15,61,4.1,0,3,2,13,0,0,0,7.4,7.4
28,FrankGore,SF,RB,2014,13,SEA,16,60,3.8,0,1,1,7,0,0,0,6.7,6.7
29,StevenJackson,ATL,RB,2014,13,ARI,15,49,3.3,0,4,3,14,0,0,0,6.3,6.3
30,MattAsiata,MIN,RB,2014,13,CAR,10,43,4.3,0,4,3,19,0,0,0,6.2,6.2
31,BishopSankey,TEN,RB,2014,13,HOU,14,51,3.6,0,3,2,10,0,0,0,6.1,6.1
32,MarcelReece,OAK,FB,2014,13,LAR,10,41,4.1,0,4,3,19,0,0,0,6,6
33,TerranceWest,CLE,RB,2014,13,BUF,13,50,3.8,0,3,2,9,0,0,0,5.9,5.9
33,ChrisIvory,NYJ,RB,2014,13,MIA,13,53,4.1,0,3,2,6,0,0,0,5.9,5.9
35,JonathanStewartIR,CAR,RB,2014,13,MIN,10,41,4.1,0,3,2,14,0,0,0,5.5,5.5
36,PierreThomas,NO,RB,2014,13,PIT,4,19,4.8,0,6,4,32,0,0,0,5.1,5.1
36,AnthonyDixon,BUF,RB,2014,13,CLE,13,44,3.4,0,1,1,7,0,0,0,5.1,5.1
