Rank,Name,Team,Position,Season,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,TerrellePryorP,OAK,WR,2013,6,KC,0,0,0,0,0,0,0,0,9,52,5.8,0,0,0,16.8,16.76
2,DezBryant,DAL,WR,2013,6,WAS,10,7,70,97,1,43,9.7,13.9,0,0,0,0,0,0,15.7,15.7
3,AndreJohnson,HOU,WR,2013,6,LAR,18,14,77.8,149,0,67,8.3,10.6,0,0,0,0,0,0,14.9,14.9
4,TorreySmith,BAL,WR,2013,6,GB,11,7,63.6,139,0,62,12.6,19.9,0,0,0,0,0,0,13.9,13.9
5,VincentJackson,TB,WR,2013,6,PHI,13,8,61.5,136,0,61,10.5,17,0,0,0,0,0,0,13.6,13.6
6,HakeemNicks,NYG,WR,2013,6,CHI,11,8,72.7,130,0,58,11.8,16.2,0,0,0,0,0,0,13,13
6,WesWelker,DEN,WR,2013,6,JAX,9,7,77.8,70,1,31,7.8,10,0,0,0,0,0,0,13,13
8,RandallCobbQ,GB,WR,2013,6,BAL,11,8,72.7,96,0,43,8.7,12,2,27,13.5,0,0,0,12.3,12.3
9,PierreGarcon,WAS,WR,2013,6,DAL,13,10,76.9,117,0,52,9,11.7,0,3,0,0,0,0,12,12
10,CecilShorts,JAX,WR,2013,6,DEN,15,9,60,119,0,53,7.9,13.2,0,0,0,0,0,0,11.9,11.9
11,VictorCruz,NYG,WR,2013,6,CHI,11,7,63.6,111,0,50,10.1,15.9,0,0,0,0,0,0,11.1,11.1
12,DannyAmendola,NE,WR,2013,6,NO,14,10,71.4,109,0,49,7.8,10.9,0,0,0,0,0,0,10.9,10.9
13,ReggieWayne,IND,WR,2013,6,LAC,10,8,80,107,0,48,10.7,13.4,0,1,0,0,0,0,10.8,10.8
14,AlshonJefferyQ,CHI,WR,2013,6,NYG,9,6,66.7,93,0,42,10.3,15.5,0,12,0,0,0,0,10.5,10.5
15,BrandonMarshall,CHI,WR,2013,6,NYG,12,9,75,104,0,47,8.7,11.6,0,0,0,0,0,0,10.4,10.4
