Rank,Name,Team,Position,Season,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGame,FantasyPoints
1,TomBrady,NE,QB,2017,6,NYJ,24.4,38.1,63.2,291.6,7.7,2.5,0.5,104.28,1.9,1.3,0.5,0,20.4,20.39
2,DrewBrees,NO,QB,2017,6,DET,26.1,40.6,63.4,303.5,7.4,2.4,0.9,91.92,1.5,1.2,0.5,0,19.7,19.66
3,MattRyan,ATL,QB,2017,6,MIA,22.1,35.5,61.1,281.7,7.8,2.3,0.7,92.59,2.1,2.6,1.5,0,18.9,18.93
4,AaronRodgersQ,GB,QB,2017,6,MIN,24.4,39.5,60,273.8,6.8,2,0.7,86.88,3.6,17.5,4.5,0,18.9,18.9
5,KirkCousins,WAS,QB,2017,6,SF,23.4,34.5,67.6,280.1,8.2,2.1,0.7,100.12,2.5,10.4,5,0,18.6,18.64
6,DeshaunWatsonP,HOU,QB,2017,6,CLE,20.5,33.4,60.6,236.6,7.2,1.9,0.8,90.09,4.6,27.6,5.6,0.1,18.4,18.42
7,CamNewton,CAR,QB,2017,6,PHI,21.4,34.6,60,259.2,7.4,1.7,0.9,90.06,5.1,20,4,0.1,17.4,17.37
8,MatthewStafford,DET,QB,2017,6,NO,24.1,37.3,64.9,273.6,7.4,2,0.8,93.75,2.5,4.2,2,0,17.4,17.36
9,PhilipRivers,LAC,QB,2017,6,OAK,23.6,39.4,61.5,283.3,7.3,2,0.9,90.01,1.2,1.1,1,0,17,17.04
10,MarcusMariotaP,TEN,QB,2017,6,IND,17.7,29.4,62.1,235.5,8.1,1.7,0.7,96.34,3.5,15.6,4,0.1,16.6,16.58
11,AlexSmith,KC,QB,2017,6,PIT,21.4,33,63.6,243.1,7.4,1.5,0.6,93.37,3.9,20.2,5,0.1,16.5,16.54
12,JameisWinston,TB,QB,2017,6,ARI,21.1,37.5,55.3,265,7,1.8,1.1,83.77,2.7,9.7,3.3,0,16.2,16.17
13,CarsonPalmer,ARI,QB,2017,6,TB,24.6,42.1,59.5,285.8,6.8,1.7,1,86.01,1.4,1.6,2,0,16,15.99
14,DerekCarr,OAK,QB,2017,6,LAC,20.6,32.3,65.6,243.9,7.6,1.8,0.7,96.35,2.1,3.9,2,0,15.6,15.55
15,CarsonWentz,PHI,QB,2017,6,CAR,21.8,37.6,57.9,243.2,6.4,1.6,0.8,83.55,3.5,14.6,3.8,0,15.4,15.39
16,JacobyBrissett,IND,QB,2017,6,TEN,20.6,33,63.6,243.7,7.4,1.3,0.9,83.4,4.1,16.2,4,0.1,15,14.97
17,CaseKeenum,MIN,QB,2017,6,GB,21.6,32.2,68.8,237.7,7.4,1.5,0.8,98.18,2.2,6.9,3.5,0,14.2,14.2
18,TrevorSiemian,DEN,QB,2017,6,NYG,19.3,33.1,57.6,241.1,7.3,1.5,1,88.07,2.9,5.8,2,0,13.6,13.62
19,JoshMcCown,NYJ,QB,2017,6,NE,22.4,34,64.7,240.1,7.1,1.4,0.8,82.97,2.6,5.8,2,0,13.6,13.58
20,BenRoethlisberger,PIT,QB,2017,6,KC,21.5,37.3,59.5,247.6,6.7,1.4,1.1,77.31,1.6,1.9,1,0,13.1,13.09
21,BrianHoyer,SF,QB,2017,6,WAS,22.8,37.3,62.2,244.7,6.6,1.3,1,79.22,1.5,3.9,2,0,12.8,12.78
22,JoeFlacco,BAL,QB,2017,6,CHI,20.6,34.8,60,234,6.7,1.4,1,77.56,1.6,1.5,1,0,12.7,12.71
23,JayCutler,MIA,QB,2017,6,ATL,19.3,32.1,59.4,218.2,6.8,1.4,1.2,77.34,2,5.9,3,0,12.1,12.12
24,BlakeBortles,JAX,QB,2017,6,LAR,13.3,22.2,59.1,177.4,8,1.1,1,81.06,3.7,23,5.8,0.1,12,12
25,KevinHogan,CLE,QB,2017,6,HOU,15.1,25.2,60,201.8,8.1,1.1,1,82.42,2.8,14.5,4.7,0,11.5,11.52
26,JaredGoff,LAR,QB,2017,6,JAX,14.4,24,58.3,192.1,8,1.1,1,80.56,1.8,2.2,1,0,9.9,9.9
27,MitchTrubisky,CHI,QB,2017,6,BAL,19.3,33.2,57.6,205.1,6.2,0.9,1.3,73.42,3,10.6,3.7,0,9.7,9.66
28,EliManning,NYG,QB,2017,6,DEN,15.1,25.2,60,201.7,8.1,1,1.3,82.42,1.3,1.3,1,0,9.2,9.2
29,MattCassel,TEN,QB,2017,6,IND,3.5,6.4,66.7,42.3,7,0.2,0.2,86.81,0.5,1.5,0,0,2.2,2.24
30,EJManuel,OAK,QB,2017,6,LAC,0.9,1.6,50,12.4,6,0.1,0.1,68.75,0.3,1.4,0,0,0.8,0.84
31,DeshoneKizer,CLE,QB,2017,6,HOU,0.9,1.6,50,12.5,6,0,0.1,68.75,0.5,2.2,0,0,0.5,0.52
32,BrycePetty,NYJ,QB,2017,6,NE,0.5,0.9,100,7.2,7,0,0,95.83,0.1,0.3,0,0,0.3,0.32
33,MattMoore,MIA,QB,2017,6,ATL,0.5,0.8,0,6.3,6,0,0,52.08,0.1,0.3,0,0,0.3,0.28
33,MikeGlennon,CHI,QB,2017,6,BAL,0.5,0.8,0,6.7,7,0,0,56.25,0,0.1,0,0,0.3,0.28
35,TomSavage,HOU,QB,2017,6,CLE,0.4,0.7,0,5.6,6,0,0,52.08,0.1,0.5,0,0,0.3,0.27
35,JimmyGaroppoloIR,NE,QB,2017,6,NYJ,0.4,0.7,0,5.9,6,0,0,52.08,0.1,0.3,0,0,0.3,0.27
37,LandryJones,PIT,QB,2017,6,KC,0.4,0.7,0,5.4,5,0,0,47.92,0.1,0.4,0,0,0.3,0.26
38,NickFoles,PHI,QB,2017,6,CAR,0.4,0.7,0,5.4,5,0,0,47.92,0.1,0.2,0,0,0.2,0.24
38,DrewStanton,ARI,QB,2017,6,TB,0.4,0.6,0,5.2,5,0,0,47.92,0.1,0.3,0,0,0.2,0.24
40,RyanFitzpatrick,TB,QB,2017,6,ARI,0.4,0.6,0,5.2,5,0,0,47.92,0,0.2,0,0,0.2,0.23
