Rank,Name,Team,Position,Season,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGame,FantasyPoints
1,AndrewLuckP,IND,QB,2014,12,JAX,27,39,69.2,301,7.7,2,0,109.03,4,20,5,0,22,22.04
2,DrewBrees,NO,QB,2014,12,BAL,28,41,68.3,314,7.7,2,0,107.16,1,1,1,0,20.7,20.66
3,AaronRodgersQ,GB,QB,2014,12,MIN,24,34,70.6,264,7.8,2,0,112.87,2,13,6.5,0,19.9,19.86
4,JayCutler,CHI,QB,2014,12,TB,26,39,66.7,275,7.1,2,1,93.43,3,15,5,0,18.5,18.5
5,PeytonManning,DEN,QB,2014,12,MIA,27,40,67.5,305,7.6,2,1,96.35,1,-1,-1,0,18.1,18.1
6,TonyRomo,DAL,QB,2014,12,NYG,22,33,66.7,241,7.3,2,0,108.27,1,4,4,0,18,18.04
7,RussellWilson,SEA,QB,2014,12,ARI,18,29,62.1,224,7.7,1,0,97.49,7,47,6.7,0,17.7,17.66
8,ColinKaepernick,SF,QB,2014,12,WAS,19,29,65.5,219,7.6,1,0,99.64,6,41,6.8,0,16.9,16.86
9,JoshMcCown,TB,QB,2014,12,CHI,22,34,64.7,279,8.2,1,0,100,2,11,5.5,0,16.3,16.26
10,TomBrady,NE,QB,2014,12,DET,24,36,66.7,278,7.7,1,0,99.07,2,0,0,0,15.1,15.12
11,RobertGriffinIII,WAS,QB,2014,12,SF,21,33,63.6,245,7.4,1,1,83.52,5,33,6.6,0,15.1,15.1
12,DrewStanton,ARI,QB,2014,12,SEA,21,34,61.8,237,7,1,0,92.4,3,15,5,0,15,14.98
13,DerekCarr,OAK,QB,2014,12,KC,21,38,55.3,249,6.6,1,0,84.21,2,10,5,0,15,14.96
14,BlakeBortles,JAX,QB,2014,12,IND,22,38,57.9,275,7.2,1,1,78.29,3,19,6.3,0,14.9,14.9
15,KyleOrton,BUF,QB,2014,12,NYJ,23,37,62.2,253,6.8,1,0,91.39,1,4,4,0,14.5,14.52
16,PhilipRivers,LAC,QB,2014,12,LAR,23,34,67.6,252,7.4,1,0,99.14,2,3,1.5,0,14.4,14.38
16,RyanTannehillP,MIA,QB,2014,12,DEN,24,37,64.9,272,7.4,1,1,84.52,3,15,5,0,14.4,14.38
18,ShaunHill,LAR,QB,2014,12,LAC,20,33,60.6,239,7.2,1,0,92.87,1,8,8,0,14.4,14.36
19,MatthewStafford,DET,QB,2014,12,NE,24,41,58.5,287,7,1,1,78,2,5,2.5,0,14,13.98
20,MattRyan,ATL,QB,2014,12,CLE,24,38,63.2,277,7.3,1,1,82.89,1,6,6,0,13.7,13.68
21,AlexSmith,KC,QB,2014,12,OAK,18,27,66.7,198,7.3,1,0,100.54,3,17,5.7,0,13.6,13.62
22,AndyDalton,CIN,QB,2014,12,HOU,20,33,60.6,253,7.7,1,1,82.01,3,9,3,0,13,13.02
23,JoeFlacco,BAL,QB,2014,12,NO,22,36,61.1,263,7.3,1,1,81.13,1,4,4,0,12.9,12.92
24,ZachMettenberger,TEN,QB,2014,12,PHI,21,33,63.6,264,8,1,1,85.92,1,2,2,0,12.8,12.76
25,MarkSanchez,PHI,QB,2014,12,TEN,23,38,60.5,255,6.7,1,1,78.29,4,4,1,0,12.6,12.6
26,EliManning,NYG,QB,2014,12,DAL,23,39,59,259,6.6,1,1,76.76,1,2,2,0,12.6,12.56
27,BrianHoyer,CLE,QB,2014,12,ATL,22,37,59.5,236,6.4,1,1,75.96,2,0,0,0,11.4,11.44
28,RyanMallett,HOU,QB,2014,12,CIN,20,35,57.1,228,6.5,1,1,74.46,1,3,3,0,11.4,11.42
29,MichaelVick,NYJ,QB,2014,12,BUF,19,32,59.4,220,6.9,0,1,67.19,6,41,6.8,0,10.9,10.9
30,TeddyBridgewater,MIN,QB,2014,12,GB,19,33,57.6,240,7.3,0,1,67.74,3,15,5,0,9.1,9.1
31,MattSchaub,OAK,QB,2014,12,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,CharlieWhitehurst,TEN,QB,2014,12,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,MattCassel,MIN,QB,2014,12,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,JasonCampbell,CIN,QB,2014,12,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,RyanFitzpatrick,HOU,QB,2014,12,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,DanOrlovsky,DET,QB,2014,12,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,MattHasselbeck,IND,QB,2014,12,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,KellenClemens,LAC,QB,2014,12,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,CarsonPalmer,ARI,QB,2014,12,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,TarvarisJackson,SEA,QB,2014,12,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,LukeMcCown,NO,QB,2014,12,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
