Rank,Name,Team,Position,Season,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGame,FantasyPoints
1,AaronRodgersQ,GB,QB,2016,5,NYG,22.1,34.9,62.9,262.1,7.5,2,0.4,104.7,4.4,23.5,6,0.2,20.8,20.83
2,TomBrady,NE,QB,2016,5,CLE,23.6,36.8,64.9,268,7.2,2,0.7,93.07,4.1,20.2,5,0.3,20.7,20.74
3,BenRoethlisberger,PIT,QB,2016,5,NYJ,24.1,36.2,66.7,307.3,8.5,2,0.8,100.12,2.2,8.7,4.5,0.1,19.8,19.76
4,AndrewLuckP,IND,QB,2016,5,CHI,25.3,41.4,61,281.8,6.9,1.8,1.1,87.65,3.87,18.6,4.8,0.2,18.9,18.93
5,AndyDalton,CIN,QB,2016,5,DAL,21.9,32.5,68.8,271.5,8.5,1.8,0.7,102.6,3.1,9.1,3,0.1,18,17.97
6,DerekCarr,OAK,QB,2016,5,LAC,24.7,38.3,65.8,268,7.1,1.8,1,92.87,2.5,10.5,5,0.1,17.2,17.17
7,PhilipRivers,LAC,QB,2016,5,OAK,26.4,39.6,65,279.9,7,1.8,1,91.67,2.1,7.3,3.5,0.1,17.1,17.13
8,CarsonWentz,PHI,QB,2016,5,DET,23.8,35.5,66.7,250,6.9,1.7,0.6,93.52,2.9,11.1,3.7,0.1,16.9,16.91
9,MarcusMariotaP,TEN,QB,2016,5,MIA,19.3,30.5,63.3,230.6,7.7,1.5,0.9,95.28,3.5,19.6,5,0.2,16.2,16.18
9,DakPrescott,DAL,QB,2016,5,CIN,20.8,31.7,65.6,241.7,7.6,1.4,0.7,85.68,3.7,15.1,3.8,0.2,16.2,16.18
11,EliManning,NYG,QB,2016,5,GB,22.9,36.6,62.2,270.7,7.3,1.6,1.1,91.16,2.1,6.1,3,0.1,15.8,15.84
12,TyrodTaylorQ,BUF,QB,2016,5,LAR,19.1,29.5,63.3,205.1,6.8,1.2,0.6,80.56,5.8,31.9,5.3,0.2,15.8,15.79
13,MattRyan,ATL,QB,2016,5,DEN,23,36.8,62.2,266.8,7.2,1.8,1.1,90.71,2,4.6,2.5,0,15.7,15.73
14,RyanTannehillP,MIA,QB,2016,5,TEN,21.7,34.7,62.9,256.7,7.3,1.5,0.9,92.2,2.4,10.5,5,0.1,15.7,15.72
15,JoeFlacco,BAL,QB,2016,5,WAS,26.1,40,65,243,6.1,1.6,0.9,87.81,2.2,6.9,3.5,0.2,15.6,15.61
16,MatthewStafford,DET,QB,2016,5,PHI,23.3,36.8,62.2,285.9,7.7,1.4,1.3,83.84,2,8.1,4,0.1,15.4,15.45
17,DerekAnderson,CAR,QB,2016,5,TB,19.5,33,60.6,237.5,7.2,1.7,0.9,90.21,2,4.5,2,0.1,15.2,15.15
18,PaxtonLynch,DEN,QB,2016,5,ATL,21.7,33.4,66.7,225,6.8,1.5,0.8,93.62,3,12.9,4.3,0.1,15.1,15.09
19,KirkCousins,WAS,QB,2016,5,BAL,23.3,34.5,67.6,230.8,6.8,1.6,0.8,94.12,1.6,3.9,2,0.1,14.6,14.62
20,RyanFitzpatrick,NYJ,QB,2016,5,PIT,21.6,36.3,61.1,234.2,6.5,1.2,1,77.78,4,19.8,5,0.1,14.4,14.35
21,BrianHoyer,CHI,QB,2016,5,IND,20.4,32.9,60.6,238.4,7.2,1.4,1,80.11,2,4.3,2,0.1,13.6,13.57
22,SamBradfordQ,MIN,QB,2016,5,HOU,18.6,29.5,63.3,227.4,7.6,1.4,1,83.61,2.2,4.4,2,0,12.7,12.74
23,JameisWinston,TB,QB,2016,5,CAR,22,36.3,61.1,245,6.8,1.1,1.3,79.05,2.6,11,3.7,0.1,12.7,12.7
24,BlaineGabbertQ,SF,QB,2016,5,ARI,18.6,32.5,59.4,195.2,6.1,1,1,74.35,4.7,22,4.4,0.1,12.2,12.21
25,BrockOsweiler,HOU,QB,2016,5,MIN,21.5,35.8,61.1,226.9,6.3,1.1,1.3,76.97,2.7,9.7,3.3,0.1,12,12.05
26,DrewStanton,ARI,QB,2016,5,SF,19,32.2,59.4,215.8,6.8,1.2,1.1,77.08,2.2,7.1,3.5,0,11.5,11.54
27,CodyKessler,CLE,QB,2016,5,NE,16.9,28.2,60.7,225.6,8.1,1.1,1.1,83.33,2.5,8.5,4,0,11.5,11.47
28,CaseKeenum,LAR,QB,2016,5,BUF,16.1,28.9,55.2,210.7,7.3,1.2,1,75.5,2.2,6.2,3,0,11.4,11.45
29,MattCassel,TEN,QB,2016,5,MIA,1,1.6,50,12.9,6.5,0.1,0.1,70.83,0.2,1.1,0,0,0.8,0.83
30,JimmyGaroppoloIR,NE,QB,2016,5,CLE,0.7,1.2,100,9.7,10,0.1,0,108.33,0.1,0.3,0,0,0.8,0.82
31,ColtMcCoy,WAS,QB,2016,5,BAL,0.7,1.2,100,9.4,9,0.1,0,104.17,0.2,0.3,0,0,0.8,0.81
31,KellenClemens,LAC,QB,2016,5,OAK,0.7,1.2,100,9.5,10,0.1,0,108.33,0.1,0.3,0,0,0.8,0.81
33,RyanMallett,BAL,QB,2016,5,WAS,1,1.6,50,12.8,6.5,0.1,0.1,70.83,0.1,0.9,0,0,0.8,0.8
33,JaredGoff,LAR,QB,2016,5,BUF,1,1.6,50,12.7,6.5,0.1,0.1,70.83,0.2,0.9,0,0,0.8,0.8
35,GenoSmith,NYJ,QB,2016,5,PIT,1,1.6,50,12.9,6.5,0.1,0.1,70.83,0.2,0.7,0,0,0.8,0.79
36,AJMcCarron,CIN,QB,2016,5,DAL,1,1.6,50,13.1,6.5,0.1,0.1,70.83,0.2,0.6,0,0,0.8,0.78
37,EJManuel,BUF,QB,2016,5,LAR,0.8,1.4,100,11.1,11,0.1,0.1,112.5,0.2,1.1,0,0,0.8,0.75
38,ColinKaepernick,SF,QB,2016,5,ARI,0.8,1.4,100,10.8,11,0.1,0.1,112.5,0.2,1,0,0,0.7,0.73
39,MattMoore,MIA,QB,2016,5,TEN,0.6,1,100,7.7,8,0.1,0,100,0.1,0.1,0,0,0.7,0.72
39,TomSavage,HOU,QB,2016,5,MIN,0.8,1.4,100,11.3,11,0.1,0.1,112.5,0.2,0.7,0,0,0.7,0.72
39,MikeGlennon,TB,QB,2016,5,CAR,0.8,1.4,100,11.4,11,0.1,0.1,112.5,0.1,0.6,0,0,0.7,0.72
42,ChaseDaniel,PHI,QB,2016,5,DET,0.6,1,100,7.6,8,0.1,0,100,0.1,0.1,0,0,0.7,0.71
43,DanOrlovsky,DET,QB,2016,5,PHI,0.8,1.3,100,10.6,11,0.1,0.1,112.5,0.1,0.4,0,0,0.7,0.66
43,MattSchaub,ATL,QB,2016,5,DEN,0.8,1.3,100,10.6,11,0.1,0.1,112.5,0.1,0.4,0,0,0.7,0.66
45,LandryJones,PIT,QB,2016,5,NYJ,0.7,1.2,100,9.5,10,0.1,0.1,108.33,0.2,0.7,0,0,0.6,0.65
46,ShaunHill,MIN,QB,2016,5,HOU,0.7,1.2,100,9.3,9,0.1,0.1,104.17,0.2,0.6,0,0,0.6,0.63
47,ScottTolzien,IND,QB,2016,5,CHI,0.6,1.1,100,8.5,8,0.1,0.1,100,0.1,0.4,0,0,0.6,0.58
48,RyanNassib,NYG,QB,2016,5,GB,0.6,1,100,7.8,8,0,0,100,0.1,0.4,0,0,0.4,0.35
49,MarkSanchez,DAL,QB,2016,5,CIN,0.2,0.2,0,2,0,0,0,0,0,0.1,0,0,0.1,0.09
50,MattMcGloin,OAK,QB,2016,5,LAC,0.2,0.3,0,2.1,0,0,0,0,0,0,0,0,0.1,0.08
51,CharlieWhitehurst,CLE,QB,2016,5,NE,0,0.1,0,0.6,0,0,0,0,0,0.1,0,0,0,0.03
52,AustinDavisP,DEN,QB,2016,5,ATL,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0.02
52,BrettHundley,GB,QB,2016,5,NYG,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0.02
54,JoeWebb,CAR,QB,2016,5,TB,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.01
55,CarsonPalmer,ARI,QB,2016,5,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,ChristianPonder,SF,QB,2016,5,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,ThaddeusLewis,SF,QB,2016,5,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,ZacDysert,ARI,QB,2016,5,SF,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
55,JacobyBrissett,NE,QB,2016,5,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,RobertGriffinIII,CLE,QB,2016,5,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,JoshMcCown,CLE,QB,2016,5,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,StephenMorris,IND,QB,2016,5,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,MattBarkley,CHI,QB,2016,5,IND,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
55,JayCutler,CHI,QB,2016,5,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,AlexTanney,TEN,QB,2016,5,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,DavidFales,BAL,QB,2016,5,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,BrandonWeeden,HOU,QB,2016,5,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,TeddyBridgewater,MIN,QB,2016,5,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,ChristianHackenberg,NYJ,QB,2016,5,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,BrycePetty,NYJ,QB,2016,5,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,ZachMettenberger,PIT,QB,2016,5,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,BruceGradkowski,PIT,QB,2016,5,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,MattSimms,ATL,QB,2016,5,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,TrevorSiemian,DEN,QB,2016,5,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,KellenMoore,DAL,QB,2016,5,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,TonyRomo,DAL,QB,2016,5,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,SeanMannion,LAR,QB,2016,5,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,JoshJohnson,NYG,QB,2016,5,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,JoeCallahan,GB,QB,2016,5,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,CamNewton,CAR,QB,2016,5,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
