Rank,Name,Team,Position,Season,Week,Opponent,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FieldGoalsLongestMade,ExtraPointsMade,ExtraPointsAttempted,FantasyPointsPerGame,FantasyPoints
1,StephenGostkowski,NE,K,2013,17,BUF,2,2,100,40,3,3,9,9
2,GrahamGano,CAR,K,2013,17,ATL,2,2,100,40,2,2,8,8
2,CalebSturgis,MIA,K,2013,17,NYJ,2,2,100,37,2,2,8,8
2,BlairWalsh,MIN,K,2013,17,DET,2,2,100,31,2,2,8,8
2,NickNovak,LAC,K,2013,17,KC,2,2,100,41,2,2,8,8
6,JustinTucker,BAL,K,2013,17,CIN,2,2,100,32,1,1,7,7
6,AdamVinatieri,IND,K,2013,17,JAX,2,3,66.7,33,1,1,7,7
6,ShayneGraham,NO,K,2013,17,TB,2,3,66.7,49,1,1,7,7
6,PhilDawson,SF,K,2013,17,ARI,2,2,100,48,1,1,7,7
6,MattPrater,DEN,K,2013,17,OAK,1,2,50,35,4,4,7,7
11,MattBryant,ATL,K,2013,17,CAR,1,2,50,34,3,3,6,6
11,RobbieGould,CHI,K,2013,17,GB,1,2,50,29,3,3,6,6
11,DanBailey,DAL,K,2013,17,PHI,1,2,50,25,3,3,6,6
11,AlexHenery,PHI,K,2013,17,DAL,1,2,50,39,3,3,6,6
11,RobBironas,TEN,K,2013,17,HOU,1,2,50,26,3,3,6,6
11,DavidAkers,DET,K,2013,17,MIN,1,1,100,27,3,3,6,6
11,RyanSuccopP,KC,K,2013,17,LAC,0,1,0,0,6,6,6,6
18,ShaunSuisham,PIT,K,2013,17,CLE,1,1,100,24,3,3,5.8,5.8
19,MasonCrosby,GB,K,2013,17,CHI,1,2,50,40,2,2,5,5
19,BillyCundiff,CLE,K,2013,17,PIT,1,1,100,30,2,2,5,5
19,RianLindell,TB,K,2013,17,NO,1,2,50,35,2,2,5,5
19,JoshBrown,NYG,K,2013,17,WAS,1,2,50,30,2,2,5,5
19,JayFeely,ARI,K,2013,17,SF,1,2,50,28,2,2,5,5
19,StevenHauschka,SEA,K,2013,17,LAR,1,2,50,36,2,2,5,5
19,SebastianJanikowski,OAK,K,2013,17,DEN,1,2,50,42,2,2,5,5
26,MikeNugentIR,CIN,K,2013,17,BAL,0,1,0,0,4,4,4,4
26,RandyBullock,HOU,K,2013,17,TEN,1,2,50,44,1,1,4,4
26,JoshScobee,JAX,K,2013,17,IND,1,2,50,45,1,1,4,4
26,NickFolk,NYJ,K,2013,17,MIA,1,2,50,34,1,1,4,4
26,DanCarpenter,BUF,K,2013,17,NE,1,2,50,41,1,1,4,4
26,KaiForbath,WAS,K,2013,17,NYG,1,2,50,40,1,1,4,4
26,GregZuerlein,LAR,K,2013,17,SEA,1,1,100,43,1,1,4,4
