Rank,Name,Team,Position,Season,Week,Opponent,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FieldGoalsLongestMade,ExtraPointsMade,ExtraPointsAttempted,FantasyPointsPerGame,FantasyPoints
1,WilLutz,NO,K,2016,13,DET,2.1,2.4,100,0,3.1,3.1,9.4,9.4
2,JustinTucker,BAL,K,2016,13,MIA,1.9,1.9,100,0,2,2,7.7,7.7
3,MattPrater,DET,K,2016,13,NO,1.7,1.8,100,0,2.5,2.5,7.6,7.6
4,BrandonMcManus,DEN,K,2016,13,JAX,1.8,1.9,100,0,1.9,1.9,7.3,7.3
5,NickFolk,NYJ,K,2016,13,IND,1.6,1.8,100,0,2.2,2.2,7,7
6,SebastianJanikowski,OAK,K,2016,13,BUF,1.4,1.6,50,0,2.6,2.6,6.8,6.8
7,ConnorBarth,CHI,K,2016,13,SF,1.6,1.7,100,0,1.8,1.8,6.6,6.6
7,JoshLamboP,LAC,K,2016,13,TB,1.4,1.5,50,0,2.4,2.4,6.6,6.6
7,AdamVinatieri,IND,K,2016,13,NYJ,1.4,1.5,50,0,2.4,2.4,6.6,6.6
10,StephenGostkowski,NE,K,2016,13,LAR,1.1,1.3,100,0,3.2,3.2,6.5,6.5
11,CairoSantos,KC,K,2016,13,ATL,1.4,1.6,50,0,2.2,2.2,6.4,6.4
12,PhilDawson,SF,K,2016,13,CHI,1.3,1.4,100,0,2.3,2.3,6.2,6.2
13,ChandlerCatanzaro,ARI,K,2016,13,WAS,1.1,1.2,100,0,2.6,2.6,5.9,5.9
13,StevenHauschka,SEA,K,2016,13,CAR,1.2,1.4,100,0,2.3,2.3,5.9,5.9
15,MasonCrosby,GB,K,2016,13,HOU,1.1,1.3,100,0,2.4,2.4,5.7,5.7
15,CalebSturgis,PHI,K,2016,13,CIN,1.2,1.4,100,0,2.1,2.1,5.7,5.7
15,DustinHopkins,WAS,K,2016,13,ARI,1.2,1.3,100,0,2.1,2.1,5.7,5.7
18,NickNovak,HOU,K,2016,13,GB,1.2,1.4,100,0,2,2,5.6,5.6
19,KaiForbath,MIN,K,2016,13,DAL,1.1,1.2,100,0,2.1,2.1,5.4,5.4
20,MattBryant,ATL,K,2016,13,KC,0.9,1,100,0,2.6,2.6,5.3,5.3
20,RobbieGould,NYG,K,2016,13,PIT,1,1.1,100,0,2.3,2.3,5.3,5.3
20,RobertoAguayo,TB,K,2016,13,LAC,1,1.2,100,0,2.3,2.3,5.3,5.3
23,GrahamGano,CAR,K,2016,13,SEA,1.1,1.3,100,0,1.9,1.9,5.2,5.2
24,MikeNugentIR,CIN,K,2016,13,PHI,1,1.2,100,0,2.1,2.1,5.1,5.1
25,DanBailey,DAL,K,2016,13,MIN,0.9,1,100,0,2.2,2.2,4.9,4.9
26,DanCarpenter,BUF,K,2016,13,OAK,0.8,1,100,0,2.3,2.3,4.7,4.7
27,GregZuerlein,LAR,K,2016,13,NE,0.9,1.1,100,0,1.7,1.7,4.4,4.4
27,JasonMyers,JAX,K,2016,13,DEN,1,1.2,100,0,1.4,1.4,4.4,4.4
29,AndrewFranks,MIA,K,2016,13,BAL,0.8,1,100,0,1.8,1.8,4.2,4.2
30,BlairWalsh,MIN,K,2016,13,DAL,0,0,0,0,0,0,0,0
30,JordanGay,BUF,K,2016,13,OAK,0,0,0,0,0,0,0,0
30,ChrisBoswell,PIT,K,2016,13,NYG,0,0,0,0,0,0,0,0
