Rank,Name,Team,Position,Season,Week,Opponent,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FieldGoalsLongestMade,ExtraPointsMade,ExtraPointsAttempted,FantasyPointsPerGame,FantasyPoints
1,StephenGostkowski,NE,K,2015,11,BUF,2,2,100,0,4,4,10,10
2,MattBryant,ATL,K,2015,11,IND,2,2,100,0,3,3,9,9
2,CalebSturgis,PHI,K,2015,11,TB,2,2,100,0,3,3,9,9
2,MasonCrosby,GB,K,2015,11,MIN,2,2,100,0,3,3,9,9
2,ChandlerCatanzaro,ARI,K,2015,11,CIN,2,2,100,0,3,3,9,9
6,JasonMyers,JAX,K,2015,11,TEN,2,2,100,0,2,2,8,8
6,RyanSuccopP,TEN,K,2015,11,JAX,2,2,100,0,2,2,8,8
6,MattPrater,DET,K,2015,11,OAK,2,2,100,0,2,2,8,8
6,AdamVinatieri,IND,K,2015,11,ATL,2,2,100,0,2,2,8,8
6,NickNovak,HOU,K,2015,11,NYJ,2,2,100,0,2,2,8,8
6,RobbieGould,CHI,K,2015,11,DEN,2,2,100,0,2,2,8,8
6,BrandonMcManus,DEN,K,2015,11,CHI,2,2,100,0,2,2,8,8
6,BlairWalsh,MIN,K,2015,11,GB,2,2,100,0,2,2,8,8
6,GregZuerlein,LAR,K,2015,11,BAL,2,2,100,0,2,2,8,8
6,JustinTucker,BAL,K,2015,11,LAR,2,2,100,0,2,2,8,8
6,AndrewFranks,MIA,K,2015,11,DAL,2,2,100,0,2,2,8,8
6,DanBailey,DAL,K,2015,11,MIA,2,2,100,0,2,2,8,8
6,DustinHopkins,WAS,K,2015,11,CAR,2,2,100,0,2,2,8,8
6,GrahamGano,CAR,K,2015,11,WAS,2,2,100,0,2,2,8,8
6,StevenHauschka,SEA,K,2015,11,SF,2,2,100,0,2,2,8,8
6,CairoSantos,KC,K,2015,11,LAC,2,2,100,0,2,2,8,8
6,JoshLamboP,LAC,K,2015,11,KC,2,2,100,0,2,2,8,8
6,DanCarpenter,BUF,K,2015,11,NE,2,2,100,0,2,2,8,8
24,ConnorBarth,TB,K,2015,11,PHI,2,2,100,0,1,1,7,7
24,PhilDawson,SF,K,2015,11,SEA,2,2,100,0,1,1,7,7
26,SebastianJanikowski,OAK,K,2015,11,DET,1,1,100,0,3,3,6,6
26,RandyBullock,NYJ,K,2015,11,HOU,1,1,100,0,3,3,6,6
26,MikeNugentIR,CIN,K,2015,11,ARI,1,1,100,0,3,3,6,6
29,PatrickMurray,TB,K,2015,11,PHI,0,0,0,0,0,0,0,0
29,JayFeely,CHI,K,2015,11,DEN,0,0,0,0,0,0,0,0
29,JordanGay,BUF,K,2015,11,NE,0,0,0,0,0,0,0,0
29,BillyCundiff,BUF,K,2015,11,NE,0,0,0,0,0,0,0,0
