Rank,Name,Team,Position,Season,Week,Opponent,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowed,FantasyPointsPerGame,FantasyPoints
1,SeattleSeahawks,SEA,DST,2016,1,MIA,0,3.3,0,1.5,0.7,0,0,0,18,10.5,10.5
2,CarolinaPanthers,CAR,DST,2016,1,DEN,0,3.2,0,1.2,0.7,0,0,0,18.7,9.8,9.8
3,HoustonTexans,HOU,DST,2016,1,CHI,0,3.3,0,1.1,0.7,0,0,0,19.1,9.7,9.7
4,GreenBayPackers,GB,DST,2016,1,JAX,0,3.3,0,1.4,0.4,0.2,0,0,20.5,9.5,9.5
5,PhiladelphiaEagles,PHI,DST,2016,1,CLE,0,3.2,0,1,0.7,0.2,0,0,23.1,9.4,9.4
6,MinnesotaVikings,MIN,DST,2016,1,TEN,0,3.2,0,0.8,0.8,0,0,0,16.6,9.2,9.2
7,ArizonaCardinals,ARI,DST,2016,1,NE,0,3.3,0,1.4,0.6,0,0,0,22.4,9.1,9.1
8,KansasCityChiefs,KC,DST,2016,1,LAC,0,2.8,0,1.1,0.7,0,0,0,17.5,8.6,8.6
9,CincinnatiBengals,CIN,DST,2016,1,NYJ,0,3.1,0,1,0.5,0,0,0,21.2,8.5,8.5
10,LosAngelesRams,LAR,DST,2016,1,SF,0,2.9,0,1,0.8,0,0,0,18.5,8.1,8.1
11,NewYorkJets,NYJ,DST,2016,1,CIN,0,2.8,0,1.1,0.4,0,0,0,20.6,8,8
12,DenverBroncos,DEN,DST,2016,1,CAR,0,3,0,0.7,0.8,0,0,0,21.9,7.8,7.8
13,TennesseeTitans,TEN,DST,2016,1,MIN,0,2.8,0,0.9,0.6,0,0,0,24.4,7.6,7.6
14,BuffaloBills,BUF,DST,2016,1,BAL,0,2.6,0,1.3,0.4,0,0,0,21.5,7.2,7.2
14,BaltimoreRavens,BAL,DST,2016,1,BUF,0,3,0,1,0.5,0,0,0,23.4,7.2,7.2
16,SanFrancisco49ers,SF,DST,2016,1,LAR,0,2.4,0,1,0.7,0,0,0,21,7,7
16,ClevelandBrowns,CLE,DST,2016,1,PHI,0,2,0,1,0.6,0,0,0,23.4,7,7
18,PittsburghSteelers,PIT,DST,2016,1,WAS,0,2.5,0,1.2,0.4,0,0,0,22.2,6.9,6.9
18,JacksonvilleJaguars,JAX,DST,2016,1,GB,0,2.7,0,0.9,0.3,0,0,0,25.8,6.9,6.9
20,NewEnglandPatriots,NE,DST,2016,1,ARI,0,2.2,0,0.8,0.6,0,0,0,23.7,6.8,6.8
20,DetroitLions,DET,DST,2016,1,IND,0,3,0,0.8,0.5,0,0,0,22.6,6.8,6.8
22,NewYorkGiants,NYG,DST,2016,1,DAL,0,2.4,0,0.8,0.7,0,0,0,25.6,6.6,6.6
22,ChicagoBears,CHI,DST,2016,1,HOU,0,2.6,0,0.8,0.6,0,0,0,22.4,6.6,6.6
24,WashingtonRedskins,WAS,DST,2016,1,PIT,0,2.7,0,1,0.5,0,0,0,29.1,6.5,6.5
25,TampaBayBuccaneers,TB,DST,2016,1,ATL,0,2.6,0,1,0.6,0,0,0,23.6,6.4,6.4
26,DallasCowboys,DAL,DST,2016,1,NYG,0,2,0,0.6,0.5,0,0,0,23.8,6,6
27,MiamiDolphins,MIA,DST,2016,1,SEA,0,2.9,0,0.6,0.3,0,0,0,27.5,5.9,5.9
28,IndianapolisColts,IND,DST,2016,1,DET,0,2.2,0,1,0.5,0,0,0,24.9,5.8,5.8
29,AtlantaFalcons,ATL,DST,2016,1,TB,0,1.9,0,0.9,0.5,0,0,0,22.5,5.3,5.3
30,OaklandRaiders,OAK,DST,2016,1,NO,0,2.2,0,0.8,0.4,0,0,0,27.3,5.2,5.2
31,LosAngelesChargers,LAC,DST,2016,1,KC,0,2.3,0,0.6,0.5,0,0,0,24.8,5.1,5.1
32,NewOrleansSaints,NO,DST,2016,1,OAK,0,1.9,0,0.7,0.5,0,0,0,25.1,4.9,4.9
