Rank,Name,Team,Position,Season,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
56,JayAjayiP,MIA,RB,2015,10,PHI,5,19,3.8,0,0,0,2,0,0,0,2.1,2.1
56,OrleansDarkwa,NYG,RB,2015,10,NE,4,17,4.2,0,1,1,4,0,0,0,2.1,2.1
58,TreMason,LAR,RB,2015,10,CHI,4,15,3.8,0,1,1,5,0,0,0,2,2
59,ChristineMichael,DAL,RB,2015,10,TB,4,13,3.2,0,1,1,5,0,0,0,1.8,1.8
59,MikeTolbert,CAR,FB,2015,10,TEN,3,10,3.3,0,1,1,8,0,0,0,1.8,1.8
61,JordanTodman,PIT,RB,2015,10,CLE,3,13,4.3,0,1,1,4,0,0,0,1.7,1.7
62,BenjaminCunningham,LAR,RB,2015,10,CHI,1,5,5,0,1,1,11,0,0,0,1.6,1.6
63,FredJackson,SEA,RB,2015,10,ARI,1,5,5,0,1,1,10,0,0,0,1.5,1.5
64,KyleJuszczyk,BAL,FB,2015,10,JAX,0,1,0,0,3,2,13,0,0,0,1.4,1.4
64,JerickMcKinnonIR,MIN,RB,2015,10,OAK,2,10,5,0,1,1,4,0,0,0,1.4,1.4
64,AndreWilliams,NYG,RB,2015,10,NE,4,12,3,0,0,0,2,0,0,0,1.4,1.4
67,MattAsiata,MIN,RB,2015,10,OAK,2,7,3.5,0,1,1,6,0,0,0,1.3,1.3
68,StevanRidley,NYJ,RB,2015,10,BUF,2,9,4.5,0,0,0,3,0,0,0,1.2,1.2
68,FozzyWhittakerIR,CAR,RB,2015,10,TEN,1,6,6,0,1,1,6,0,0,0,1.2,1.2
70,AntoneSmith,CHI,RB,2015,10,LAR,2,6,3,0,1,1,4,0,0,0,1,1
71,BishopSankey,TEN,RB,2015,10,CAR,1,5,5,0,0,0,3,0,0,0,0.8,0.8
72,AnthonyDixon,BUF,RB,2015,10,NYJ,1,4,4,0,0,0,3,0,0,0,0.7,0.7
72,RobertTurbinSUS,CLE,RB,2015,10,PIT,2,6,3,0,0,0,1,0,0,0,0.7,0.7
74,JohnKuhn,GB,FB,2015,10,DET,1,2,2,0,0,0,4,0,0,0,0.6,0.6
74,ZachLine,MIN,FB,2015,10,OAK,0,2,0,0,0,0,4,0,0,0,0.6,0.6
74,JamizeOlawale,OAK,FB,2015,10,MIN,1,4,4,0,0,0,2,0,0,0,0.6,0.6
77,TommyBohanon,NYJ,FB,2015,10,BUF,0,1,0,0,0,0,4,0,0,0,0.5,0.5
77,DanHerron,BUF,RB,2015,10,NYJ,1,3,3,0,0,0,2,0,0,0,0.5,0.5
77,BobbyRainey,TB,RB,2015,10,DAL,1,3,3,0,0,0,2,0,0,0,0.5,0.5
77,WillJohnson,PIT,FB,2015,10,CLE,1,3,3,0,0,0,2,0,0,0,0.5,0.5
77,BernardPierce,JAX,RB,2015,10,BAL,1,3,3,0,0,0,2,0,0,0,0.5,0.5
77,SpencerWare,KC,RB,2015,10,DEN,1,4,4,0,0,0,1,0,0,0,0.5,0.5
83,JalstonFowler,TEN,RB,2015,10,CAR,0,2,0,0,0,0,2,0,0,0,0.4,0.4
83,TimHightower,NO,RB,2015,10,WAS,1,2,2,0,0,0,2,0,0,0,0.4,0.4
83,DarrelYoung,WAS,FB,2015,10,NO,1,2,2,0,0,0,2,0,0,0,0.4,0.4
83,DamienWilliams,MIA,RB,2015,10,PHI,0,2,0,0,0,0,2,0,0,0,0.4,0.4
83,MalcolmJohnsonIR,CLE,FB,2015,10,PIT,0,1,0,0,0,0,3,0,0,0,0.4,0.4
83,AnthonySherman,KC,FB,2015,10,DEN,0,1,0,0,0,0,3,0,0,0,0.4,0.4
83,JuwanThompson,DEN,RB,2015,10,KC,0,2,0,0,0,0,2,0,0,0,0.4,0.4
83,JayProsch,HOU,FB,2015,10,CIN,0,4,0,0,0,0,0,0,0,0,0.4,0.4
83,RexBurkheadIR,CIN,RB,2015,10,HOU,0,1,0,0,0,0,3,0,0,0,0.4,0.4
92,JeromeFelton,BUF,FB,2015,10,NYJ,0,2,0,0,0,0,1,0,0,0,0.3,0.3
92,StepfanTaylor,ARI,RB,2015,10,SEA,1,3,3,0,0,0,0,0,0,0,0.3,0.3
92,DerrickColeman,SEA,FB,2015,10,ARI,0,0,0,0,0,0,3,0,0,0,0.3,0.3
95,MichaelBurton,DET,FB,2015,10,GB,0,1,0,0,0,0,1,0,0,0,0.2,0.2
95,AlonzoHarris,GB,RB,2015,10,DET,0,2,0,0,0,0,0,0,0,0,0.2,0.2
95,TylerClutts,DAL,FB,2015,10,TB,0,1,0,0,0,0,1,0,0,0,0.2,0.2
95,ChaseReynolds,LAR,RB,2015,10,CHI,0,1,0,0,0,0,1,0,0,0,0.2,0.2
95,MarcusMurphyQ,NO,RB,2015,10,WAS,0,1,0,0,0,0,1,0,0,0,0.2,0.2
95,GlennWinston,CLE,RB,2015,10,PIT,1,2,2,0,0,0,0,0,0,0,0.2,0.2
95,NikitaWhitlock,NYG,RB,2015,10,NE,0,1,0,0,0,0,1,0,0,0,0.2,0.2
95,CedricPeerman,CIN,RB,2015,10,HOU,0,1,0,0,0,0,1,0,0,0,0.2,0.2
103,AaronRipkowski,GB,FB,2015,10,DET,0,0,0,0,0,0,1,0,0,0,0.1,0.1
103,MikeJames,TB,RB,2015,10,DAL,0,1,0,0,0,0,0,0,0,0,0.1,0.1
103,JorvorskieLane,TB,FB,2015,10,DAL,0,0,0,0,0,0,1,0,0,0,0.1,0.1
106,BilalPowell,NYJ,RB,2015,10,BUF,0,0,0,0,0,0,0,0,0,0,0,0
106,GeorgeWinn,DET,RB,2015,10,GB,0,0,0,0,0,0,0,0,0,0,0,0
106,TyMontgomery,GB,RB,2015,10,DET,0,0,0,0,0,0,0,0,0,0,0,0
106,EddieLacy,GB,RB,2015,10,DET,0,0,0,0,0,0,0,0,0,0,0,0
106,TreyWilliamsIR,DAL,RB,2015,10,TB,0,0,0,0,0,0,0,0,0,0,0,0
106,TerranceWest,TEN,RB,2015,10,CAR,0,0,0,0,0,0,0,0,0,0,0,0
106,CameronArtis-Payne,CAR,RB,2015,10,TEN,0,0,0,0,0,0,0,0,0,0,0,0
106,DavidCobb,TEN,RB,2015,10,CAR,0,0,0,0,0,0,0,0,0,0,0,0
106,MattForteIR,CHI,RB,2015,10,LAR,0,0,0,0,0,0,0,0,0,0,0,0
106,EdwinBaker,NO,RB,2015,10,WAS,0,0,0,0,0,0,0,0,0,0,0,0
106,KenjonBarner,PHI,RB,2015,10,MIA,0,0,0,0,0,0,0,0,0,0,0,0
106,LaMichaelJames,MIA,RB,2015,10,PHI,0,0,0,0,0,0,0,0,0,0,0,0
106,DemitriusBronson,MIA,RB,2015,10,PHI,0,0,0,0,0,0,0,0,0,0,0,0
106,FitzgeraldToussaint,PIT,RB,2015,10,CLE,0,0,0,0,0,0,0,0,0,0,0,0
106,IsaiahPead,PIT,RB,2015,10,CLE,0,0,0,0,0,0,0,0,0,0,0,0
106,TobyGerhart,JAX,RB,2015,10,BAL,0,0,0,0,0,0,0,0,0,0,0,0
106,JoeBanyard,JAX,RB,2015,10,BAL,0,0,0,0,0,0,0,0,0,0,0,0
106,TerrenceMagee,BAL,RB,2015,10,JAX,0,0,0,0,0,0,0,0,0,0,0,0
106,MarcusThigpen,OAK,RB,2015,10,MIN,0,0,0,0,0,0,0,0,0,0,0,0
106,RoyHelu,OAK,RB,2015,10,MIN,0,0,0,0,0,0,0,0,0,0,0,0
106,TravarisCadet,NE,RB,2015,10,NYG,0,0,0,0,0,0,0,0,0,0,0,0
106,JamesDevelin,NE,RB,2015,10,NYG,0,0,0,0,0,0,0,0,0,0,0,0
106,KnileDavis,KC,RB,2015,10,DEN,0,0,0,0,0,0,0,0,0,0,0,0
106,BryceBrown,SEA,RB,2015,10,ARI,0,0,0,0,0,0,0,0,0,0,0,0
106,WillTukuafu,SEA,FB,2015,10,ARI,0,0,0,0,0,0,0,0,0,0,0,0
