Rank,Name,Team,Position,Season,Week,Opponent,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowed,FantasyPointsPerGame,FantasyPoints
1,SeattleSeahawks,SEA,DST,2015,11,SF,0,3,0,1,1,0,0,0,15,8,8
1,DenverBroncos,DEN,DST,2015,11,CHI,0,3,0,1,1,0,0,0,18,8,8
1,NewEnglandPatriots,NE,DST,2015,11,BUF,0,3,0,1,1,0,0,0,20,8,8
4,LosAngelesRams,LAR,DST,2015,11,BAL,0,3,0,1,1,0,0,0,21,7,7
4,CarolinaPanthers,CAR,DST,2015,11,WAS,0,2,0,1,1,0,0,0,19,7,7
4,PhiladelphiaEagles,PHI,DST,2015,11,TB,0,2,0,1,1,0,0,0,20,7,7
7,MiamiDolphins,MIA,DST,2015,11,DAL,0,2,0,1,1,0,0,0,25,6,6
7,HoustonTexans,HOU,DST,2015,11,NYJ,0,2,0,1,1,0,0,0,24,6,6
7,JacksonvilleJaguars,JAX,DST,2015,11,TEN,0,2,0,1,1,0,0,0,22,6,6
7,TampaBayBuccaneers,TB,DST,2015,11,PHI,0,2,0,1,1,0,0,0,26,6,6
11,NewYorkJets,NYJ,DST,2015,11,HOU,0,2,0,1,0,0,0,0,18,5,5
11,GreenBayPackers,GB,DST,2015,11,MIN,0,3,0,1,0,0,0,0,21,5,5
11,KansasCityChiefs,KC,DST,2015,11,LAC,0,3,0,1,0,0,0,0,23,5,5
11,TennesseeTitans,TEN,DST,2015,11,JAX,0,3,0,1,0,0,0,0,21,5,5
11,MinnesotaVikings,MIN,DST,2015,11,GB,0,2,0,1,0,0,0,0,20,5,5
16,ArizonaCardinals,ARI,DST,2015,11,CIN,0,2,0,1,0,0,0,0,25,4,4
16,CincinnatiBengals,CIN,DST,2015,11,ARI,0,2,0,1,0,0,0,0,25,4,4
16,AtlantaFalcons,ATL,DST,2015,11,IND,0,2,0,1,0,0,0,0,22,4,4
16,OaklandRaiders,OAK,DST,2015,11,DET,0,2,0,1,0,0,0,0,21,4,4
16,DallasCowboys,DAL,DST,2015,11,MIA,0,2,0,1,0,0,0,0,23,4,4
16,ChicagoBears,CHI,DST,2015,11,DEN,0,2,0,1,0,0,0,0,26,4,4
16,BaltimoreRavens,BAL,DST,2015,11,LAR,0,2,0,1,0,0,0,0,23,4,4
16,WashingtonRedskins,WAS,DST,2015,11,CAR,0,2,0,1,0,0,0,0,26,4,4
16,IndianapolisColts,IND,DST,2015,11,ATL,0,2,0,1,0,0,0,0,26,4,4
16,SanFrancisco49ers,SF,DST,2015,11,SEA,0,2,0,1,0,0,0,0,24,4,4
26,BuffaloBills,BUF,DST,2015,11,NE,0,2,0,1,0,0,0,0,29,3,3
26,LosAngelesChargers,LAC,DST,2015,11,KC,0,2,0,1,0,0,0,0,28,3,3
26,DetroitLions,DET,DST,2015,11,OAK,0,2,0,1,0,0,0,0,29,3,3
