Rank,Name,Team,Position,Season,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGame,FantasyPoints
1,CamNewton,CAR,QB,2016,2,SF,19.2,31.7,59.4,243.5,7.6,1.8,0.6,91.15,8.1,41.6,5.2,0.6,23.1,23.1
2,DrewBrees,NO,QB,2016,2,NYG,28.9,41.7,69,332.4,7.9,2.3,0.7,98.51,2.1,5.5,3,0.1,21.6,21.65
3,CarsonPalmer,ARI,QB,2016,2,TB,23.4,34.9,65.7,290.8,8.3,2.3,0.6,98.63,2.2,7.3,3.5,0.2,21,20.96
4,EliManning,NYG,QB,2016,2,NO,24.2,36.6,64.9,289.9,7.8,2.2,0.7,95.55,2.3,7.3,3.5,0.1,19.9,19.93
5,AaronRodgersQ,GB,QB,2016,2,MIN,22.4,34.6,62.9,245.7,7,1.9,0.4,102.8,3.6,17.3,4.2,0.1,18.6,18.56
6,MatthewStafford,DET,QB,2016,2,TEN,24.3,36.9,64.9,268.9,7.3,1.9,0.7,93.19,2.5,10.2,5,0.1,18.4,18.38
7,BlakeBortles,JAX,QB,2016,2,LAC,21,34.4,61.8,250.5,7.4,2,1,91.54,3.3,16.8,5.7,0.1,17.9,17.9
8,DerekCarr,OAK,QB,2016,2,ATL,24.8,38.7,64.1,265.8,6.8,2.1,1.1,90.33,2.3,8.3,4,0.1,17.9,17.86
9,BenRoethlisberger,PIT,QB,2016,2,CIN,24.1,37.1,64.9,289.9,7.8,1.8,1,95.55,2,6.1,3,0.1,17.8,17.81
9,RussellWilson,SEA,QB,2016,2,LAR,22.1,32.4,68.8,221.1,6.9,1.6,0.8,95.96,6.7,35.7,5.1,0.2,17.8,17.81
11,PhilipRivers,LAC,QB,2016,2,JAX,26.7,39.7,67.5,272.5,6.8,2.1,0.8,92.92,1.8,3.6,2,0,17.7,17.66
12,MarcusMariotaP,TEN,QB,2016,2,DET,19.5,29.8,66.7,232.8,7.8,1.5,0.9,98.33,4.2,27.4,6.8,0.3,17.4,17.45
13,KirkCousins,WAS,QB,2016,2,DAL,24.5,35,68.6,264.7,7.6,1.7,0.9,97.92,2.2,9.2,4.5,0.2,17.3,17.31
14,MattRyan,ATL,QB,2016,2,OAK,26.3,39.2,66.7,292.7,7.5,1.8,1,95.35,2.2,3.6,2,0,16.9,16.87
15,AndrewLuckP,IND,QB,2016,2,DEN,21.5,39.1,56.4,244.7,6.3,1.9,1.2,81.68,4.4,19.9,5,0,16.4,16.38
16,RyanFitzpatrick,NYJ,QB,2016,2,BUF,19.9,35.5,55.6,228.5,6.3,1.5,1,81.71,3.7,18.9,4.8,0.2,16,16.03
17,AndyDalton,CIN,QB,2016,2,PIT,21,31.5,65.6,250.2,7.8,1.5,0.7,97.14,4,13.3,3.2,0.1,15.9,15.94
18,JoeFlacco,BAL,QB,2016,2,CLE,23.7,38.5,63.2,243.3,6.4,1.7,0.9,87.94,2.1,4.3,2,0.1,15.4,15.36
19,TyrodTaylorQ,BUF,QB,2016,2,NYJ,16.6,26.8,63,232.2,8.6,1.1,0.7,87.27,5.6,24.1,4,0.1,15.1,15.1
20,CarsonWentz,PHI,QB,2016,2,CHI,21.8,35.6,61.1,241.5,6.7,1.5,0.9,87.96,1.7,7.7,4,0.1,14.8,14.83
21,RyanTannehillP,MIA,QB,2016,2,NE,22,35.5,61.1,259,7.2,1.5,1.1,89.93,2.2,10.5,5,0,14.8,14.81
22,JayCutler,CHI,QB,2016,2,PHI,18.9,31.2,61.3,242,7.8,1.5,1.1,93.75,2.6,11,3.7,0.1,14.8,14.78
23,JameisWinston,TB,QB,2016,2,ARI,20.4,33.5,58.8,246.3,7.2,1.3,1.1,78.8,2.9,11,3.7,0.2,14.8,14.75
24,DakPrescott,DAL,QB,2016,2,WAS,20,31.1,64.5,224.2,7.2,1.2,0.9,83.27,3.1,14.3,4.7,0.1,13.4,13.4
25,JoshMcCown,CLE,QB,2016,2,BAL,18.9,33.2,57.6,206.5,6.2,1.2,0.8,73.55,2.5,13,6.5,0.1,13,12.96
26,JimmyGaroppoloIR,NE,QB,2016,2,MIA,23.3,36.8,62.2,223,6,1.3,0.8,76.75,1.9,4.5,2,0,12.6,12.57
27,AlexSmith,KC,QB,2016,2,HOU,19,29.8,63.3,201,6.7,0.9,1,80,4.1,20.3,5,0.1,11.9,11.87
28,TrevorSiemian,DEN,QB,2016,2,IND,16.6,27,63,212.6,7.9,1.1,1,84.34,2.8,11.5,4,0,11.6,11.65
29,SamBradfordQ,MIN,QB,2016,2,GB,17.2,28.8,58.6,222.3,7.7,1.2,1.1,79.96,2,3.2,1.5,0,11.6,11.61
30,BrockOsweiler,HOU,QB,2016,2,KC,20.8,35.6,58.3,221.4,6.1,1.1,1.2,73.96,2.7,9,3,0,11.6,11.56
31,BlaineGabbertQ,SF,QB,2016,2,CAR,19.4,32.4,59.4,188,5.9,0.8,1.1,73.44,4,19.6,5,0.1,10.7,10.68
32,CaseKeenum,LAR,QB,2016,2,SEA,14.6,25.4,60,188.5,7.5,1,1.2,80.08,1.7,3.5,2,0,9.1,9.09
33,PaxtonLynch,DEN,QB,2016,2,IND,1.6,2.7,66.7,25,8.3,0.2,0.1,92.36,0.3,1.2,0,0,1.7,1.72
34,CodyKessler,CLE,QB,2016,2,BAL,3.2,0.1,0,37.7,0,0.1,0.2,0,0.7,1.7,2,0,1.7,1.68
35,ColinKaepernick,SF,QB,2016,2,CAR,0.6,0.7,100,13.8,14,0.1,0.1,118.75,0.4,2.1,0,0,1,0.96
36,JaredGoff,LAR,QB,2016,2,SEA,1.4,2.5,50,13.5,7,0.1,0.1,72.92,0.2,0.9,0,0,0.8,0.83
36,BrianHoyer,CHI,QB,2016,2,PHI,0.7,0.6,100,14.2,14,0.1,0.1,118.75,0.1,0.6,0,0,0.8,0.83
38,GenoSmith,NYJ,QB,2016,2,BUF,0.9,0.7,100,13,13,0.1,0.1,118.75,0.1,0.8,0,0,0.8,0.8
39,MikeGlennon,TB,QB,2016,2,ARI,0.4,0.5,0,13.3,0,0.1,0.1,0,0.1,0.5,0,0,0.8,0.78
39,ChadHenne,JAX,QB,2016,2,LAC,0.2,0.3,0,13.1,0,0.1,0.1,0,0.1,0.6,0,0,0.8,0.78
