Rank,Name,Team,Position,Season,Week,Opponent,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowed,FantasyPointsPerGame,FantasyPoints
1,MiamiDolphins,MIA,DST,2013,8,NE,4,1,6,0,0,0,0,0,22,0,0
1,NewYorkJets,NYJ,DST,2013,8,CIN,5,3,5,0,0,0,0,0,23,0,0
1,WashingtonRedskins,WAS,DST,2013,8,DEN,4,1,6,0,0,0,0,0,28,0,0
1,ClevelandBrowns,CLE,DST,2013,8,KC,3,2,5,0,0,0,0,0,22,0,0
1,PittsburghSteelers,PIT,DST,2013,8,OAK,3,2,4,0,0,0,0,0,19,0,0
1,NewYorkGiants,NYG,DST,2013,8,PHI,4,1,5,1,0,0,0,0,27,0,0
1,DallasCowboys,DAL,DST,2013,8,DET,4,1,3,0,0,0,0,0,22,0,0
1,GreenBayPackers,GB,DST,2013,8,MIN,5,2,4,0,0,0,0,0,22,0,0
1,CarolinaPanthers,CAR,DST,2013,8,TB,5,2,4,1,0,0,0,0,15,0,0
1,BuffaloBills,BUF,DST,2013,8,NO,5,1,6,0,0,0,0,0,23,0,0
1,AtlantaFalcons,ATL,DST,2013,8,ARI,3,2,3,0,0,0,0,0,26,0,0
1,SeattleSeahawks,SEA,DST,2013,8,LAR,4,2,6,1,0,0,0,0,18,0,0
1,SanFrancisco49ers,SF,DST,2013,8,JAX,4,3,6,1,1,0,0,0,21,0,0
1,NewEnglandPatriots,NE,DST,2013,8,MIA,3,3,5,1,0,0,0,0,19,0,0
1,CincinnatiBengals,CIN,DST,2013,8,NYJ,4,3,6,1,0,0,0,0,19,0,0
1,DenverBroncos,DEN,DST,2013,8,WAS,6,2,6,0,0,0,0,0,29,0,0
1,KansasCityChiefs,KC,DST,2013,8,CLE,5,3,5,1,1,0,0,0,14,0,0
1,OaklandRaiders,OAK,DST,2013,8,PIT,5,2,5,0,0,0,0,0,21,0,0
1,PhiladelphiaEagles,PHI,DST,2013,8,NYG,3,3,3,1,0,0,0,0,29,0,0
1,DetroitLions,DET,DST,2013,8,DAL,4,1,5,1,0,0,0,0,24,0,0
1,MinnesotaVikings,MIN,DST,2013,8,GB,5,1,5,0,0,0,0,0,29,0,0
1,TampaBayBuccaneers,TB,DST,2013,8,CAR,4,2,5,1,0,0,0,0,22,0,0
1,NewOrleansSaints,NO,DST,2013,8,BUF,4,3,6,1,0,0,0,0,22,0,0
1,ArizonaCardinals,ARI,DST,2013,8,ATL,5,1,6,0,0,0,0,0,23,0,0
1,LosAngelesRams,LAR,DST,2013,8,SEA,5,1,4,0,0,0,0,0,25,0,0
1,JacksonvilleJaguars,JAX,DST,2013,8,SF,3,1,4,0,0,0,0,0,32,0,0
