Rank,Name,Team,Position,Season,Week,Opponent,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowed,FantasyPointsPerGame,FantasyPoints
1,DenverBroncos,DEN,DST,2015,5,OAK,0,4,0,1,1,0,0,0,18,9,9
1,KansasCityChiefs,KC,DST,2015,5,CHI,0,4,0,1,1,0,0,0,20,9,9
3,ArizonaCardinals,ARI,DST,2015,5,DET,0,3,0,1,1,0,0,0,19,8,8
3,GreenBayPackers,GB,DST,2015,5,LAR,0,3,0,1,1,0,0,0,20,8,8
3,CincinnatiBengals,CIN,DST,2015,5,SEA,0,3,0,1,1,0,0,0,20,8,8
3,BaltimoreRavens,BAL,DST,2015,5,CLE,0,3,0,1,1,0,0,0,20,8,8
7,BuffaloBills,BUF,DST,2015,5,TEN,0,3,0,1,1,0,0,0,21,7,7
7,NewEnglandPatriots,NE,DST,2015,5,DAL,0,3,0,1,1,0,0,0,21,7,7
7,NewYorkGiants,NYG,DST,2015,5,SF,0,2,0,1,1,0,0,0,19,7,7
7,JacksonvilleJaguars,JAX,DST,2015,5,TB,0,2,0,1,1,0,0,0,20,7,7
7,TampaBayBuccaneers,TB,DST,2015,5,JAX,0,2,0,1,1,0,0,0,20,7,7
12,SeattleSeahawks,SEA,DST,2015,5,CIN,0,2,0,1,1,0,0,0,22,6,6
12,AtlantaFalcons,ATL,DST,2015,5,WAS,0,2,0,1,1,0,0,0,21,6,6
12,PhiladelphiaEagles,PHI,DST,2015,5,NO,0,2,0,1,1,0,0,0,24,6,6
12,NewOrleansSaints,NO,DST,2015,5,PHI,0,2,0,1,1,0,0,0,26,6,6
16,IndianapolisColts,IND,DST,2015,5,HOU,0,2,0,1,0,0,0,0,20,5,5
16,PittsburghSteelers,PIT,DST,2015,5,LAC,0,3,0,1,0,0,0,0,25,5,5
18,HoustonTexans,HOU,DST,2015,5,IND,0,2,0,1,0,0,0,0,21,4,4
18,ClevelandBrowns,CLE,DST,2015,5,BAL,0,2,0,1,0,0,0,0,24,4,4
18,LosAngelesChargers,LAC,DST,2015,5,PIT,0,2,0,1,0,0,0,0,24,4,4
18,LosAngelesRams,LAR,DST,2015,5,GB,0,2,0,1,0,0,0,0,27,4,4
18,DetroitLions,DET,DST,2015,5,ARI,0,2,0,1,0,0,0,0,26,4,4
18,ChicagoBears,CHI,DST,2015,5,KC,0,2,0,1,0,0,0,0,27,4,4
18,SanFrancisco49ers,SF,DST,2015,5,NYG,0,2,0,1,0,0,0,0,26,4,4
18,TennesseeTitans,TEN,DST,2015,5,BUF,0,2,0,1,0,0,0,0,23,4,4
26,OaklandRaiders,OAK,DST,2015,5,DEN,0,2,0,1,0,0,0,0,28,3,3
26,DallasCowboys,DAL,DST,2015,5,NE,0,2,0,1,0,0,0,0,30,3,3
26,WashingtonRedskins,WAS,DST,2015,5,ATL,0,2,0,1,0,0,0,0,28,3,3
