Rank,Name,Team,Position,Season,Week,Opponent,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowed,FantasyPointsPerGame,FantasyPoints
1,PittsburghSteelers,PIT,DST,2017,3,CHI,0,2.7,0,1.1,0.7,0.1,0,0,17,8.7,8.7
2,IndianapolisColts,IND,DST,2017,3,CLE,0,2.9,0,1.1,0.6,0,0,0,19.7,8.5,8.5
2,NewEnglandPatriots,NE,DST,2017,3,HOU,0,2.9,0,1.1,0.6,0,0,0,15.9,8.5,8.5
2,DallasCowboys,DAL,DST,2017,3,ARI,0,2.3,0,1.1,0.8,0.1,0,0,20,8.5,8.5
5,JacksonvilleJaguars,JAX,DST,2017,3,BAL,0,2.4,0,1.2,0.7,0,0,0,20,8.4,8.4
5,TampaBayBuccaneers,TB,DST,2017,3,MIN,0,2.6,0,1.1,0.7,0,0,0,19.6,8.4,8.4
7,BaltimoreRavens,BAL,DST,2017,3,JAX,0,2.5,0,1,0.8,0,0,0,16,8.3,8.3
7,MiamiDolphins,MIA,DST,2017,3,NYJ,0,2.7,0,1,0.7,0,0,0,18.1,8.3,8.3
9,PhiladelphiaEagles,PHI,DST,2017,3,NYG,0,2.5,0,1.1,0.6,0,0,0,16.1,8.1,8.1
10,LosAngelesRams,LAR,DST,2017,3,SF,0,2.6,0,0.8,0.7,0,0,0,17.9,7.8,7.8
10,DenverBroncos,DEN,DST,2017,3,BUF,0,2.8,0,0.8,0.6,0,0,0,19.8,7.8,7.8
10,GreenBayPackers,GB,DST,2017,3,CIN,0,2.4,0,1,0.6,0,0,0,19,7.8,7.8
13,BuffaloBills,BUF,DST,2017,3,DEN,0,2.5,0,0.9,0.6,0,0,0,20,7.7,7.7
13,MinnesotaVikings,MIN,DST,2017,3,TB,0,2.5,0,0.9,0.6,0,0,0,19.9,7.7,7.7
15,SanFrancisco49ers,SF,DST,2017,3,LAR,0,2.2,0,0.8,0.7,0.1,0,0,20.7,7.6,7.6
16,NewYorkGiants,NYG,DST,2017,3,PHI,0,2.1,0,0.9,0.7,0,0,0,20.8,7.5,7.5
17,ClevelandBrowns,CLE,DST,2017,3,IND,0,2.6,0,1.1,0.6,0,0,0,21.3,7.2,7.2
17,KansasCityChiefs,KC,DST,2017,3,LAC,0,2.4,0,1.1,0.7,0,0,0,21.8,7.2,7.2
19,CarolinaPanthers,CAR,DST,2017,3,NO,0,2.4,0,1,0.6,0.1,0,0,21.7,7,7
20,OaklandRaiders,OAK,DST,2017,3,WAS,0,1.8,0,0.9,0.8,0,0,0,24.8,6.4,6.4
21,AtlantaFalcons,ATL,DST,2017,3,DET,0,2.2,0,0.8,0.6,0,0,0,23.8,6.2,6.2
22,SeattleSeahawks,SEA,DST,2017,3,TEN,0,2.1,0,0.8,0.6,0,0,0,21.7,6.1,6.1
23,NewOrleansSaints,NO,DST,2017,3,CAR,0,2.2,0,0.7,0.6,0,0,0,27,6,6
24,TennesseeTitans,TEN,DST,2017,3,SEA,0,2.7,0,0.7,0.6,0,0,0,21,5.9,5.9
25,NewYorkJets,NYJ,DST,2017,3,MIA,0,2,0,0.7,0.6,0,0,0,23.9,5.8,5.8
26,CincinnatiBengals,CIN,DST,2017,3,GB,0,2.3,0,0.6,0.5,0,0,0,25.7,5.7,5.7
27,ChicagoBears,CHI,DST,2017,3,PIT,0,1.8,0,0.8,0.5,0,0,0,26.1,5.6,5.6
27,WashingtonRedskins,WAS,DST,2017,3,OAK,0,1.8,0,0.6,0.7,0,0,0,27.8,5.6,5.6
29,LosAngelesChargers,LAC,DST,2017,3,KC,0,2.4,0,0.6,0.6,0,0,0,25.1,5.4,5.4
30,ArizonaCardinals,ARI,DST,2017,3,DAL,0,1.9,0,0.7,0.6,0,0,0,22,5.1,5.1
31,HoustonTexans,HOU,DST,2017,3,NE,0,2.1,0,0.5,0.5,0.1,0,0,27.9,4.9,4.9
32,DetroitLions,DET,DST,2017,3,ATL,0,1.9,0,0.6,0.5,0,0,0,28.8,3.7,3.7
