Rank,Name,Team,Position,Season,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,AdrianPetersonQ,MIN,RB,2015,4,DEN,19,83,4.4,1,3,2,13,0,0,0,15.6,15.6
2,EddieLacy,GB,RB,2015,4,SF,17,76,4.5,1,3,2,18,0,0,0,15.4,15.4
3,JosephRandle,DAL,RB,2015,4,NO,16,76,4.8,1,1,1,10,0,0,0,14.6,14.6
4,FrankGore,IND,RB,2015,4,JAX,16,63,3.9,1,3,2,13,0,0,0,13.6,13.6
5,JeremyHillIR,CIN,RB,2015,4,KC,14,62,4.4,1,1,1,8,0,0,0,13,13
6,MattForteIR,CHI,RB,2015,4,OAK,18,73,4.1,0,6,4,34,0,0,0,10.7,10.7
7,Le'VeonBellO,PIT,RB,2015,4,BAL,18,69,3.8,0,6,4,35,0,0,0,10.4,10.4
7,JamaalCharles,KC,RB,2015,4,CIN,16,70,4.4,0,6,4,34,0,0,0,10.4,10.4
9,LataviusMurray,OAK,RB,2015,4,CHI,17,82,4.8,0,3,2,17,0,0,0,9.9,9.9
10,MelvinGordon,LAC,RB,2015,4,CLE,17,75,4.4,0,1,1,10,0,0,0,8.5,8.5
11,KarlosWilliams,BUF,RB,2015,4,NYG,16,71,4.4,0,3,2,13,0,0,0,8.4,8.4
12,MarkIngramSUS,NO,RB,2015,4,DAL,14,65,4.6,0,3,2,18,0,0,0,8.3,8.3
13,DevontaFreemanO,ATL,RB,2015,4,HOU,17,57,3.4,0,4,3,25,0,0,0,8.2,8.2
14,CarlosHyde,SF,RB,2015,4,GB,16,63,3.9,0,3,2,13,0,0,0,7.6,7.6
15,LamarMiller,MIA,RB,2015,4,NYJ,13,54,4.2,0,4,3,20,0,0,0,7.4,7.4
15,ArianFoster,HOU,RB,2015,4,ATL,12,56,4.7,0,3,2,18,0,0,0,7.4,7.4
17,JustinForsett,BAL,RB,2015,4,PIT,14,51,3.6,0,5,4,22,0,0,0,7.3,7.3
17,TJYeldonP,JAX,RB,2015,4,IND,14,56,4,0,4,3,17,0,0,0,7.3,7.3
17,JonathanStewartIR,CAR,RB,2015,4,TB,14,59,4.2,0,3,2,14,0,0,0,7.3,7.3
20,GiovaniBernardP,CIN,RB,2015,4,KC,10,44,4.4,0,5,4,28,0,0,0,7.2,7.2
