Rank,Name,Team,Position,Season,Week,Opponent,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FieldGoalsLongestMade,ExtraPointsMade,ExtraPointsAttempted,FantasyPointsPerGame,FantasyPoints
1,MasonCrosby,GB,K,2014,5,MIN,2,2,100,0,3,3,9,9
1,JoshBrown,NYG,K,2014,5,ATL,2,2,100,0,3,3,9,9
1,AdamVinatieri,IND,K,2014,5,BAL,2,2,100,0,3,3,9,9
1,DanBailey,DAL,K,2014,5,HOU,2,2,100,0,3,3,9,9
1,CodyParkey,PHI,K,2014,5,LAR,2,2,100,0,3,3,9,9
1,ShayneGraham,NO,K,2014,5,TB,2,2,100,0,3,3,9,9
1,AlexHenery,DET,K,2014,5,BUF,2,2,100,0,3,3,9,9
1,ShaunSuisham,PIT,K,2014,5,JAX,2,2,100,0,3,3,9,9
1,NickNovak,LAC,K,2014,5,NYJ,2,2,100,0,3,3,9,9
1,StevenHauschka,SEA,K,2014,5,WAS,2,2,100,0,3,3,9,9
11,BlairWalsh,MIN,K,2014,5,GB,2,2,100,0,2,2,8,8
11,MattBryant,ATL,K,2014,5,NYG,2,2,100,0,2,2,8,8
11,JustinTucker,BAL,K,2014,5,IND,2,2,100,0,2,2,8,8
11,RandyBullock,HOU,K,2014,5,DAL,2,2,100,0,2,2,8,8
11,GregZuerlein,LAR,K,2014,5,PHI,2,2,100,0,2,2,8,8
11,BillyCundiff,CLE,K,2014,5,TEN,2,2,100,0,2,2,8,8
11,PatrickMurray,TB,K,2014,5,NO,2,2,100,0,2,2,8,8
11,DanCarpenter,BUF,K,2014,5,DET,2,2,100,0,2,2,8,8
11,GrahamGano,CAR,K,2014,5,CHI,2,2,100,0,2,2,8,8
11,RobbieGould,CHI,K,2014,5,CAR,2,2,100,0,2,2,8,8
11,ChandlerCatanzaro,ARI,K,2014,5,DEN,2,2,100,0,2,2,8,8
11,CairoSantos,KC,K,2014,5,SF,2,2,100,0,2,2,8,8
11,PhilDawson,SF,K,2014,5,KC,2,2,100,0,2,2,8,8
11,NickFolk,NYJ,K,2014,5,LAC,2,2,100,0,2,2,8,8
11,MikeNugentIR,CIN,K,2014,5,NE,2,2,100,0,2,2,8,8
11,StephenGostkowski,NE,K,2014,5,CIN,2,2,100,0,2,2,8,8
27,KaiForbath,WAS,K,2014,5,SEA,2,2,100,0,1,1,7,7
28,BrandonMcManus,DEN,K,2014,5,ARI,1,1,100,0,3,3,6,6
29,RyanSuccopP,TEN,K,2014,5,CLE,1,1,100,0,2,2,5,5
29,JoshScobee,JAX,K,2014,5,PIT,1,1,100,0,2,2,5,5
