Rank,Name,Team,Position,Season,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,ToddGurley,LAR,RB,2015,12,CIN,19,83,4.4,1,4,3,20,0,0,0,16.3,16.3
2,AdrianPetersonQ,MIN,RB,2015,12,ATL,21,88,4.2,1,3,2,14,0,0,0,16.2,16.2
3,DeMarcoMurray,PHI,RB,2015,12,DET,18,73,4.1,1,5,4,28,0,0,0,16.1,16.1
4,DarrenMcFadden,DAL,RB,2015,12,CAR,18,74,4.1,1,6,4,26,0,0,0,16,16
5,DougMartin,TB,RB,2015,12,IND,18,77,4.3,1,4,3,22,0,0,0,15.9,15.9
6,ThomasRawls,SEA,RB,2015,12,PIT,18,79,4.4,1,3,2,15,0,0,0,15.4,15.4
7,TJYeldonP,JAX,RB,2015,12,LAC,16,71,4.4,1,4,3,22,0,0,0,15.3,15.3
8,LeSeanMcCoyQ,BUF,RB,2015,12,KC,16,70,4.4,1,4,3,22,0,0,0,15.2,15.2
9,DeAngeloWilliams,PIT,RB,2015,12,SEA,18,72,4,1,3,2,17,0,0,0,14.9,14.9
10,JonathanStewartIR,CAR,RB,2015,12,DAL,18,79,4.4,1,1,1,8,0,0,0,14.7,14.7
10,MarkIngramSUS,NO,RB,2015,12,HOU,15,64,4.3,1,4,3,23,0,0,0,14.7,14.7
12,LataviusMurray,OAK,RB,2015,12,TEN,15,71,4.7,1,3,2,15,0,0,0,14.6,14.6
13,ChrisJohnson,ARI,RB,2015,12,SF,17,81,4.8,1,1,1,4,0,0,0,14.5,14.5
14,ChrisIvory,NYJ,RB,2015,12,MIA,16,75,4.7,1,1,1,9,0,0,0,14.4,14.4
15,FrankGore,IND,RB,2015,12,TB,16,61,3.8,1,4,3,20,0,0,0,14.1,14.1
16,EddieLacy,GB,RB,2015,12,CHI,14,69,4.9,1,1,1,10,0,0,0,13.9,13.9
17,TevinColeman,ATL,RB,2015,12,MIN,16,61,3.8,1,3,2,16,0,0,0,13.7,13.7
18,RonnieHillman,DEN,RB,2015,12,NE,14,63,4.5,1,3,2,12,0,0,0,13.5,13.5
18,LeGarretteBlount,NE,RB,2015,12,DEN,16,67,4.2,1,1,1,8,0,0,0,13.5,13.5
20,SpencerWare,KC,RB,2015,12,BUF,12,54,4.5,1,3,2,14,0,0,0,12.8,12.8
21,JeremyHillIR,CIN,RB,2015,12,LAR,12,48,4,1,1,1,8,0,0,0,11.6,11.6
22,MattForteIR,CHI,RB,2015,12,GB,14,64,4.6,0,6,4,27,0,0,0,9.1,9.1
23,JavoriusAllen,BAL,RB,2015,12,CLE,16,64,4,0,4,3,23,0,0,0,8.7,8.7
24,LamarMiller,MIA,RB,2015,12,NYJ,13,57,4.4,0,4,3,25,0,0,0,8.2,8.2
25,AlfredBlue,HOU,RB,2015,12,NO,14,64,4.6,0,3,2,15,0,0,0,7.9,7.9
26,GiovaniBernardP,CIN,RB,2015,12,LAR,10,43,4.3,0,5,4,31,0,0,0,7.4,7.4
27,AntonioAndrews,TEN,RB,2015,12,OAK,14,56,4,0,3,2,15,0,0,0,7.1,7.1
28,ShaunDraughn,SF,RB,2015,12,ARI,13,48,3.7,0,4,3,20,0,0,0,6.8,6.8
29,DannyWoodheadIR,LAC,RB,2015,12,JAX,6,24,4,0,6,4,40,0,0,0,6.4,6.4
30,RashadJennings,NYG,RB,2015,12,WAS,10,44,4.4,0,3,2,14,0,0,0,5.8,5.8
31,CharlesSims,TB,RB,2015,12,IND,7,32,4.6,0,3,2,25,0,0,0,5.7,5.7
32,MelvinGordon,LAC,RB,2015,12,JAX,14,41,2.9,0,3,2,14,0,0,0,5.5,5.5
33,JamesStarks,GB,RB,2015,12,CHI,9,36,4,0,3,2,18,0,0,0,5.4,5.4
33,MattJones,WAS,RB,2015,12,NYG,9,38,4.2,0,3,2,16,0,0,0,5.4,5.4
35,CJAnderson,DEN,RB,2015,12,NE,8,36,4.5,0,3,2,16,0,0,0,5.2,5.2
36,DukeJohnson,CLE,RB,2015,12,BAL,7,17,2.4,0,5,4,33,0,0,0,5,5
37,TheoRiddick,DET,RB,2015,12,PHI,4,13,3.2,0,6,4,35,0,0,0,4.8,4.8
37,JeremyLangford,CHI,RB,2015,12,GB,9,30,3.3,0,3,2,18,0,0,0,4.8,4.8
39,AhmadBradshaw,IND,RB,2015,12,TB,6,28,4.7,0,3,2,19,0,0,0,4.7,4.7
39,AlfredMorrisQ,WAS,RB,2015,12,NYG,9,41,4.6,0,1,1,6,0,0,0,4.7,4.7
41,AmeerAbdullah,DET,RB,2015,12,PHI,9,37,4.1,0,1,1,9,0,0,0,4.6,4.6
41,DarrenSprolesO,PHI,RB,2015,12,DET,5,19,3.8,0,4,3,27,0,0,0,4.6,4.6
43,IsaiahCrowell,CLE,RB,2015,12,BAL,11,36,3.3,0,1,1,9,0,0,0,4.5,4.5
44,ShaneVereenIR,NYG,RB,2015,12,WAS,4,15,3.8,0,4,3,29,0,0,0,4.4,4.4
44,AndreEllington,ARI,RB,2015,12,SF,5,27,5.4,0,3,2,17,0,0,0,4.4,4.4
46,JonathanGrimes,HOU,RB,2015,12,NO,5,29,5.8,0,3,2,14,0,0,0,4.3,4.3
47,ChrisThompson,WAS,RB,2015,12,NYG,3,15,5,0,4,3,26,0,0,0,4.1,4.1
47,BilalPowell,NYJ,RB,2015,12,MIA,5,19,3.8,0,4,3,22,0,0,0,4.1,4.1
49,KarlosWilliams,BUF,RB,2015,12,KC,6,29,4.8,0,1,1,9,0,0,0,3.8,3.8
50,JamesWhite,NE,RB,2015,12,DEN,4,13,3.2,0,4,3,22,0,0,0,3.5,3.5
51,JoiqueBell,DET,RB,2015,12,PHI,7,25,3.6,0,1,1,9,0,0,0,3.4,3.4
52,CJSpiller,NO,RB,2015,12,HOU,4,17,4.2,0,3,2,16,0,0,0,3.3,3.3
53,JayAjayiP,MIA,RB,2015,12,NYJ,6,24,4,0,1,1,7,0,0,0,3.1,3.1
54,DavidCobb,TEN,RB,2015,12,OAK,5,21,4.2,0,1,1,9,0,0,0,3,3
55,TerronWard,ATL,RB,2015,12,MIN,4,17,4.2,0,3,2,11,0,0,0,2.8,2.8
56,ChrisPolk,HOU,RB,2015,12,NO,5,20,4,0,1,1,7,0,0,0,2.7,2.7
57,DavidJohnson,ARI,RB,2015,12,SF,2,9,4.5,0,3,2,17,0,0,0,2.6,2.6
57,FredJackson,SEA,RB,2015,12,PIT,3,13,4.3,0,3,2,13,0,0,0,2.6,2.6
59,KnileDavis,KC,RB,2015,12,BUF,5,18,3.6,0,1,1,6,0,0,0,2.4,2.4
60,RobertTurbinSUS,DAL,RB,2015,12,CAR,5,17,3.4,0,1,1,6,0,0,0,2.3,2.3
61,DenardRobinson,JAX,RB,2015,12,LAC,4,18,4.5,0,0,0,3,0,0,0,2.1,2.1
62,MikeTolbert,CAR,FB,2015,12,DAL,3,12,4,0,1,1,8,0,0,0,2,2
62,OrleansDarkwa,NYG,RB,2015,12,WAS,4,17,4.2,0,0,0,3,0,0,0,2,2
62,RaheemMostert,BAL,RB,2015,12,CLE,4,16,4,0,1,1,4,0,0,0,2,2
65,MarcelReece,OAK,FB,2015,12,TEN,1,5,5,0,3,2,13,0,0,0,1.8,1.8
65,TreMason,LAR,RB,2015,12,CIN,3,14,4.7,0,1,1,4,0,0,0,1.8,1.8
65,TerranceWest,BAL,RB,2015,12,CLE,4,16,4,0,0,0,2,0,0,0,1.8,1.8
68,KenjonBarner,PHI,RB,2015,12,DET,3,12,4,0,1,1,5,0,0,0,1.7,1.7
68,RoyHelu,OAK,RB,2015,12,TEN,2,8,4,0,1,1,9,0,0,0,1.7,1.7
68,KyleJuszczyk,BAL,FB,2015,12,CLE,0,1,0,0,3,2,16,0,0,0,1.7,1.7
71,JamizeOlawale,OAK,FB,2015,12,TEN,2,8,4,0,1,1,7,0,0,0,1.5,1.5
71,AndreWilliams,NYG,RB,2015,12,WAS,5,13,2.6,0,0,0,2,0,0,0,1.5,1.5
71,BenjaminCunningham,LAR,RB,2015,12,CIN,1,5,5,0,1,1,10,0,0,0,1.5,1.5
