Rank,Name,Team,Position,Season,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,DeMarcoMurray,DAL,RB,2014,5,HOU,22,115,5.2,1,3,2,22,0,0,0,19.7,19.7
2,MarshawnLynchP,SEA,RB,2014,5,WAS,21,109,5.2,1,3,2,14,0,0,0,18.3,18.3
3,Le'VeonBellO,PIT,RB,2014,5,JAX,19,92,4.8,1,6,4,27,0,0,0,17.9,17.9
4,RashadJennings,NYG,RB,2014,5,ATL,19,86,4.5,1,5,4,16,0,0,0,16.2,16.2
5,JamaalCharles,KC,RB,2014,5,SF,17,72,4.2,1,7,5,29,0,0,0,16.1,16.1
6,GiovaniBernardP,CIN,RB,2014,5,NE,17,65,3.8,1,7,5,34,0,0,0,15.9,15.9
7,LeSeanMcCoyQ,PHI,RB,2014,5,LAR,17,74,4.4,1,5,4,23,0,0,0,15.7,15.7
8,ZacStacy,LAR,RB,2014,5,PHI,17,81,4.8,1,3,2,15,0,0,0,15.6,15.6
9,FrankGore,SF,RB,2014,5,KC,17,78,4.6,1,3,2,11,0,0,0,14.9,14.9
10,MattForteIR,CHI,RB,2014,5,CAR,18,93,5.2,0,9,6,55,0,0,0,14.8,14.8
11,EddieLacy,GB,RB,2014,5,MIN,18,70,3.9,1,3,2,13,0,0,0,14.3,14.3
12,ChrisIvory,NYJ,RB,2014,5,LAC,16,64,4,1,3,2,16,0,0,0,14,14
13,ArianFoster,HOU,RB,2014,5,DAL,10,38,3.8,1,7,5,38,0,0,0,13.6,13.6
14,BishopSankey,TEN,RB,2014,5,CLE,14,61,4.4,1,3,2,13,0,0,0,13.4,13.4
15,MattAsiata,MIN,RB,2014,5,GB,15,52,3.5,1,6,4,20,0,0,0,13.2,13.2
16,MonteeBall,DEN,RB,2014,5,ARI,16,55,3.4,1,3,2,11,0,0,0,12.6,12.6
17,DougMartin,TB,RB,2014,5,NO,13,48,3.7,1,4,3,14,0,0,0,12.2,12.2
18,ReggieBush,DET,RB,2014,5,BUF,18,85,4.7,0,7,5,33,0,0,0,11.8,11.8
19,LorenzoTaliaferro,BAL,RB,2014,5,IND,12,49,4.1,1,1,1,4,0,0,0,11.3,11.3
20,AndreEllington,ARI,RB,2014,5,DEN,17,78,4.6,0,7,5,33,0,0,0,11.1,11.1
21,IsaiahCrowell,CLE,RB,2014,5,TEN,11,45,4.1,1,1,1,5,0,0,0,11,11
22,KhiryRobinson,NO,RB,2014,5,TB,16,75,4.7,0,3,2,7,0,0,0,8.2,8.2
22,CJSpiller,BUF,RB,2014,5,DET,14,57,4.1,0,4,3,25,0,0,0,8.2,8.2
24,AhmadBradshaw,IND,RB,2014,5,BAL,12,51,4.2,0,6,4,28,0,0,0,7.9,7.9
25,JustinForsett,BAL,RB,2014,5,IND,13,53,4.1,0,5,4,25,0,0,0,7.8,7.8
26,ShaneVereenIR,NE,RB,2014,5,CIN,8,35,4.4,0,7,5,38,0,0,0,7.3,7.3
27,BenTate,CLE,RB,2014,5,TEN,13,63,4.8,0,3,2,8,0,0,0,7.1,7.1
28,AlfredMorrisQ,WAS,RB,2014,5,SEA,16,60,3.8,0,3,2,10,0,0,0,7,7
29,JerickMcKinnonIR,MIN,RB,2014,5,GB,11,53,4.8,0,4,3,16,0,0,0,6.9,6.9
29,DonaldBrown,LAC,RB,2014,5,NYJ,16,47,2.9,0,4,3,22,0,0,0,6.9,6.9
31,DarrinReaves,CAR,RB,2014,5,CHI,13,51,3.9,0,4,3,15,0,0,0,6.6,6.6
32,ChrisJohnson,NYJ,RB,2014,5,LAC,10,42,4.2,0,4,3,22,0,0,0,6.4,6.4
33,StevenJackson,ATL,RB,2014,5,NYG,13,50,3.8,0,3,2,13,0,0,0,6.3,6.3
33,TrentRichardson,IND,RB,2014,5,BAL,11,40,3.6,0,4,3,23,0,0,0,6.3,6.3
33,FredJackson,BUF,RB,2014,5,DET,7,25,3.6,0,7,5,38,0,0,0,6.3,6.3
36,DarrenSprolesO,PHI,RB,2014,5,LAR,5,27,5.4,0,6,4,35,0,0,0,6.2,6.2
37,TravarisCadet,NO,RB,2014,5,TB,2,8,4,0,7,5,46,0,0,0,5.4,5.4
38,StevanRidley,NE,RB,2014,5,CIN,15,51,3.4,0,1,1,2,0,0,0,5.3,5.3
39,PierreThomas,NO,RB,2014,5,TB,7,27,3.9,0,6,4,25,0,0,0,5.2,5.2
40,TobyGerhart,JAX,RB,2014,5,PIT,12,39,3.2,0,3,2,11,0,0,0,5,5
41,DenardRobinson,JAX,RB,2014,5,PIT,9,36,4,0,4,3,13,0,0,0,4.9,4.9
41,LeGarretteBlount,PIT,RB,2014,5,JAX,9,46,5.1,0,1,1,3,0,0,0,4.9,4.9
41,KnileDavis,KC,RB,2014,5,SF,7,31,4.4,0,4,3,18,0,0,0,4.9,4.9
44,AlfredBlue,HOU,RB,2014,5,DAL,9,39,4.3,0,3,2,8,0,0,0,4.7,4.7
45,RobertTurbinSUS,SEA,RB,2014,5,WAS,7,29,4.1,0,3,2,17,0,0,0,4.6,4.6
46,JeremyHillIR,CIN,RB,2014,5,NE,8,37,4.6,0,1,1,5,0,0,0,4.2,4.2
47,TerranceWest,CLE,RB,2014,5,TEN,6,26,4.3,0,4,3,15,0,0,0,4.1,4.1
48,RoyHelu,WAS,RB,2014,5,SEA,4,13,3.2,0,6,4,27,0,0,0,4,4
49,AndreWilliams,NYG,RB,2014,5,ATL,8,35,4.4,0,1,1,4,0,0,0,3.9,3.9
