Rank,Name,Team,Position,Season,Week,Opponent,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowed,FantasyPointsPerGame,FantasyPoints
1,PittsburghSteelers,PIT,DST,2017,1,CLE,0,2.9,0,1.1,0.6,0,0,0,16.8,8.5,8.5
2,DenverBroncos,DEN,DST,2017,1,LAC,0,2.5,0,1.1,0.7,0,0,0,18.9,8.3,8.3
2,HoustonTexans,HOU,DST,2017,1,JAX,0,2.7,0,1,0.7,0,0,0,16.2,8.3,8.3
4,CarolinaPanthers,CAR,DST,2017,1,SF,0,2.6,0,1,0.7,0,0,0,19,8.2,8.2
5,BuffaloBills,BUF,DST,2017,1,NYJ,0,2.7,0,0.9,0.6,0,0,0,18.6,7.9,7.9
5,LosAngelesRams,LAR,DST,2017,1,IND,0,2.5,0,1.4,0.7,0,0,0,21.4,7.9,7.9
7,AtlantaFalcons,ATL,DST,2017,1,CHI,0,2.2,0,0.9,0.7,0.1,0,0,19.9,7.8,7.8
8,CincinnatiBengals,CIN,DST,2017,1,BAL,0,2.1,0,1.1,0.6,0,0,0,18,7.7,7.7
9,IndianapolisColts,IND,DST,2017,1,LAR,0,2,0,1,0.6,0,0,0,20.7,7.4,7.4
10,NewEnglandPatriots,NE,DST,2017,1,KC,0,2.3,0,0.7,0.6,0,0,0,19,7.1,7.1
11,LosAngelesChargers,LAC,DST,2017,1,DEN,0,2.5,0,0.9,0.6,0,0,0,22.3,6.7,6.7
11,DallasCowboys,DAL,DST,2017,1,NYG,0,1.9,0,1,0.6,0,0,0,20.1,6.7,6.7
11,MinnesotaVikings,MIN,DST,2017,1,NO,0,2.3,0,0.9,0.6,0.1,0,0,23,6.7,6.7
14,DetroitLions,DET,DST,2017,1,ARI,0,2,0,0.9,0.7,0.1,0,0,24.9,6.6,6.6
15,ArizonaCardinals,ARI,DST,2017,1,DET,0,2.5,0,0.7,0.6,0.1,0,0,23.2,6.5,6.5
15,WashingtonRedskins,WAS,DST,2017,1,PHI,0,2.3,0,0.9,0.6,0,0,0,23.9,6.5,6.5
17,SeattleSeahawks,SEA,DST,2017,1,GB,0,2.6,0,0.7,0.6,0,0,0,24.8,6.4,6.4
17,JacksonvilleJaguars,JAX,DST,2017,1,HOU,0,2.2,0,0.9,0.6,0,0,0,21.1,6.4,6.4
17,GreenBayPackers,GB,DST,2017,1,SEA,0,2.6,0,0.8,0.5,0,0,0,22.1,6.4,6.4
20,KansasCityChiefs,KC,DST,2017,1,NE,0,1.9,0,0.8,0.6,0.1,0,0,26,6.1,6.1
21,BaltimoreRavens,BAL,DST,2017,1,CIN,0,2,0,0.8,0.6,0,0,0,22,6,6
21,PhiladelphiaEagles,PHI,DST,2017,1,WAS,0,1.8,0,0.8,0.7,0,0,0,24,6,6
23,OaklandRaiders,OAK,DST,2017,1,TEN,0,1.7,0,0.8,0.6,0,0,0,23.9,5.7,5.7
24,SanFrancisco49ers,SF,DST,2017,1,CAR,0,2.3,0,0.8,0.5,0,0,0,24.9,5.5,5.5
25,NewOrleansSaints,NO,DST,2017,1,MIN,0,2,0,0.6,0.7,0,0,0,26.1,5.2,5.2
26,NewYorkGiants,NYG,DST,2017,1,DAL,0,1.9,0,0.6,0.7,0,0,0,24.9,5.1,5.1
26,TennesseeTitans,TEN,DST,2017,1,OAK,0,2.1,0,0.6,0.6,0,0,0,25,5.1,5.1
28,NewYorkJets,NYJ,DST,2017,1,BUF,0,2.2,0,0.4,0.5,0,0,0,25.7,4.6,4.6
29,ChicagoBears,CHI,DST,2017,1,ATL,0,2.2,0,0.6,0.5,0,0,0,29.1,4,4
30,ClevelandBrowns,CLE,DST,2017,1,PIT,0,1.5,0,0.8,0.5,0,0,0,28,3.7,3.7
