Rank,Name,Team,Position,Season,Week,Opponent,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowed,FantasyPointsPerGame,FantasyPoints
1,SeattleSeahawks,SEA,DST,2014,5,WAS,0,4,0,1,0,0,1,0,6,0,0
1,LosAngelesChargers,LAC,DST,2014,5,NYJ,0,2,0,1,2,0,0,0,17,0,0
1,PittsburghSteelers,PIT,DST,2014,5,JAX,0,1,0,1,1,0,0,0,18,0,0
1,DetroitLions,DET,DST,2014,5,BUF,0,4,0,1,0,0,0,0,13,0,0
1,PhiladelphiaEagles,PHI,DST,2014,5,LAR,0,2,0,1,0,0,0,0,23,0,0
1,NewOrleansSaints,NO,DST,2014,5,TB,0,3,0,1,0,0,0,0,20,0,0
1,ClevelandBrowns,CLE,DST,2014,5,TEN,0,1,0,1,0,0,0,0,17,0,0
1,SanFrancisco49ers,SF,DST,2014,5,KC,0,4,0,1,1,0,0,0,20,0,0
1,TennesseeTitans,TEN,DST,2014,5,CLE,0,2,0,0,0,0,0,0,18,0,0
1,ChicagoBears,CHI,DST,2014,5,CAR,0,2,0,1,0,0,0,0,18,0,0
1,CincinnatiBengals,CIN,DST,2014,5,NE,0,5,0,1,0,0,0,0,20,0,0
1,DenverBroncos,DEN,DST,2014,5,ARI,0,3,0,2,0,0,0,0,16,0,0
1,CarolinaPanthers,CAR,DST,2014,5,CHI,0,3,0,1,0,0,0,0,22,0,0
1,NewYorkGiants,NYG,DST,2014,5,ATL,0,4,0,1,0,0,0,0,20,0,0
1,IndianapolisColts,IND,DST,2014,5,BAL,0,2,0,1,0,0,0,0,24,0,0
1,GreenBayPackers,GB,DST,2014,5,MIN,0,4,0,1,0,0,0,0,20,0,0
1,DallasCowboys,DAL,DST,2014,5,HOU,0,1,0,1,0,0,0,0,19,0,0
1,NewEnglandPatriots,NE,DST,2014,5,CIN,0,2,0,1,0,0,0,0,22,0,0
1,BaltimoreRavens,BAL,DST,2014,5,IND,0,3,0,1,0,0,0,0,26,0,0
1,BuffaloBills,BUF,DST,2014,5,DET,0,3,0,0,0,0,0,0,22,0,0
1,NewYorkJets,NYJ,DST,2014,5,LAC,0,3,0,1,0,0,0,0,28,0,0
1,TampaBayBuccaneers,TB,DST,2014,5,NO,0,2,0,0,1,0,0,0,26,0,0
1,LosAngelesRams,LAR,DST,2014,5,PHI,0,4,0,1,0,0,0,0,26,0,0
1,AtlantaFalcons,ATL,DST,2014,5,NYG,0,2,0,0,0,0,0,0,31,0,0
1,KansasCityChiefs,KC,DST,2014,5,SF,0,3,0,1,0,0,0,0,31,0,0
1,WashingtonRedskins,WAS,DST,2014,5,SEA,0,2,0,0,0,0,0,0,29,0,0
1,HoustonTexans,HOU,DST,2014,5,DAL,0,3,0,0,0,0,0,0,32,0,0
1,JacksonvilleJaguars,JAX,DST,2014,5,PIT,0,3,0,0,0,0,0,0,31,0,0
1,MinnesotaVikings,MIN,DST,2014,5,GB,0,3,0,0,0,0,0,0,36,0,0
1,ArizonaCardinals,ARI,DST,2014,5,DEN,0,2,0,1,0,0,0,0,31,0,0
