Rank,Name,Team,Position,Season,Week,Opponent,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FieldGoalsLongestMade,ExtraPointsMade,ExtraPointsAttempted,FantasyPointsPerGame,FantasyPoints
1,ShayneGraham,NO,K,2014,11,CIN,2,2,100,0,4,4,10,10
2,KaiForbath,WAS,K,2014,11,TB,2,2,100,0,3,3,9,9
2,CodyParkey,PHI,K,2014,11,GB,2,2,100,0,3,3,9,9
2,MasonCrosby,GB,K,2014,11,PHI,2,2,100,0,3,3,9,9
2,RobbieGould,CHI,K,2014,11,MIN,2,2,100,0,3,3,9,9
2,MattBryant,ATL,K,2014,11,CAR,2,2,100,0,3,3,9,9
2,BrandonMcManus,DEN,K,2014,11,LAR,2,2,100,0,3,3,9,9
2,NickNovak,LAC,K,2014,11,OAK,2,2,100,0,3,3,9,9
2,AdamVinatieri,IND,K,2014,11,NE,2,2,100,0,3,3,9,9
2,StephenGostkowski,NE,K,2014,11,IND,2,2,100,0,3,3,9,9
2,ShaunSuisham,PIT,K,2014,11,TEN,2,2,100,0,3,3,9,9
12,CalebSturgis,MIA,K,2014,11,BUF,2,2,100,0,2,2,8,8
12,DanCarpenter,BUF,K,2014,11,MIA,2,2,100,0,2,2,8,8
12,PatrickMurray,TB,K,2014,11,WAS,2,2,100,0,2,2,8,8
12,BlairWalsh,MIN,K,2014,11,CHI,2,2,100,0,2,2,8,8
12,GrahamGano,CAR,K,2014,11,ATL,2,2,100,0,2,2,8,8
12,BillyCundiff,CLE,K,2014,11,HOU,2,2,100,0,2,2,8,8
12,MikeNugentIR,CIN,K,2014,11,NO,2,2,100,0,2,2,8,8
12,CairoSantos,KC,K,2014,11,SEA,2,2,100,0,2,2,8,8
12,StevenHauschka,SEA,K,2014,11,KC,2,2,100,0,2,2,8,8
12,PhilDawson,SF,K,2014,11,NYG,2,2,100,0,2,2,8,8
12,JoshBrown,NYG,K,2014,11,SF,2,2,100,0,2,2,8,8
12,ChandlerCatanzaro,ARI,K,2014,11,DET,2,2,100,0,2,2,8,8
12,MattPrater,DET,K,2014,11,ARI,2,2,100,0,2,2,8,8
25,SebastianJanikowski,OAK,K,2014,11,LAC,2,2,100,0,1,1,7,7
26,RandyBullock,HOU,K,2014,11,CLE,1,1,100,0,2,2,5,5
26,GregZuerlein,LAR,K,2014,11,DEN,1,1,100,0,2,2,5,5
28,RyanSuccopP,TEN,K,2014,11,PIT,1,1,100,0,1,1,4,4
