Rank,Name,Team,Position,Season,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,AdrianPetersonQ,MIN,RB,2013,13,CHI,29,126,4.3,1,2,2,16,0,0,0,20.2,20.2
2,FrankGore,SF,RB,2013,13,LAR,21,75,3.6,1,2,2,18,0,0,0,15.3,15.3
3,JamaalCharles,KC,RB,2013,13,DEN,23,119,5.2,0,7,5,33,0,0,0,15.2,15.2
4,ReggieBush,DET,RB,2013,13,GB,26,113,4.3,0,8,6,38,0,0,0,15.1,15.1
5,RashadJennings,OAK,RB,2013,13,DAL,17,93,5.5,0,4,3,31,0,0,0,12.4,12.4
5,MattForteIR,CHI,RB,2013,13,MIN,20,88,4.4,0,7,5,36,0,0,0,12.4,12.4
7,LeSeanMcCoyQ,PHI,RB,2013,13,ARI,21,87,4.1,0,4,4,36,0,0,0,12.3,12.3
8,ChrisOgbonnaya,CLE,RB,2013,13,JAX,10,67,6.7,0,11,9,54,0,0,0,12.1,12.1
9,AndreBrown,NYG,RB,2013,13,WAS,20,99,5,0,4,3,16,0,0,0,11.5,11.5
10,BenTate,HOU,RB,2013,13,NE,26,91,3.5,0,6,5,21,0,0,0,11.2,11.2
11,CJSpiller,BUF,RB,2013,13,ATL,20,84,4.2,0,5,5,26,0,0,0,11,11
12,RayRice,BAL,RB,2013,13,PIT,23,80,3.5,0,5,5,28,0,0,0,10.8,10.8
13,EddieLacy,GB,RB,2013,13,DET,22,88,4,0,3,3,19,0,0,0,10.7,10.7
14,KnowshonMoreno,DEN,RB,2013,13,KC,19,78,4.1,0,3,3,26,0,0,0,10.4,10.4
15,LamarMiller,MIA,RB,2013,13,NYJ,17,67,3.9,0,5,5,35,0,0,0,10.2,10.2
16,AlfredMorrisQ,WAS,RB,2013,13,NYG,21,100,4.8,0,0,0,0,0,0,0,10,10
17,Le'VeonBellO,PIT,RB,2013,13,BAL,16,56,3.5,0,6,4,41,0,0,0,9.7,9.7
17,MarshawnLynchP,SEA,RB,2013,13,NO,18,88,4.9,0,2,2,9,0,0,0,9.7,9.7
17,PierreThomas,NO,RB,2013,13,SEA,11,57,5.2,0,5,5,40,0,0,0,9.7,9.7
20,DeMarcoMurray,DAL,RB,2013,13,OAK,14,72,5.1,0,3,3,23,0,0,0,9.5,9.5
20,ChrisJohnson,TEN,RB,2013,13,IND,15,70,4.7,0,4,3,25,0,0,0,9.5,9.5
20,ShaneVereenIR,NE,RB,2013,13,HOU,7,38,5.4,0,8,6,57,0,0,0,9.5,9.5
23,MauriceJones-Drew,JAX,RB,2013,13,CLE,16,57,3.6,0,5,5,37,0,0,0,9.4,9.4
24,ZacStacy,LAR,RB,2013,13,SF,17,73,4.3,0,3,2,15,0,0,0,8.8,8.8
25,TrentRichardson,IND,RB,2013,13,TEN,12,41,3.4,0,5,5,46,0,0,0,8.7,8.7
26,GiovaniBernardP,CIN,RB,2013,13,LAC,11,53,4.8,0,5,5,33,0,0,0,8.6,8.6
27,StevenJackson,ATL,RB,2013,13,BUF,17,59,3.5,0,6,5,25,0,0,0,8.4,8.4
28,FredJackson,BUF,RB,2013,13,ATL,16,61,3.8,0,4,3,22,0,0,0,8.3,8.3
29,JonathanStewartIR,CAR,RB,2013,13,TB,18,67,3.7,0,3,3,14,0,0,0,8.1,8.1
30,BilalPowell,NYJ,RB,2013,13,MIA,17,59,3.5,0,5,4,21,0,0,0,8,8
31,JacquizzRodgers,ATL,RB,2013,13,BUF,7,33,4.7,0,7,6,39,0,0,0,7.2,7.2
32,DannyWoodheadIR,LAC,RB,2013,13,CIN,7,26,3.7,0,5,5,43,0,0,0,6.9,6.9
33,BenJarvusGreen-Ellis,CIN,RB,2013,13,LAC,19,68,3.6,0,0,0,0,0,0,0,6.8,6.8
34,ChrisIvory,NYJ,RB,2013,13,MIA,14,66,4.7,0,0,0,0,0,0,0,6.6,6.6
35,DennisJohnson,HOU,RB,2013,13,NE,12,53,4.4,0,1,1,12,0,0,0,6.5,6.5
35,DarrenSprolesO,NO,RB,2013,13,SEA,4,14,3.5,0,7,6,51,0,0,0,6.5,6.5
37,DexterMcCluster,KC,RB,2013,13,DEN,0,0,0,0,8,6,63,0,0,0,6.3,6.3
38,DonaldBrown,IND,RB,2013,13,TEN,7,33,4.7,0,2,2,28,0,0,0,6.1,6.1
39,JoiqueBell,DET,RB,2013,13,GB,7,35,5,0,3,2,21,0,0,0,5.6,5.6
40,BrianLeonard,TB,RB,2013,13,CAR,7,25,3.6,0,4,4,30,0,0,0,5.5,5.5
41,BobbyRainey,TB,RB,2013,13,CAR,12,48,4,0,1,1,5,0,0,0,5.3,5.3
41,RashardMendenhall,ARI,RB,2013,13,PHI,12,42,3.5,0,1,1,11,0,0,0,5.3,5.3
43,BernardPierce,BAL,RB,2013,13,PIT,13,44,3.4,0,1,1,8,0,0,0,5.2,5.2
43,RyanMathews,LAC,RB,2013,13,CIN,10,49,4.9,0,1,1,3,0,0,0,5.2,5.2
45,RoyHelu,WAS,RB,2013,13,NYG,6,32,5.3,0,3,3,18,0,0,0,5,5
46,WillisMcGahee,CLE,RB,2013,13,JAX,12,42,3.5,0,1,1,1,0,0,0,4.3,4.3
47,FozzyWhittakerIR,CLE,RB,2013,13,JAX,4,15,3.8,0,4,3,25,0,0,0,4,4
48,MarcelReece,OAK,FB,2013,13,DAL,2,8,4,0,3,3,30,0,0,0,3.8,3.8
49,MonteeBall,DEN,RB,2013,13,KC,8,30,3.8,0,1,1,7,0,0,0,3.7,3.7
49,AlfonsoSmith,ARI,RB,2013,13,PHI,3,10,3.3,0,4,4,27,0,0,0,3.7,3.7
51,MikeTolbert,CAR,FB,2013,13,TB,5,23,4.6,0,2,2,13,0,0,0,3.6,3.6
52,BryceBrown,PHI,RB,2013,13,ARI,7,23,3.3,0,1,1,12,0,0,0,3.5,3.5
52,MarkIngramSUS,NO,RB,2013,13,SEA,6,33,5.5,0,0,0,2,0,0,0,3.5,3.5
54,RobertTurbinSUS,SEA,RB,2013,13,NO,8,27,3.4,0,1,1,7,0,0,0,3.4,3.4
55,DarrenMcFadden,OAK,RB,2013,13,DAL,8,27,3.4,0,1,1,6,0,0,0,3.4,3.38
56,BrandonBolden,NE,RB,2013,13,HOU,6,26,4.3,0,1,1,5,0,0,0,3.1,3.1
57,TobyGerhart,MIN,RB,2013,13,CHI,2,25,12.5,0,1,1,4,0,0,0,2.9,2.9
57,MarcusThigpen,MIA,RB,2013,13,NYJ,0,3,0,0,1,1,26,0,0,0,2.9,2.9
59,ShonnGreene,TEN,RB,2013,13,IND,6,20,3.3,0,1,1,8,0,0,0,2.8,2.8
59,BenjaminCunningham,LAR,RB,2013,13,SF,4,24,6,0,0,0,4,0,0,0,2.8,2.8
61,PeytonHillis,NYG,RB,2013,13,WAS,6,22,3.7,0,2,1,5,0,0,0,2.7,2.7
62,KendallHunter,SF,RB,2013,13,LAR,6,25,4.2,0,0,0,0,0,0,0,2.5,2.5
63,MikeGillislee,MIA,RB,2013,13,NYJ,6,22,3.7,0,0,0,0,0,0,0,2.2,2.2
64,JamesStarks,GB,RB,2013,13,DET,3,19,6.3,0,0,0,0,0,0,0,1.9,1.9
65,MichaelBush,CHI,RB,2013,13,MIN,3,11,3.7,0,1,1,7,0,0,0,1.8,1.8
66,JordanTodman,JAX,RB,2013,13,CLE,5,17,3.4,0,1,1,0,0,0,0,1.7,1.7
67,TheoRiddick,DET,RB,2013,13,GB,0,0,0,0,0,0,0,0,0,0,0,0
67,JohnKuhn,GB,FB,2013,13,DET,0,0,0,0,0,0,0,0,0,0,0,0
67,LanceDunbar,DAL,RB,2013,13,OAK,0,0,0,0,0,0,0,0,0,0,0,0
67,PhillipTanner,DAL,RB,2013,13,OAK,0,0,0,0,0,0,0,0,0,0,0,0
67,JeremyStewart,OAK,RB,2013,13,DAL,0,0,0,0,0,0,0,0,0,0,0,0
67,JamizeOlawale,OAK,FB,2013,13,DAL,0,0,0,0,0,0,0,0,0,0,0,0
67,FelixJones,PIT,RB,2013,13,BAL,0,0,0,0,0,0,0,0,0,0,0,0
67,WillJohnson,PIT,FB,2013,13,BAL,0,0,0,0,0,0,0,0,0,0,0,0
67,JonathanDwyer,PIT,RB,2013,13,BAL,0,0,0,0,0,0,0,0,0,0,0,0
67,KyleJuszczyk,BAL,FB,2013,13,PIT,0,0,0,0,0,0,0,0,0,0,0,0
67,VontaLeach,BAL,RB,2013,13,PIT,0,0,0,0,0,0,0,0,0,0,0,0
67,RichieBrockel,CAR,FB,2013,13,TB,0,0,0,0,0,0,0,0,0,0,0,0
67,KenjonBarner,CAR,RB,2013,13,TB,0,0,0,0,0,0,0,0,0,0,0,0
67,ErikLorig,TB,FB,2013,13,CAR,0,0,0,0,0,0,0,0,0,0,0,0
67,DenardRobinson,JAX,RB,2013,13,CLE,0,0,0,0,0,0,0,0,0,0,0,0
67,WillTa'ufo'ou,JAX,FB,2013,13,CLE,0,0,0,0,0,0,0,0,0,0,0,0
67,StanleyHavili,IND,FB,2013,13,TEN,0,0,0,0,0,0,0,0,0,0,0,0
67,DanHerron,IND,RB,2013,13,TEN,0,0,0,0,0,0,0,0,0,0,0,0
67,CollinMooney,TEN,FB,2013,13,IND,0,0,0,0,0,0,0,0,0,0,0,0
67,JackieBattle,TEN,FB,2013,13,IND,0,0,0,0,0,0,0,0,0,0,0,0
67,CyrusGray,KC,RB,2013,13,DEN,0,0,0,0,0,0,0,0,0,0,0,0
67,AnthonySherman,KC,FB,2013,13,DEN,0,0,0,0,0,0,0,0,0,0,0,0
67,KnileDavis,KC,RB,2013,13,DEN,0,0,0,0,0,0,0,0,0,0,0,0
67,MattAsiata,MIN,RB,2013,13,CHI,0,0,0,0,0,0,0,0,0,0,0,0
67,JeromeFelton,MIN,FB,2013,13,CHI,0,0,0,0,0,0,0,0,0,0,0,0
67,TonyFiammetta,CHI,FB,2013,13,MIN,0,0,0,0,0,0,0,0,0,0,0,0
67,AlexGreen,NYJ,RB,2013,13,MIA,0,0,0,0,0,0,0,0,0,0,0,0
67,ChrisPolk,PHI,RB,2013,13,ARI,0,0,0,0,0,0,0,0,0,0,0,0
67,StepfanTaylor,ARI,RB,2013,13,PHI,0,0,0,0,0,0,0,0,0,0,0,0
67,AntoneSmith,ATL,RB,2013,13,BUF,0,0,0,0,0,0,0,0,0,0,0,0
67,JasonSnelling,ATL,RB,2013,13,BUF,0,0,0,0,0,0,0,0,0,0,0,0
67,TashardChoice,BUF,RB,2013,13,ATL,0,0,0,0,0,0,0,0,0,0,0,0
67,FrankSummers,BUF,FB,2013,13,ATL,0,0,0,0,0,0,0,0,0,0,0,0
67,BruceMiller,SF,FB,2013,13,LAR,0,0,0,0,0,0,0,0,0,0,0,0
67,LaMichaelJames,SF,RB,2013,13,LAR,0,0,0,0,0,0,0,0,0,0,0,0
67,AnthonyDixon,SF,RB,2013,13,LAR,0,0,0,0,0,0,0,0,0,0,0,0
67,IsaiahPead,LAR,RB,2013,13,SF,0,0,0,0,0,0,0,0,0,0,0,0
67,GregJones,HOU,RB,2013,13,NE,0,0,0,0,0,0,0,0,0,0,0,0
67,DejiKarim,HOU,RB,2013,13,NE,0,0,0,0,0,0,0,0,0,0,0,0
67,LeGarretteBlount,NE,RB,2013,13,HOU,0,0,0,0,0,0,0,0,0,0,0,0
67,LeRonMcClain,LAC,RB,2013,13,CIN,0,0,0,0,0,0,0,0,0,0,0,0
67,RonnieBrown,LAC,RB,2013,13,CIN,0,0,0,0,0,0,0,0,0,0,0,0
67,CedricPeerman,CIN,RB,2013,13,LAC,0,0,0,0,0,0,0,0,0,0,0,0
67,MichaelCox,NYG,RB,2013,13,WAS,0,0,0,0,0,0,0,0,0,0,0,0
67,EvanRoyster,WAS,RB,2013,13,NYG,0,0,0,0,0,0,0,0,0,0,0,0
67,JedCollins,NO,FB,2013,13,SEA,0,0,0,0,0,0,0,0,0,0,0,0
67,TravarisCadet,NO,RB,2013,13,SEA,0,0,0,0,0,0,0,0,0,0,0,0
