Rank,Name,Team,Position,Season,Week,Opponent,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowed,FantasyPointsPerGame,FantasyPoints
1,PhiladelphiaEagles,PHI,DST,2017,5,ARI,0,2.7,0,1.2,0.9,0.1,0,0,17.1,9.3,9.3
2,KansasCityChiefs,KC,DST,2017,5,HOU,0,2.8,0,1.2,0.6,0,0,0,19.8,8.6,8.6
3,MinnesotaVikings,MIN,DST,2017,5,CHI,0,2.8,0,1,0.6,0.1,0,0,17.8,8.4,8.4
4,NewYorkJets,NYJ,DST,2017,5,CLE,0,2.3,0,1.3,0.6,0,0,0,18,8.3,8.3
5,BuffaloBills,BUF,DST,2017,5,CIN,0,2.6,0,1,0.6,0,0,0,19.7,8,8
6,CarolinaPanthers,CAR,DST,2017,5,DET,0,2.9,0,0.8,0.6,0,0,0,20.9,7.9,7.9
6,PittsburghSteelers,PIT,DST,2017,5,JAX,0,2.5,0,0.9,0.7,0,0,0,18.2,7.9,7.9
8,DetroitLions,DET,DST,2017,5,CAR,0,2.4,0,1.1,0.5,0,0,0,19.8,7.8,7.8
9,NewYorkGiants,NYG,DST,2017,5,LAC,0,1.9,0,1,0.7,0,0,0,20.1,7.5,7.5
9,BaltimoreRavens,BAL,DST,2017,5,OAK,0,2.3,0,1.2,0.8,0,0,0,21,7.5,7.5
9,OaklandRaiders,OAK,DST,2017,5,BAL,0,2.1,0,0.9,0.7,0,0,0,19.1,7.5,7.5
12,SanFrancisco49ers,SF,DST,2017,5,IND,0,2.6,0,0.8,0.7,0.1,0,0,23,7,7
13,JacksonvilleJaguars,JAX,DST,2017,5,PIT,0,2.4,0,1,0.6,0,0,0,23.9,6.8,6.8
14,CincinnatiBengals,CIN,DST,2017,5,BUF,0,2.9,0,0.6,0.5,0,0,0,19,6.7,6.7
14,MiamiDolphins,MIA,DST,2017,5,TEN,0,2.1,0,1.1,0.6,0,0,0,22.9,6.7,6.7
16,IndianapolisColts,IND,DST,2017,5,SF,0,2,0,1,0.7,0,0,0,21.9,6.6,6.6
17,SeattleSeahawks,SEA,DST,2017,5,LAR,0,2.1,0,0.8,0.7,0.1,0,0,21.6,6.5,6.5
18,NewEnglandPatriots,NE,DST,2017,5,TB,0,2,0,1,0.6,0,0,0,24.1,6.4,6.4
18,ArizonaCardinals,ARI,DST,2017,5,PHI,0,2.2,0,0.8,0.7,0,0,0,22.6,6.4,6.4
18,LosAngelesRams,LAR,DST,2017,5,SEA,0,2.6,0,0.8,0.5,0,0,0,23.3,6.4,6.4
21,LosAngelesChargers,LAC,DST,2017,5,NYG,0,2.1,0,0.9,0.6,0,0,0,22.9,6.3,6.3
22,ClevelandBrowns,CLE,DST,2017,5,NYJ,0,2.3,0,0.8,0.7,0,0,0,22.1,5.9,5.9
22,TennesseeTitans,TEN,DST,2017,5,MIA,0,2.3,0,0.9,0.6,0,0,0,21.2,5.9,5.9
24,HoustonTexans,HOU,DST,2017,5,KC,0,2.6,0,0.6,0.6,0,0,0,22,5.6,5.6
25,ChicagoBears,CHI,DST,2017,5,MIN,0,2.1,0,0.5,0.7,0.1,0,0,23.1,5.3,5.3
26,DallasCowboys,DAL,DST,2017,5,GB,0,2.6,0,0.5,0.5,0,0,0,25.9,5.2,5.2
27,GreenBayPackers,GB,DST,2017,5,DAL,0,2,0,0.6,0.6,0,0,0,27,5,5
28,TampaBayBuccaneers,TB,DST,2017,5,NE,0,1.7,0,0.6,0.5,0,0,0,28.7,3.5,3.5
