Rank,Name,Team,Position,Season,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGame,FantasyPoints
1,TomBrady,NE,QB,2016,16,NYJ,24.7,36.1,69.4,278.6,7.8,2.4,0.5,110.76,2.4,1.2,0.5,0,19.3,19.26
2,MattRyan,ATL,QB,2016,16,CAR,23.2,36.3,63.9,297.7,8.3,2.2,0.8,96.76,2.2,1.7,1,0,18.9,18.88
3,DrewBrees,NO,QB,2016,16,TB,26.4,41.1,63.4,307.4,7.5,2.3,1,92.23,1.6,1,0.5,0,18.8,18.8
4,AndrewLuckP,IND,QB,2016,16,OAK,22,36.7,59.5,278.8,7.5,1.9,0.9,89.81,4.2,18.2,4.5,0,18,17.97
5,DerekCarr,OAK,QB,2016,16,IND,22.2,37,59.5,261.2,7.1,2,0.6,87.78,2.4,5.6,3,0,17.4,17.41
6,BenRoethlisberger,PIT,QB,2016,16,BAL,23.2,36.8,62.2,276.2,7.5,2.1,1,91.72,2.1,3.2,1.5,0,17.4,17.37
7,RussellWilson,SEA,QB,2016,16,ARI,20.2,33.4,60.6,250.6,7.6,1.7,0.8,91.86,4.2,20.9,5.2,0.1,17.3,17.31
8,AaronRodgersQ,GB,QB,2016,16,MIN,23,36.5,63.9,267.9,7.4,2,0.9,93.29,3.8,9.6,2.5,0,17.3,17.28
9,PhilipRivers,LAC,QB,2016,16,CLE,21.4,36.6,56.8,256.5,6.9,2.1,0.9,84.97,1.7,1.4,0.5,0,16.6,16.6
10,DakPrescott,DAL,QB,2016,16,DET,20.2,30.6,64.5,241.8,7.8,1.6,0.7,96.44,3.7,15.4,3.8,0.1,16.4,16.41
11,JameisWinston,TB,QB,2016,16,NO,22,35.1,62.9,271.5,7.8,1.8,0.9,93.99,3.3,6.5,2,0,16.3,16.31
12,KirkCousins,WAS,QB,2016,16,CHI,24.1,37.3,64.9,281,7.6,1.6,0.8,94.54,2.1,4.5,2,0,16.1,16.09
13,CamNewton,CAR,QB,2016,16,ATL,17.8,29.6,60,236.7,7.9,1.5,1,93.33,5.9,19.7,3.3,0.2,16,16.04
14,MarcusMariotaP,TEN,QB,2016,16,JAX,18.1,29.3,62.1,226.5,7.8,1.5,0.7,94.9,4.2,19.8,5,0.1,15.8,15.84
15,TyrodTaylorQ,BUF,QB,2016,16,MIA,17.9,28,64.3,212.1,7.6,1.4,0.8,84.23,5.9,26.9,4.5,0.2,15.8,15.77
16,MatthewStafford,DET,QB,2016,16,DAL,21.8,37.6,57.9,270.9,7.1,1.6,0.8,86.62,2.3,2.6,1.5,0,15.3,15.3
17,ColinKaepernick,SF,QB,2016,16,LAR,17.9,30,60,194.1,6.5,1.3,0.9,76.25,6.5,33.9,5.7,0.2,15.2,15.15
18,EliManning,NYG,QB,2016,16,PHI,21.1,35.1,60,251.9,7.2,1.8,1,89.23,1.9,1.6,1,0,14.8,14.84
19,BlakeBortles,JAX,QB,2016,16,TEN,21.8,37.2,59.5,246.1,6.6,1.5,1.2,86.09,3.2,15.7,5.3,0,14.6,14.61
20,SamBradfordQ,MIN,QB,2016,16,GB,21.4,35.1,60,249.6,7.1,1.5,0.8,88.99,1.7,1.3,0.5,0,14.1,14.11
21,MattBarkley,CHI,QB,2016,16,WAS,21,34.1,61.8,249.6,7.4,1.5,1.2,91.54,1.8,5.7,3,0,13.8,13.75
21,AndyDalton,CIN,QB,2016,16,HOU,19.4,33.6,55.9,234.4,6.9,1.4,1,74.88,3,11.7,4,0,13.8,13.75
23,JoeFlacco,BAL,QB,2016,16,PIT,24.2,40.3,60,254.7,6.4,1.5,1.1,84.9,1.6,1.3,0.5,0,13.7,13.72
24,CarsonPalmer,ARI,QB,2016,16,SEA,22.2,38.1,57.9,246.3,6.5,1.4,1.1,75.11,1.1,0.6,1,0,12.9,12.91
25,MattMoore,MIA,QB,2016,16,BUF,18.1,29.6,60,206.5,6.9,1.3,0.9,77.92,2.5,7.6,4,0.1,12.8,12.82
26,TrevorSiemian,DEN,QB,2016,16,KC,23.6,37,64.9,267.9,7.2,1,1.1,84.07,2.4,5.3,2.5,0,12.6,12.65
27,RobertGriffinIII,CLE,QB,2016,16,LAC,15,25,60,199.8,8,0.9,1.2,82.08,5.5,32.2,5.3,0.1,12.4,12.41
28,TomSavage,HOU,QB,2016,16,CIN,16.4,27.4,59.3,219.4,8.1,1.3,1,82.18,2.5,2,1,0,12,11.98
29,CarsonWentz,PHI,QB,2016,16,NYG,24.8,39.8,62.5,246.5,6.2,1,1.2,77.71,2.8,9.5,3.3,0,11.8,11.81
30,JaredGoff,LAR,QB,2016,16,SF,17.9,30.5,60,195.4,6.5,1,1,76.39,2.1,10.2,5,0.1,11,11.04
31,AlexSmith,KC,QB,2016,16,DEN,15.1,25.2,60,201.9,8.1,0.9,0.8,82.42,3.3,11.2,3.7,0,10.8,10.8
