Rank,Name,Team,Position,Season,Week,Opponent,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FieldGoalsLongestMade,ExtraPointsMade,ExtraPointsAttempted,FantasyPointsPerGame,FantasyPoints
1,ChrisBoswell,PIT,K,2016,11,CLE,1.3,1.4,100,0,3,3,6.9,6.9
2,GrahamGano,CAR,K,2016,11,NO,1.4,1.4,100,0,2.6,2.6,6.8,6.8
3,DanBailey,DAL,K,2016,11,BAL,1.4,1.4,100,0,2.5,2.5,6.7,6.7
3,SebastianJanikowski,OAK,K,2016,11,HOU,1.4,1.4,100,0,2.5,2.5,6.7,6.7
5,RobbieGould,NYG,K,2016,11,CHI,1,1,100,0,2.5,2.5,5.5,5.5
6,WilLutz,NO,K,2016,11,CAR,1.1,1.2,100,0,2.1,2.1,5.4,5.4
7,RyanSuccopP,TEN,K,2016,11,IND,0.9,1,100,0,2.6,2.6,5.3,5.3
7,StephenGostkowski,NE,K,2016,11,SF,0.6,0.6,100,0,3.5,3.5,5.3,5.3
9,JasonMyers,JAX,K,2016,11,DET,0.9,1,100,0,2.5,2.5,5.2,5.2
9,AndrewFranks,MIA,K,2016,11,LAR,0.9,1,100,0,2.5,2.5,5.2,5.2
11,CairoSantos,KC,K,2016,11,TB,1,1,100,0,2,2,5,5
12,AdamVinatieri,IND,K,2016,11,TEN,0.3,0.4,0,0,3.7,3.7,4.6,4.6
12,GregZuerlein,LAR,K,2016,11,MIA,1,1,100,0,1.6,1.6,4.6,4.6
14,MattPrater,DET,K,2016,11,JAX,0.6,0.6,100,0,2.6,2.6,4.4,4.4
14,DustinHopkins,WAS,K,2016,11,GB,0.6,0.6,100,0,2.6,2.6,4.4,4.4
16,ConnorBarth,CHI,K,2016,11,NYG,0.9,1,100,0,1.6,1.6,4.3,4.3
16,MasonCrosby,GB,K,2016,11,WAS,0.6,0.6,100,0,2.5,2.5,4.3,4.3
18,MikeNugentIR,CIN,K,2016,11,BUF,0.6,0.6,100,0,2,2,3.8,3.8
18,NickNovak,HOU,K,2016,11,OAK,0.6,0.6,100,0,2,2,3.8,3.8
20,DanCarpenter,BUF,K,2016,11,CIN,0.5,0.6,0,0,2,2,3.5,3.5
20,ChandlerCatanzaro,ARI,K,2016,11,MIN,0.5,0.6,0,0,2,2,3.5,3.5
22,CodyParkey,CLE,K,2016,11,PIT,0.6,0.6,100,0,1.6,1.6,3.4,3.4
23,JustinTucker,BAL,K,2016,11,DAL,0.6,0.6,100,0,1.5,1.5,3.3,3.3
24,PhilDawson,SF,K,2016,11,NE,0.5,0.6,0,0,1.6,1.6,3.1,3.1
24,StevenHauschka,SEA,K,2016,11,PHI,0.2,0.2,0,0,2.5,2.5,3.1,3.1
26,CalebSturgis,PHI,K,2016,11,SEA,0.3,0.3,0,0,2,2,2.9,2.9
27,RobertoAguayo,TB,K,2016,11,KC,0.2,0.3,0,0,2,2,2.6,2.6
27,KaiForbath,MIN,K,2016,11,ARI,0.2,0.2,0,0,2,2,2.6,2.6
29,PatrickMurray,CLE,K,2016,11,PIT,0,0,0,0,0,0,0,0
29,MarshallMorgan,BUF,K,2016,11,CIN,0,0,0,0,0,0,0,0
29,JoshBrown,NYG,K,2016,11,CHI,0,0,0,0,0,0,0,0
29,BlairWalsh,MIN,K,2016,11,ARI,0,0,0,0,0,0,0,0
