Rank,Name,Team,Position,Season,Week,Opponent,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FieldGoalsLongestMade,ExtraPointsMade,ExtraPointsAttempted,FantasyPointsPerGame,FantasyPoints
1,MattPrater,DEN,K,2013,3,OAK,1,1,100,26,6,6,9,9
2,DanBailey,DAL,K,2013,3,LAR,2,2,100,48,2,2,8,8
2,BlairWalsh,MIN,K,2013,3,CLE,2,2,100,44,2,2,8,8
2,PhilDawson,SF,K,2013,3,IND,2,2,100,31,2,2,8,8
2,StevenHauschka,SEA,K,2013,3,JAX,2,2,100,31,2,2,8,8
6,JustinTucker,BAL,K,2013,3,HOU,1,1,100,23,4,4,7.2,7.2
7,MasonCrosby,GB,K,2013,3,CIN,1,1,100,26,4,4,7,7
7,SebastianJanikowski,OAK,K,2013,3,DEN,2,2,100,34,1,1,7,7
9,RyanSuccopP,KC,K,2013,3,PHI,1,2,50,22,3,3,6,6
9,MikeNugentIR,CIN,K,2013,3,GB,1,1,100,24,3,3,6,6
9,GregZuerlein,LAR,K,2013,3,DAL,1,2,50,23,3,3,6,6
9,RobBironas,TEN,K,2013,3,LAC,1,1,100,27,3,3,6,6
9,RianLindell,TB,K,2013,3,NE,1,1,100,24,3,3,6,6
9,DavidAkers,DET,K,2013,3,WAS,1,1,100,22,3,3,6,6
9,MattBryant,ATL,K,2013,3,MIA,1,2,50,34,3,3,6,6
9,ShaunSuisham,PIT,K,2013,3,CHI,1,1,100,31,3,3,6,6
9,RobbieGould,CHI,K,2013,3,PIT,1,1,100,34,3,3,6,6
18,AlexHenery,PHI,K,2013,3,KC,1,2,50,31,2,2,5,5
18,NickNovak,LAC,K,2013,3,TEN,1,1,100,26,2,2,5,5
18,BillyCundiff,CLE,K,2013,3,MIN,1,1,100,38,2,2,5,5
18,StephenGostkowski,NE,K,2013,3,TB,1,2,50,29,2,2,5,5
18,GarrettHartley,NO,K,2013,3,ARI,1,2,50,43,2,2,5,5
18,JayFeely,ARI,K,2013,3,NO,1,2,50,42,2,2,5,5
18,GrahamGano,CAR,K,2013,3,NYG,1,2,50,33,2,2,5,5
18,RandyBullock,HOU,K,2013,3,BAL,0,1,0,0,5,5,5,5
18,CalebSturgis,MIA,K,2013,3,ATL,1,2,50,51,2,2,5,5
18,AdamVinatieri,IND,K,2013,3,SF,1,2,50,27,2,2,5,5
28,JohnPotter,WAS,K,2013,3,DET,0,0,0,0,4,4,4,4
28,JoshBrown,NYG,K,2013,3,CAR,1,2,50,39,1,1,4,4
28,DanCarpenter,BUF,K,2013,3,NYJ,1,2,50,41,1,1,4,4
28,NickFolk,NYJ,K,2013,3,BUF,1,2,50,38,1,1,4,4
28,JoshScobee,JAX,K,2013,3,SEA,1,2,50,27,1,1,4,4
