Rank,Name,Team,Position,Season,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,JimmyGrahamP,NO,TE,2013,3,ARI,13,9,69.2,124,0,56,9.5,13.8,0,0,0,0,0,0,12.4,12.4
2,JuliusThomas,DEN,TE,2013,3,OAK,5,4,80,55,1,25,11,13.8,0,0,0,0,0,0,11.5,11.5
3,JordanCameron,CLE,TE,2013,3,MIN,8,6,75,89,0,40,11.1,14.8,0,0,0,0,0,0,8.9,8.9
4,GregOlsenO,CAR,TE,2013,3,NYG,10,8,80,87,0,39,8.7,10.9,0,0,0,0,0,0,8.7,8.7
5,JermaineGreshamQ,CIN,TE,2013,3,GB,10,8,80,72,0,32,7.2,9,0,0,0,0,0,0,7.2,7.2
6,TylerEifert,CIN,TE,2013,3,GB,6,5,83.3,71,0,31,11.8,14.2,0,0,0,0,0,0,7.1,7.1
6,DallasClark,BAL,TE,2013,3,HOU,11,8,72.7,71,0,31,6.5,8.9,0,0,0,0,0,0,7.1,7.1
8,JermichaelFinley,GB,TE,2013,3,CIN,8,7,87.5,69,0,31,8.6,9.9,0,0,0,0,0,0,6.9,6.9
9,TonyGonzalez,ATL,TE,2013,3,MIA,9,7,77.8,66,0,30,7.3,9.4,0,0,0,0,0,0,6.6,6.6
10,SeanMcGrath,KC,TE,2013,3,PHI,6,4,66.7,65,0,29,10.8,16.2,0,0,0,0,0,0,6.5,6.5
10,RobHousler,ARI,TE,2013,3,NO,10,8,80,65,0,29,6.5,8.1,0,0,0,0,0,0,6.5,6.5
10,BrandonMyers,NYG,TE,2013,3,CAR,9,7,77.8,65,0,29,7.2,9.3,0,0,0,0,0,0,6.5,6.5
13,AntonioGates,LAC,TE,2013,3,TEN,5,4,80,59,0,26,11.8,14.8,0,0,0,0,0,0,5.9,5.9
13,CharlesClayQ,MIA,TE,2013,3,ATL,5,4,80,59,0,26,11.8,14.8,0,0,0,0,0,0,5.9,5.9
15,JasonWittenIR,DAL,TE,2013,3,LAR,9,7,77.8,58,0,26,6.4,8.3,0,0,0,0,0,0,5.8,5.8
15,JaredCook,LAR,TE,2013,3,DAL,8,5,62.5,58,0,26,7.2,11.6,0,0,0,0,0,0,5.8,5.8
15,ScottChandler,BUF,TE,2013,3,NYJ,6,5,83.3,58,0,26,9.7,11.6,0,0,0,0,0,0,5.8,5.8
18,BrandonPettigrew,DET,TE,2013,3,WAS,9,6,66.7,54,0,24,6,9,0,0,0,0,0,0,5.4,5.4
18,OwenDaniels,HOU,TE,2013,3,BAL,7,5,71.4,54,0,24,7.7,10.8,0,0,0,0,0,0,5.4,5.4
20,KellenWinslow,NYJ,TE,2013,3,BUF,6,5,83.3,49,0,22,8.2,9.8,0,0,0,0,0,0,4.9,4.9
21,KyleRudolph,MIN,TE,2013,3,CLE,5,3,60,45,0,20,9,15,0,0,0,0,0,0,4.5,4.5
21,MartellusBennett,CHI,TE,2013,3,PIT,6,4,66.7,45,0,20,7.5,11.2,0,0,0,0,0,0,4.5,4.5
23,DavidPaulson,PIT,TE,2013,3,CHI,4,4,100,44,0,20,11,11,0,0,0,0,0,0,4.4,4.4
24,ZachMiller,SEA,TE,2013,3,JAX,4,3,75,43,0,19,10.8,14.3,0,0,0,0,0,0,4.3,4.3
25,AllenReisner,JAX,TE,2013,3,SEA,5,5,100,42,0,18,8.4,8.4,0,0,0,0,0,0,4.2,4.2
26,ZachSudfeld,NE,TE,2013,3,TB,7,3,42.9,41,0,20,5.9,13.7,0,0,0,0,0,0,4.1,4.1
27,EdDickson,BAL,TE,2013,3,HOU,4,3,75,39,0,17,9.8,13,0,0,0,0,0,0,3.9,3.9
28,BrentCelek,PHI,TE,2013,3,KC,3,3,100,38,0,17,12.7,12.7,0,0,0,0,0,0,3.8,3.8
29,ZachErtz,PHI,TE,2013,3,KC,3,2,66.7,37,0,16,12.3,18.5,0,0,0,0,0,0,3.7,3.7
29,MychalRivera,OAK,TE,2013,3,DEN,3,3,100,37,0,16,12.3,12.3,0,0,0,0,0,0,3.7,3.7
31,CobyFleener,IND,TE,2013,3,SF,4,3,75,36,0,16,9,12,0,0,0,0,0,0,3.6,3.6
32,DelanieWalkerIR,TEN,TE,2013,3,LAC,3,2,66.7,31,0,14,10.3,15.5,0,0,0,0,0,0,3.1,3.1
33,VanceMcDonald,SF,TE,2013,3,IND,2,1,50,30,0,13,15,30,0,0,0,0,0,0,3,3
34,BenjaminWatson,NO,TE,2013,3,ARI,5,3,60,28,0,12,5.6,9.3,0,0,0,0,0,0,2.8,2.8
35,JordanReed,WAS,TE,2013,3,DET,4,4,100,26,0,11,6.5,6.5,0,0,0,0,0,0,2.6,2.6
36,JamesHannaIR,DAL,TE,2013,3,LAR,3,3,100,25,0,11,8.3,8.3,0,0,0,0,0,0,2.5,2.5
37,GarrettGraham,HOU,TE,2013,3,BAL,3,3,100,24,0,11,8,8,0,0,0,0,0,0,2.4,2.4
