Rank,Name,Team,Position,Season,Week,Opponent,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowed,FantasyPointsPerGame,FantasyPoints
1,SeattleSeahawks,SEA,DST,2015,15,CLE,0,3,0,1,1,0,0,0,15,8,8
1,KansasCityChiefs,KC,DST,2015,15,BAL,0,3,0,1,1,0,0,0,18,8,8
1,NewEnglandPatriots,NE,DST,2015,15,TEN,0,3,0,2,0,0,0,0,18,8,8
1,DenverBroncos,DEN,DST,2015,15,PIT,0,3,0,1,1,0,0,0,20,8,8
1,PittsburghSteelers,PIT,DST,2015,15,DEN,0,3,0,1,1,0,0,0,20,8,8
6,ArizonaCardinals,ARI,DST,2015,15,PHI,0,2,0,1,1,0,0,0,20,7,7
6,LosAngelesRams,LAR,DST,2015,15,TB,0,3,0,1,1,0,0,0,21,7,7
6,TampaBayBuccaneers,TB,DST,2015,15,LAR,0,2,0,1,1,0,0,0,20,7,7
6,JacksonvilleJaguars,JAX,DST,2015,15,ATL,0,3,0,1,1,0,0,0,24,7,7
10,CarolinaPanthers,CAR,DST,2015,15,NYG,0,3,0,1,0,0,0,0,20,6,6
10,CincinnatiBengals,CIN,DST,2015,15,SF,0,3,0,1,0,0,0,0,16,6,6
10,NewYorkJets,NYJ,DST,2015,15,DAL,0,3,0,1,0,0,0,0,17,6,6
10,HoustonTexans,HOU,DST,2015,15,IND,0,3,0,1,0,0,0,0,18,6,6
10,MinnesotaVikings,MIN,DST,2015,15,CHI,0,2,0,1,1,0,0,0,21,6,6
10,NewOrleansSaints,NO,DST,2015,15,DET,0,2,0,1,1,0,0,0,26,6,6
16,MiamiDolphins,MIA,DST,2015,15,LAC,0,3,0,1,0,0,0,0,24,5,5
16,BuffaloBills,BUF,DST,2015,15,WAS,0,3,0,1,0,0,0,0,22,5,5
16,PhiladelphiaEagles,PHI,DST,2015,15,ARI,0,2,0,1,1,0,0,0,28,5,5
16,ChicagoBears,CHI,DST,2015,15,MIN,0,3,0,1,0,0,0,0,23,5,5
16,DallasCowboys,DAL,DST,2015,15,NYJ,0,3,0,1,0,0,0,0,23,5,5
16,IndianapolisColts,IND,DST,2015,15,HOU,0,3,0,1,0,0,0,0,23,5,5
22,GreenBayPackers,GB,DST,2015,15,OAK,0,2,0,1,0,0,0,0,21,4,4
22,DetroitLions,DET,DST,2015,15,NO,0,2,0,0,1,0,0,0,26,4,4
22,SanFrancisco49ers,SF,DST,2015,15,CIN,0,2,0,1,0,0,0,0,23,4,4
22,AtlantaFalcons,ATL,DST,2015,15,JAX,0,2,0,1,0,0,0,0,24,4,4
22,WashingtonRedskins,WAS,DST,2015,15,BUF,0,2,0,1,0,0,0,0,24,4,4
22,LosAngelesChargers,LAC,DST,2015,15,MIA,0,2,0,1,0,0,0,0,21,4,4
28,NewYorkGiants,NYG,DST,2015,15,CAR,0,2,0,1,0,0,0,0,29,3,3
28,ClevelandBrowns,CLE,DST,2015,15,SEA,0,2,0,1,0,0,0,0,30,3,3
28,OaklandRaiders,OAK,DST,2015,15,GB,0,3,0,0,0,0,0,0,25,3,3
28,TennesseeTitans,TEN,DST,2015,15,NE,0,2,0,1,0,0,0,0,29,3,3
32,BaltimoreRavens,BAL,DST,2015,15,KC,0,2,0,0,0,0,0,0,26,2,2
