Rank,Name,Team,Position,Season,Week,Opponent,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FieldGoalsLongestMade,ExtraPointsMade,ExtraPointsAttempted,FantasyPointsPerGame,FantasyPoints
1,StephenGostkowski,NE,K,2017,7,ATL,2.1,2.2,100,0,3.6,3.6,9.9,9.9
2,DanBailey,DAL,K,2017,7,SF,2,2,100,0,2.9,2.9,8.9,8.9
3,HarrisonButker,KC,K,2017,7,OAK,2,2.1,100,0,2.8,2.8,8.8,8.8
3,JakeElliott,PHI,K,2017,7,WAS,2.1,2.2,100,0,2.5,2.5,8.8,8.8
5,WilLutz,NO,K,2017,7,GB,1.9,2.1,100,0,2.9,2.9,8.6,8.6
6,GrahamGano,CAR,K,2017,7,CHI,2,2.1,100,0,2.4,2.4,8.4,8.4
6,RyanSuccopP,TEN,K,2017,7,CLE,1.9,1.9,100,0,2.7,2.7,8.4,8.4
6,GregZuerlein,LAR,K,2017,7,ARI,2,2.1,100,0,2.4,2.4,8.4,8.4
9,StevenHauschka,BUF,K,2017,7,TB,1.9,2,100,0,2.5,2.5,8.2,8.2
10,KaiForbath,MIN,K,2017,7,BAL,1.9,1.9,100,0,2.3,2.3,8,8
10,MattBryant,ATL,K,2017,7,NE,1.8,1.8,100,0,2.6,2.6,8,8
12,JoshLamboP,JAX,K,2017,7,IND,2,2.1,100,0,1.9,1.9,7.9,7.9
13,ChrisBoswell,PIT,K,2017,7,CIN,1.7,1.8,100,0,2.5,2.5,7.6,7.6
13,RobbieGould,SF,K,2017,7,DAL,1.9,1.9,100,0,1.9,1.9,7.6,7.6
15,MasonCrosby,GB,K,2017,7,NO,1.6,1.7,100,0,2.5,2.5,7.3,7.3
16,PhilDawson,ARI,K,2017,7,LAR,1.6,1.8,100,0,2.4,2.4,7.2,7.2
16,BrandonMcManus,DEN,K,2017,7,LAC,1.7,2.1,100,0,2.1,2.1,7.2,7.2
18,NickNovak,LAC,K,2017,7,DEN,1.7,1.9,100,0,2,2,7.1,7.1
19,JustinTucker,BAL,K,2017,7,MIN,1.8,1.9,100,0,1.6,1.6,7,7
19,BlairWalsh,SEA,K,2017,7,NYG,1.6,1.7,100,0,2.2,2.2,7,7
21,AdamVinatieri,IND,K,2017,7,JAX,1.6,1.6,100,0,2.1,2.1,6.9,6.9
22,PatrickMurray,TB,K,2017,7,BUF,1.6,1.8,100,0,1.9,1.9,6.7,6.7
23,NickRose,WAS,K,2017,7,PHI,1.5,1.6,100,0,2,2,6.5,6.5
24,RandyBullock,CIN,K,2017,7,PIT,1.4,1.4,100,0,1.8,1.8,6,6
25,GiorgioTavecchio,OAK,K,2017,7,KC,1.2,1.2,100,0,2.3,2.3,5.9,5.9
26,ChandlerCatanzaro,NYJ,K,2017,7,MIA,1.3,1.4,100,0,1.9,1.9,5.8,5.8
27,ConnorBarth,CHI,K,2017,7,CAR,1.1,1.2,100,0,2,2,5.3,5.3
27,AldrickRosas,NYG,K,2017,7,SEA,1.2,1.3,100,0,1.7,1.7,5.3,5.3
29,CodyParkey,MIA,K,2017,7,NYJ,1,1.1,100,0,2,2,5,5
30,ZaneGonzalez,CLE,K,2017,7,TEN,1,1.1,100,0,1.8,1.8,4.8,4.8
31,SebastianJanikowski,OAK,K,2017,7,KC,0,0,0,0,0,0,0,0
31,NickFolk,TB,K,2017,7,BUF,0,0,0,0,0,0,0,0
31,DustinHopkins,WAS,K,2017,7,PHI,0,0,0,0,0,0,0,0
31,CalebSturgis,PHI,K,2017,7,WAS,0,0,0,0,0,0,0,0
