Rank,Name,Team,Position,Season,Week,Opponent,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FieldGoalsLongestMade,ExtraPointsMade,ExtraPointsAttempted,FantasyPointsPerGame,FantasyPoints
1,MattBryant,ATL,K,2015,6,NO,2,2,100,0,3,3,9,9
1,ZachHocker,NO,K,2015,6,ATL,2,2,100,0,3,3,9,9
1,MattPrater,DET,K,2015,6,CHI,2,2,100,0,3,3,9,9
1,BrandonMcManus,DEN,K,2015,6,CLE,2,2,100,0,3,3,9,9
1,StephenGostkowski,NE,K,2015,6,IND,2,2,100,0,3,3,9,9
6,NickFolk,NYJ,K,2015,6,WAS,2,2,100,0,2,2,8,8
6,ChandlerCatanzaro,ARI,K,2015,6,PIT,2,2,100,0,2,2,8,8
6,BlairWalsh,MIN,K,2015,6,KC,2,2,100,0,2,2,8,8
6,CairoSantos,KC,K,2015,6,MIN,2,2,100,0,2,2,8,8
6,MikeNugentIR,CIN,K,2015,6,BUF,2,2,100,0,2,2,8,8
6,DanCarpenter,BUF,K,2015,6,CIN,2,2,100,0,2,2,8,8
6,RobbieGould,CHI,K,2015,6,DET,2,2,100,0,2,2,8,8
6,NickNovak,HOU,K,2015,6,JAX,2,2,100,0,2,2,8,8
6,JasonMyers,JAX,K,2015,6,HOU,2,2,100,0,2,2,8,8
6,StevenHauschka,SEA,K,2015,6,CAR,2,2,100,0,2,2,8,8
6,JoshLamboP,LAC,K,2015,6,GB,2,2,100,0,2,2,8,8
6,JustinTucker,BAL,K,2015,6,SF,2,2,100,0,2,2,8,8
6,CalebSturgis,PHI,K,2015,6,NYG,2,2,100,0,2,2,8,8
6,JoshBrown,NYG,K,2015,6,PHI,2,2,100,0,2,2,8,8
20,DustinHopkins,WAS,K,2015,6,NYJ,2,2,100,0,1,1,7,7
20,GrahamGano,CAR,K,2015,6,SEA,2,2,100,0,1,1,7,7
20,PhilDawson,SF,K,2015,6,BAL,2,2,100,0,1,1,7,7
23,MasonCrosby,GB,K,2015,6,LAC,1,2,50,0,3,3,6,6
23,AdamVinatieri,IND,K,2015,6,NE,1,1,100,0,3,3,6,6
25,TravisCoons,CLE,K,2015,6,DEN,1,1,100,0,2,2,5,5
25,AndrewFranks,MIA,K,2015,6,TEN,1,2,50,0,2,2,5,5
25,RyanSuccopP,TEN,K,2015,6,MIA,1,1,100,0,2,2,5,5
28,ChrisBoswell,PIT,K,2015,6,ARI,1,1,100,0,1,1,4,4
29,KaiForbath,WAS,K,2015,6,NYJ,0,0,0,0,0,0,0,0
29,GarrettHartley,PIT,K,2015,6,ARI,0,0,0,0,0,0,0,0
29,JoshScobee,PIT,K,2015,6,ARI,0,0,0,0,0,0,0,0
29,ShaunSuisham,PIT,K,2015,6,ARI,0,0,0,0,0,0,0,0
29,BillyCundiff,BUF,K,2015,6,CIN,0,0,0,0,0,0,0,0
29,JordanGay,BUF,K,2015,6,CIN,0,0,0,0,0,0,0,0
29,JayFeely,CHI,K,2015,6,DET,0,0,0,0,0,0,0,0
