Rank,Name,Team,Position,Season,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGame,FantasyPoints
1,TomBrady,NE,QB,2017,5,TB,26.9,39.1,69.2,313.9,8.1,2.5,0.6,99.73,2.2,1.1,0.5,0,21.3,21.27
2,AaronRodgersQ,GB,QB,2017,5,DAL,24.5,40.5,60,290.1,7.2,2.3,0.7,88.54,3.3,10.8,3.7,0,20.3,20.28
3,JameisWinston,TB,QB,2017,5,NE,24,38,63.2,291.1,7.7,2.2,0.9,93.2,3.2,10.2,3.3,0,19.3,19.26
4,DakPrescott,DAL,QB,2017,5,GB,21,32.1,65.6,247.1,7.7,1.8,0.7,96.74,3.9,18.9,4.8,0.1,18,17.97
5,RussellWilson,SEA,QB,2017,5,LAR,19.3,33.2,57.6,237.6,7.2,1.7,0.7,87.69,4.9,23.4,4.6,0,16.8,16.84
6,MatthewStafford,DET,QB,2017,5,CAR,20.3,33.8,58.8,270.8,8,1.7,0.9,91.67,2.5,7.2,3.5,0,16.4,16.35
7,EliManning,NYG,QB,2017,5,LAC,23.9,37,64.9,254.4,6.9,1.8,0.7,91.5,1.6,1.4,0.5,0,15.9,15.92
8,CarsonWentz,PHI,QB,2017,5,ARI,22.1,37,59.5,250.2,6.8,1.6,0.9,86.54,3.4,15.2,5,0,15.7,15.73
9,AlexSmith,KC,QB,2017,5,HOU,20.9,31.8,65.6,225.3,7,1.5,0.7,93.88,3.2,16.4,5.3,0.1,15.6,15.65
10,BenRoethlisberger,PIT,QB,2017,5,JAX,22.8,35,65.7,253.8,7.3,1.9,1,94.23,1.8,1.3,0.5,0,15.5,15.48
11,CamNewton,CAR,QB,2017,5,DET,20.1,33.5,58.8,222.5,6.5,1.4,1.1,75.86,5.5,19.3,3.2,0.2,15.2,15.23
12,CarsonPalmer,ARI,QB,2017,5,PHI,27.4,41.2,65.9,304.6,7.4,1.3,1,85.92,1.2,2.4,2,0,15.2,15.22
13,TyrodTaylorQ,BUF,QB,2017,5,CIN,17.1,28.3,60.7,210,7.5,1.2,0.6,80.95,6.1,25.3,4.2,0.1,14.9,14.93
14,DeshaunWatsonP,HOU,QB,2017,5,KC,19.9,34,58.8,222.8,6.6,1.3,1.1,75.98,5.25,25.2,5,0.1,14.8,14.83
15,AndyDalton,CIN,QB,2017,5,BUF,20.1,33.5,58.8,252.5,7.4,1.5,1,89.34,2.8,7.8,2.7,0,14.7,14.68
16,PhilipRivers,LAC,QB,2017,5,NYG,22.3,38.6,56.4,260.6,6.7,1.6,1,83.39,1.1,0.7,1,0,14.5,14.49
